"srvy_address"|"strsegid"|"geo_address"|"lat"|"long"|"geo_address_type"|"geo_accuracy"
"MIDDLETON AV & MCALPIN AV, Cincinnati, OH, USA"|"3273599531032751785490"|"MIDDLETON AV & MCALPIN AV, Cincinnati, OH, USA"|39.150802|-84.531419|"locality,political"|"locality"
"LANG ST & WALNUT ST, Cincinnati, OH, USA"|"3306957238633072832004"|"LANG ST & WALNUT ST, Cincinnati, OH, USA"|39.115317|-84.513742|"locality,political"|"locality"
"HAMILTON AV & POPE AL, Cincinnati, OH, USA"|"2970134022929701790056"|"HAMILTON AV & POPE AL, Cincinnati, OH, USA"|39.229158|-84.456443|"locality,political"|"locality"
"CARY AV & HARBESON AV, Cincinnati, OH, USA"|"3017668630430182556219"|"CARY AV & HARBESON AV, Cincinnati, OH, USA"|39.208109|-84.549903|"locality,political"|"locality"
"W GALBRAITH RD & RIDGEVIEW DR, Cincinnati, OH, USA"|"3624136930836262638322"|"W GALBRAITH RD & RIDGEVIEW DR, Cincinnati, OH, USA"|39.221891|-84.483953|"locality,political"|"locality"
"SHAW AV & RRXING NORFOLK AND WESTERN, Cincinnati, OH, USA"|"4078269283540784252814"|"SHAW AV & RRXING NORFOLK AND WESTERN, Cincinnati, OH, USA"|39.139345|-84.440139|"locality,political"|"locality"
"CENTRAL AV & W 9TH ST, Cincinnati, OH, USA"|"3314231842333151928656"|"CENTRAL AV & W 9TH ST, Cincinnati, OH, USA"|39.10489|-84.51726|"locality,political"|"locality"
"YOUNG ST & DORCHESTER AV, Cincinnati, OH, USA"|"3369309314033693363445"|"YOUNG ST & DORCHESTER AV, Cincinnati, OH, USA"|39.112344|-84.506813|"locality,political"|"locality"
"CENTRAL AV & CLARK ST, Cincinnati, OH, USA"|"3315002986233150259734"|"CENTRAL AV & CLARK ST, Cincinnati, OH, USA"|39.107588|-84.523417|"locality,political"|"locality"
"E MCMICKEN AV & SHARP AL, Cincinnati, OH, USA"|"3306739263333069572386"|"E MCMICKEN AV & SHARP AL, Cincinnati, OH, USA"|39.116544|-84.513744|"locality,political"|"locality"
"DRAKE AV & WASSON RD, Cincinnati, OH, USA"|"4249564269742499902656"|"DRAKE AV & WASSON RD, Cincinnati, OH, USA"|39.144494|-84.435654|"locality,political"|"locality"
"BROTHERTON RD & PAXTON WOODS LN, Cincinnati, OH, USA"|"4254958621045450255724"|"BROTHERTON RD & PAXTON WOODS LN, Cincinnati, OH, USA"|39.152384|-84.406718|"locality,political"|"locality"
"GILMORE AV & MADISON RD, Cincinnati, OH, USA"|"4250514532242510965751"|"GILMORE AV & MADISON RD, Cincinnati, OH, USA"|39.152888|-84.430493|"locality,political"|"locality"
"LANG ST & WALNUT ST, Cincinnati, OH, USA"|"3306957238633069582202"|"LANG ST & WALNUT ST, Cincinnati, OH, USA"|39.115317|-84.513742|"locality,political"|"locality"
"DRAKE AV & CADILLAC AV, Cincinnati, OH, USA"|"4259669379442597154658"|"DRAKE AV & CADILLAC AV, Cincinnati, OH, USA"|39.144494|-84.435654|"locality,political"|"locality"
"ERIE AV & MICHIGAN AV, Cincinnati, OH, USA"|"4077353103040778080948"|"ERIE AV & MICHIGAN AV, Cincinnati, OH, USA"|39.157716|-84.389612|"locality,political"|"locality"
"EVERGREEN RIDGE DR & W GALBRAITH RD, Cincinnati, OH, USA"|"3626256758336262638322"|"EVERGREEN RIDGE DR & W GALBRAITH RD, Cincinnati, OH, USA"|39.217107|-84.542226|"locality,political"|"locality"
"E ELDER ST & HAMER ST, Cincinnati, OH, USA"|"3306625276133066952682"|"E ELDER ST & HAMER ST, Cincinnati, OH, USA"|39.114506|-84.51574|"locality,political"|"locality"
"OAKWOOD AV & BELMONT AV, Cincinnati, OH, USA"|"2796109319628064622925"|"OAKWOOD AV & BELMONT AV, Cincinnati, OH, USA"|39.207153|-84.393851|"locality,political"|"locality"
"RUTH LYONS LN & E 7TH ST, Cincinnati, OH, USA"|"3317359839233173968167"|"RUTH LYONS LN & E 7TH ST, Cincinnati, OH, USA"|39.104291|-84.509603|"locality,political"|"locality"
"DRAKEWOOD DR & MARKBREIT AV, Cincinnati, OH, USA"|"4250099501942503365232"|"DRAKEWOOD DR & MARKBREIT AV, Cincinnati, OH, USA"|39.150776|-84.43339|"locality,political"|"locality"
"RIDGE AV & CARDIFF AV, Cincinnati, OH, USA"|"4253284639542636797097"|"RIDGE AV & CARDIFF AV, Cincinnati, OH, USA"|39.18799|-84.429535|"locality,political"|"locality"
"GLENVIEW AV & MERYTON PL, Cincinnati, OH, USA"|"2805704197628059901087"|"GLENVIEW AV & MERYTON PL, Cincinnati, OH, USA"|39.195278|-84.556568|"locality,political"|"locality"
"ZUMSTEIN AV & MADISON RD, Cincinnati, OH, USA"|"4076761255440771602834"|"ZUMSTEIN AV & MADISON RD, Cincinnati, OH, USA"|39.144649|-84.444149|"locality,political"|"locality"
"GANO ST & WALNUT ST, Cincinnati, OH, USA"|"3357625820433576697978"|"GANO ST & WALNUT ST, Cincinnati, OH, USA"|39.103558|-84.510258|"locality,political"|"locality"
"ROE ST & ERIE AV, Cincinnati, OH, USA"|"4750976679147511956601"|"ROE ST & ERIE AV, Cincinnati, OH, USA"|39.155643|-84.393053|"locality,political"|"locality"
"NASH AV & NASH AV TERM W OF NANCY LN, Cincinnati, OH, USA"|"4239561500642301466338"|"NASH AV & NASH AV TERM W OF NANCY LN, Cincinnati, OH, USA"|39.125341|-84.431939|"locality,political"|"locality"
"FISCHER PL & HARRISON AV, Cincinnati, OH, USA"|"2384348402023847234300"|"FISCHER PL & HARRISON AV, Cincinnati, OH, USA"|39.146066|-84.593857|"locality,political"|"locality"
"PINEHURST AV & ERIE AV, Cincinnati, OH, USA"|"4244190139542443791369"|"PINEHURST AV & ERIE AV, Cincinnati, OH, USA"|39.157716|-84.389612|"locality,political"|"locality"
"GLENVIEW AV & BELMONT AV, Cincinnati, OH, USA"|"2805704197627958393244"|"GLENVIEW AV & BELMONT AV, Cincinnati, OH, USA"|39.194165|-84.550998|"locality,political"|"locality"
"WESTWOOD NORTHERN BLVD & BRODBECK PL, Cincinnati, OH, USA"|"2538048505525383934905"|"WESTWOOD NORTHERN BLVD & BRODBECK PL, Cincinnati, OH, USA"|39.14897|-84.578396|"locality,political"|"locality"
"E 6TH ST & BROADWAY, Cincinnati, OH, USA"|"3359067821533594838284"|"E 6TH ST & BROADWAY, Cincinnati, OH, USA"|39.103526|-84.506135|"locality,political"|"locality"
"SHEREL LN & PAXTON AV, Cincinnati, OH, USA"|"4253854517642539205851"|"SHEREL LN & PAXTON AV, Cincinnati, OH, USA"|39.151469|-84.420727|"locality,political"|"locality"
"PILLARS DR & PAXTON AV, Cincinnati, OH, USA"|"4254103515242541996122"|"PILLARS DR & PAXTON AV, Cincinnati, OH, USA"|39.133355|-84.434455|"locality,political"|"locality"
"PAXTON AV & JORA LN, Cincinnati, OH, USA"|"4254351512742544466137"|"PAXTON AV & JORA LN, Cincinnati, OH, USA"|39.151363|-84.418968|"locality,political"|"locality"
"PAXTON AV & CLUB VIEW DR, Cincinnati, OH, USA"|"4254351512742545995106"|"PAXTON AV & CLUB VIEW DR, Cincinnati, OH, USA"|39.151469|-84.420727|"locality,political"|"locality"
"PAXTON WOODS DR & PAXTON AV, Cincinnati, OH, USA"|"4254912517645450255724"|"PAXTON WOODS DR & PAXTON AV, Cincinnati, OH, USA"|39.151469|-84.420727|"locality,political"|"locality"
"PLAZA AV & BEECHMONT AV, Cincinnati, OH, USA"|"4702944456547029614048"|"PLAZA AV & BEECHMONT AV, Cincinnati, OH, USA"|39.123025|-84.418471|"locality,political"|"locality"
"EASTWOOD DR & EASTWOOD DR TERM N OF E EASTWOOD CIR, Cincinnati, OH, USA"|"4536577002345376759915"|"EASTWOOD DR & EASTWOOD DR TERM N OF E EASTWOOD CIR, Cincinnati, OH, USA"|39.168925|-84.40713|"locality,political"|"locality"
"MONITOR AV & GRACELY DR, Cincinnati, OH, USA"|"1156223311011564382754"|"MONITOR AV & GRACELY DR, Cincinnati, OH, USA"|39.11208|-84.693558|"locality,political"|"locality"
"PINEHURST AV & ERIE AV, Cincinnati, OH, USA"|"4244379136942448441323"|"PINEHURST AV & ERIE AV, Cincinnati, OH, USA"|39.157716|-84.389612|"locality,political"|"locality"
"GLEN ARMAND AV & HAMILTON AV, Cincinnati, OH, USA"|"2988796378929893373714"|"GLEN ARMAND AV & HAMILTON AV, Cincinnati, OH, USA"|39.179666|-84.544801|"locality,political"|"locality"
"WHETSEL AV & DESMOND ST, Cincinnati, OH, USA"|"4761798868547618389013"|"WHETSEL AV & DESMOND ST, Cincinnati, OH, USA"|39.153507|-84.393925|"locality,political"|"locality"
"LUDLOW AV & CLIFTON AV, Cincinnati, OH, USA"|"3285475295732858702870"|"LUDLOW AV & CLIFTON AV, Cincinnati, OH, USA"|39.143464|-84.519199|"locality,political"|"locality"
"MONTGOMERY RD & WOODFORD RD, Cincinnati, OH, USA"|"4281041597842817706249"|"MONTGOMERY RD & WOODFORD RD, Cincinnati, OH, USA"|39.180799|-84.42729|"locality,political"|"locality"
"E MCMILLAN ST & HACKBERRY ST, Cincinnati, OH, USA"|"3707765580337080855749"|"E MCMILLAN ST & HACKBERRY ST, Cincinnati, OH, USA"|39.128074|-84.475028|"locality,political"|"locality"
"DRAKEWOOD DR & MARKBREIT AV, Cincinnati, OH, USA"|"4250594525942513765035"|"DRAKEWOOD DR & MARKBREIT AV, Cincinnati, OH, USA"|39.150776|-84.43339|"locality,political"|"locality"
"ERIE AV & EDWARDS RD, Cincinnati, OH, USA"|"4076989108040773531030"|"ERIE AV & EDWARDS RD, Cincinnati, OH, USA"|39.157716|-84.389612|"locality,political"|"locality"
"EDEN PARK DR & ART MUSEUM DR, Cincinnati, OH, USA"|"3362316233633629502129"|"EDEN PARK DR & ART MUSEUM DR, Cincinnati, OH, USA"|39.114515|-84.493468|"locality,political"|"locality"
"MAIN ST & WOODWARD ST, Cincinnati, OH, USA"|"3357648082633576880589"|"MAIN ST & WOODWARD ST, Cincinnati, OH, USA"|39.124556|-84.359329|"locality,political"|"locality"
"RAVENNA ST & MADISON RD, Cincinnati, OH, USA"|"4761414837547617578336"|"RAVENNA ST & MADISON RD, Cincinnati, OH, USA"|39.166675|-84.39365|"locality,political"|"locality"
"LESTER RD & MONTGOMERY RD, Cincinnati, OH, USA"|"4280144545642810415978"|"LESTER RD & MONTGOMERY RD, Cincinnati, OH, USA"|39.178616|-84.431545|"locality,political"|"locality"
"RAVENNA ST & DESMOND ST, Cincinnati, OH, USA"|"4761491904747615279459"|"RAVENNA ST & DESMOND ST, Cincinnati, OH, USA"|39.166675|-84.39365|"locality,political"|"locality"
"EARNSHAW AV & RYAN AV, Cincinnati, OH, USA"|"3370783520633610253566"|"EARNSHAW AV & RYAN AV, Cincinnati, OH, USA"|39.121468|-84.500855|"locality,political"|"locality"
"MONTANA AV & HARRISON AV, Cincinnati, OH, USA"|"2383024521823834955237"|"MONTANA AV & HARRISON AV, Cincinnati, OH, USA"|39.151486|-84.586406|"locality,political"|"locality"
"E MCMILLAN ST & WILLIAM H TAFT RD, Cincinnati, OH, USA"|"3708440576037590026389"|"E MCMILLAN ST & WILLIAM H TAFT RD, Cincinnati, OH, USA"|39.126536|-84.49967|"locality,political"|"locality"
"WARD ST & CHANDLER ST, Cincinnati, OH, USA"|"4762205919447622279379"|"WARD ST & CHANDLER ST, Cincinnati, OH, USA"|39.161484|-84.391748|"locality,political"|"locality"
"MONTGOMERY RD & ROBISON RD, Cincinnati, OH, USA"|"4284234771742847747994"|"MONTGOMERY RD & ROBISON RD, Cincinnati, OH, USA"|39.185919|-84.420326|"locality,political"|"locality"
"RUEHLMAN PL & HARRISON AV, Cincinnati, OH, USA"|"2383297554623834955237"|"RUEHLMAN PL & HARRISON AV, Cincinnati, OH, USA"|39.149397|-84.598987|"locality,political"|"locality"
"RIDGE AV & PARKVIEW AV, Cincinnati, OH, USA"|"4282199577542822215895"|"RIDGE AV & PARKVIEW AV, Cincinnati, OH, USA"|39.18799|-84.429535|"locality,political"|"locality"
"E LIBERTY ST & SYCAMORE ST, Cincinnati, OH, USA"|"3367974155733680081396"|"E LIBERTY ST & SYCAMORE ST, Cincinnati, OH, USA"|39.116009|-84.510511|"locality,political"|"locality"
"KENNEDY AV & DUCK CREEK RD, Cincinnati, OH, USA"|"4264044035242646300254"|"KENNEDY AV & DUCK CREEK RD, Cincinnati, OH, USA"|39.166101|-84.420403|"locality,political"|"locality"
"EDEN PARK DR & MARTIN DR, Cincinnati, OH, USA"|"3713531132837135362220"|"EDEN PARK DR & MARTIN DR, Cincinnati, OH, USA"|39.108078|-84.493607|"locality,political"|"locality"
"HAMILTON AV & LINGO ST, Cincinnati, OH, USA"|"2970224989329702699727"|"HAMILTON AV & LINGO ST, Cincinnati, OH, USA"|39.162233|-84.536914|"locality,political"|"locality"
"CLIFF DR BRIDGE & EDEN PARK DR, Cincinnati, OH, USA"|"3713536222037143853341"|"CLIFF DR BRIDGE & EDEN PARK DR, Cincinnati, OH, USA"|39.127472|-84.51399|"locality,political"|"locality"
"HOME CITY AV & ELCO ST, Cincinnati, OH, USA"|"1156495462911569113996"|"HOME CITY AV & ELCO ST, Cincinnati, OH, USA"|39.114836|-84.693148|"locality,political"|"locality"
"E 4TH ST & POSTAL AL, Cincinnati, OH, USA"|"3327369698833575917023"|"E 4TH ST & POSTAL AL, Cincinnati, OH, USA"|39.102775|-84.501857|"locality,political"|"locality"
"E OGDEN PL & E OGDEN PL TERM E OF VINE ST, Cincinnati, OH, USA"|"3357826705933479046603"|"E OGDEN PL & E OGDEN PL TERM E OF VINE ST, Cincinnati, OH, USA"|39.099219|-84.514169|"locality,political"|"locality"
"PARKSIDE PL & MARTIN DR, Cincinnati, OH, USA"|"3352458071437230320650"|"PARKSIDE PL & MARTIN DR, Cincinnati, OH, USA"|39.108078|-84.493607|"locality,political"|"locality"
"EDWARDS RD & GREGSON PL, Cincinnati, OH, USA"|"4077368122240774502039"|"EDWARDS RD & GREGSON PL, Cincinnati, OH, USA"|39.142482|-84.443064|"locality,political"|"locality"
"LESTER RD & PARKVIEW AV, Cincinnati, OH, USA"|"4280998512742810275676"|"LESTER RD & PARKVIEW AV, Cincinnati, OH, USA"|39.166956|-84.432031|"locality,political"|"locality"
"EDEN PARK DR & GILBERT AV, Cincinnati, OH, USA"|"3361801305933623162336"|"EDEN PARK DR & GILBERT AV, Cincinnati, OH, USA"|39.136745|-84.476998|"locality,political"|"locality"
"RIVER RD & DART ST, Cincinnati, OH, USA"|"1539051945715395669116"|"RIVER RD & DART ST, Cincinnati, OH, USA"|39.100269|-84.670744|"locality,political"|"locality"
"MONTGOMERY RD & WOODMONT AV, Cincinnati, OH, USA"|"4283012689142831156578"|"MONTGOMERY RD & WOODMONT AV, Cincinnati, OH, USA"|39.182725|-84.424189|"locality,political"|"locality"
"GILBERT AV BRIDGE & I-71 SB EXWY, Cincinnati, OH, USA"|"3350277037633610491665"|"GILBERT AV BRIDGE & I-71 SB EXWY, Cincinnati, OH, USA"|39.170998|-84.40336|"locality,political"|"locality"
"HARRISON AV & CHEV|CINC CORPLINE, Cincinnati, OH, USA"|"2371860751823719347630"|"HARRISON AV & CHEV|CINC CORPLINE, Cincinnati, OH, USA"|39.123374|-84.53793|"locality,political"|"locality"
"WOODWARD ST & YUKON ST, Cincinnati, OH, USA"|"3368055114833581430648"|"WOODWARD ST & YUKON ST, Cincinnati, OH, USA"|39.110633|-84.511181|"locality,political"|"locality"
"EDWARDS RD & MADISON RD, Cincinnati, OH, USA"|"4077295293340675573119"|"EDWARDS RD & MADISON RD, Cincinnati, OH, USA"|39.142482|-84.443064|"locality,political"|"locality"
"LESTER RD & MONTGOMERY RD, Cincinnati, OH, USA"|"4281027567642810415978"|"LESTER RD & MONTGOMERY RD, Cincinnati, OH, USA"|39.178616|-84.431545|"locality,political"|"locality"
"BAYARD DR & ERIE AV, Cincinnati, OH, USA"|"4240573051842418240325"|"BAYARD DR & ERIE AV, Cincinnati, OH, USA"|39.157716|-84.389612|"locality,political"|"locality"
"HOBART AV & HAMILTON AV, Cincinnati, OH, USA"|"2989910102329700940372"|"HOBART AV & HAMILTON AV, Cincinnati, OH, USA"|39.163786|-84.53909|"locality,political"|"locality"
"PARKLAND AV & ELCO ST, Cincinnati, OH, USA"|"1156295359711566163794"|"PARKLAND AV & ELCO ST, Cincinnati, OH, USA"|39.114836|-84.693148|"locality,political"|"locality"
"CHASE AV & HAMILTON AV, Cincinnati, OH, USA"|"2970094037229701340229"|"CHASE AV & HAMILTON AV, Cincinnati, OH, USA"|39.163154|-84.537658|"locality,political"|"locality"
"BEACON ST & CAMBRIDGE AV, Cincinnati, OH, USA"|"4694379051646946700480"|"BEACON ST & CAMBRIDGE AV, Cincinnati, OH, USA"|39.074658|-84.38265|"locality,political"|"locality"
"EDWARDS RD & RRXING NORFOLK AND WESTERN, Cincinnati, OH, USA"|"4077450203940775332912"|"EDWARDS RD & RRXING NORFOLK AND WESTERN, Cincinnati, OH, USA"|39.136049|-84.443653|"locality,political"|"locality"
"MEARS AV & CAMBRIDGE AV, Cincinnati, OH, USA"|"4692607070046930000661"|"MEARS AV & CAMBRIDGE AV, Cincinnati, OH, USA"|39.087733|-84.386315|"locality,political"|"locality"
"EGGLESTON AV & E PETE ROSE WY, Cincinnati, OH, USA"|"3350827734633512527675"|"EGGLESTON AV & E PETE ROSE WY, Cincinnati, OH, USA"|39.107155|-84.507773|"locality,political"|"locality"
"RIVER RD & GRACELY DR, Cincinnati, OH, USA"|"1147510070515390519457"|"RIVER RD & GRACELY DR, Cincinnati, OH, USA"|39.076535|-84.611455|"locality,political"|"locality"
"MOTOR LN & HARRISON AV, Cincinnati, OH, USA"|"2372086729423722317318"|"MOTOR LN & HARRISON AV, Cincinnati, OH, USA"|39.095735|-84.300899|"locality,political"|"locality"
"LANG ST & E CLIFTON AV, Cincinnati, OH, USA"|"3307188258633073062686"|"LANG ST & E CLIFTON AV, Cincinnati, OH, USA"|39.115317|-84.513742|"locality,political"|"locality"
"MAD ANTHONY ST & CHASE AV, Cincinnati, OH, USA"|"2971421012829718200141"|"MAD ANTHONY ST & CHASE AV, Cincinnati, OH, USA"|39.163193|-84.538155|"locality,political"|"locality"
"E MEHRING WY & MEHRING WY, Cincinnati, OH, USA"|"3347646541633485675519"|"E MEHRING WY & MEHRING WY, Cincinnati, OH, USA"|39.095866|-84.511705|"locality,political"|"locality"
"CHASE AV & FERGUS ST, Cincinnati, OH, USA"|"2971181012329714210128"|"CHASE AV & FERGUS ST, Cincinnati, OH, USA"|39.163154|-84.537658|"locality,political"|"locality"
"REEDY ST & E COURT ST, Cincinnati, OH, USA"|"3359449907233594849601"|"REEDY ST & E COURT ST, Cincinnati, OH, USA"|39.107262|-84.505421|"locality,political"|"locality"
"KIRBY AV & COLERAIN AV, Cincinnati, OH, USA"|"2801070140928017240563"|"KIRBY AV & COLERAIN AV, Cincinnati, OH, USA"|39.193432|-84.572867|"locality,political"|"locality"
"CHASE AV & LANGLAND ST, Cincinnati, OH, USA"|"2970657017429707980158"|"CHASE AV & LANGLAND ST, Cincinnati, OH, USA"|39.165769|-84.551634|"locality,political"|"locality"
"CHASE AV & HAMILTON AV, Cincinnati, OH, USA"|"2970134022929702880212"|"CHASE AV & HAMILTON AV, Cincinnati, OH, USA"|39.163154|-84.537658|"locality,political"|"locality"
"EDWARDS RD & MADISON RD, Cincinnati, OH, USA"|"4067558311940679913390"|"EDWARDS RD & MADISON RD, Cincinnati, OH, USA"|39.142482|-84.443064|"locality,political"|"locality"
"ROCKLAND AV & BENNEVILLE ST, Cincinnati, OH, USA"|"4692825179446931251762"|"ROCKLAND AV & BENNEVILLE ST, Cincinnati, OH, USA"|39.087804|-84.387377|"locality,political"|"locality"
"MAIN ST & E 5TH ST, Cincinnati, OH, USA"|"3358211756333586687659"|"MAIN ST & E 5TH ST, Cincinnati, OH, USA"|39.102361|-84.505034|"locality,political"|"locality"
"W 9TH ST TO I-75 NB ACCS RAMP & MOUND ST, Cincinnati, OH, USA"|"3314223842233142628725"|"W 9TH ST TO I-75 NB ACCS RAMP & MOUND ST, Cincinnati, OH, USA"|39.107588|-84.523417|"locality,political"|"locality"
"KROGER AV & DELTA AV, Cincinnati, OH, USA"|"4099457482042395615006"|"KROGER AV & DELTA AV, Cincinnati, OH, USA"|39.121952|-84.436011|"locality,political"|"locality"
"ROCKLAND AV & BENNEVILLE ST, Cincinnati, OH, USA"|"4692497182746928251794"|"ROCKLAND AV & BENNEVILLE ST, Cincinnati, OH, USA"|39.087804|-84.387377|"locality,political"|"locality"
"COLUMBIA PKWY & MCDOWELL ST, Cincinnati, OH, USA"|"4098756256740988512507"|"COLUMBIA PKWY & MCDOWELL ST, Cincinnati, OH, USA"|39.1164|-84.437405|"locality,political"|"locality"
"VICTORIA AV & VICTORIA LN, Cincinnati, OH, USA"|"4242777093442427941543"|"VICTORIA AV & VICTORIA LN, Cincinnati, OH, USA"|39.142272|-84.429642|"locality,political"|"locality"
"MAIN ST & E LIBERTY ST, Cincinnati, OH, USA"|"3307321196033074811778"|"MAIN ST & E LIBERTY ST, Cincinnati, OH, USA"|39.124523|-84.349086|"locality,political"|"locality"
"ROGERS PARK PL & MONTGOMERY RD, Cincinnati, OH, USA"|"4515083815445152448238"|"ROGERS PARK PL & MONTGOMERY RD, Cincinnati, OH, USA"|39.143837|-84.470086|"locality,political"|"locality"
"LANG ST & WALNUT ST, Cincinnati, OH, USA"|"3306631250233069582202"|"LANG ST & WALNUT ST, Cincinnati, OH, USA"|39.115317|-84.513742|"locality,political"|"locality"
"LANG ST & WALNUT ST, Cincinnati, OH, USA"|"3306727168533069582202"|"LANG ST & WALNUT ST, Cincinnati, OH, USA"|39.115317|-84.513742|"locality,political"|"locality"
"WELLS ST & WARSAW AV, Cincinnati, OH, USA"|"2871378115128713932368"|"WELLS ST & WARSAW AV, Cincinnati, OH, USA"|39.103189|-84.57014|"locality,political"|"locality"
"BLUESPRUCE LN & BELMONT AV, Cincinnati, OH, USA"|"2794280377027950053412"|"BLUESPRUCE LN & BELMONT AV, Cincinnati, OH, USA"|39.194165|-84.550998|"locality,political"|"locality"
"HOME CITY AV & ELCO ST, Cincinnati, OH, USA"|"1156911399611573473336"|"HOME CITY AV & ELCO ST, Cincinnati, OH, USA"|39.114836|-84.693148|"locality,political"|"locality"
"HERSCHEL AV & AULT WOODS LN, Cincinnati, OH, USA"|"4233552862042436309379"|"HERSCHEL AV & AULT WOODS LN, Cincinnati, OH, USA"|39.130041|-84.422904|"locality,political"|"locality"
"MEARS AV & GLADE AV, Cincinnati, OH, USA"|"4692830916146934659087"|"MEARS AV & GLADE AV, Cincinnati, OH, USA"|39.087733|-84.386315|"locality,political"|"locality"
"WARSAW AV & FAIRBANKS AV, Cincinnati, OH, USA"|"2871378115128717001122"|"WARSAW AV & FAIRBANKS AV, Cincinnati, OH, USA"|39.109837|-84.560733|"locality,political"|"locality"
"PRINCIPIO AV & HERSCHEL AV, Cincinnati, OH, USA"|"4233246789642334478093"|"PRINCIPIO AV & HERSCHEL AV, Cincinnati, OH, USA"|39.130041|-84.422904|"locality,political"|"locality"
"W 5TH ST & VINE ST, Cincinnati, OH, USA"|"3317288744233577527461"|"W 5TH ST & VINE ST, Cincinnati, OH, USA"|39.100477|-84.517815|"locality,political"|"locality"
"PLEASANT ST & W LIBERTY ST, Cincinnati, OH, USA"|"3305788201533058261792"|"PLEASANT ST & W LIBERTY ST, Cincinnati, OH, USA"|39.073744|-84.29496|"locality,political"|"locality"
"EGGLESTON AV & E PETE ROSE WY, Cincinnati, OH, USA"|"3350899794133512527675"|"EGGLESTON AV & E PETE ROSE WY, Cincinnati, OH, USA"|39.107155|-84.507773|"locality,political"|"locality"
"COLERAIN AV & JESSUP RD, Cincinnati, OH, USA"|"2579083294125798332880"|"COLERAIN AV & JESSUP RD, Cincinnati, OH, USA"|39.207029|-84.639108|"locality,political"|"locality"
"CENTRAL AV & W 7TH ST, Cincinnati, OH, USA"|"3315314804233157548120"|"CENTRAL AV & W 7TH ST, Cincinnati, OH, USA"|39.103148|-84.517252|"locality,political"|"locality"
"EGGLESTON AV & LOCKPORT AV, Cincinnati, OH, USA"|"3358542006833585669912"|"EGGLESTON AV & LOCKPORT AV, Cincinnati, OH, USA"|39.283446|-84.531009|"locality,political"|"locality"
"PINERIDGE AV & PAXTON AV, Cincinnati, OH, USA"|"4239776821242398248661"|"PINERIDGE AV & PAXTON AV, Cincinnati, OH, USA"|39.13475|-84.434342|"locality,political"|"locality"
"COPELEN ST & E MCMILLAN ST, Cincinnati, OH, USA"|"3703452635437035376342"|"COPELEN ST & E MCMILLAN ST, Cincinnati, OH, USA"|39.124886|-84.491791|"locality,political"|"locality"
"NIXON ST & JEFFERSON AV, Cincinnati, OH, USA"|"3287420089333879360841"|"NIXON ST & JEFFERSON AV, Cincinnati, OH, USA"|39.137823|-84.510406|"locality,political"|"locality"
"MAIN ST & E COURT ST, Cincinnati, OH, USA"|"3357745940433578869457"|"MAIN ST & E COURT ST, Cincinnati, OH, USA"|39.124556|-84.359329|"locality,political"|"locality"
"EDEN AV & E MARTIN LUTHER KING JR DR, Cincinnati, OH, USA"|"3389661985833896880130"|"EDEN AV & E MARTIN LUTHER KING JR DR, Cincinnati, OH, USA"|39.139709|-84.505136|"locality,political"|"locality"
"EZZARD CHARLES DR & CUTTER ST, Cincinnati, OH, USA"|"3313460045033138530411"|"EZZARD CHARLES DR & CUTTER ST, Cincinnati, OH, USA"|39.104321|-84.525951|"locality,political"|"locality"
