CSR #,STATUS,SR TYPE,DESCRIPTION,DATE RECEIVED,TIME,LOCATION,ADDRESS,COMMUNITY,CENSUS TRACT,PRIORITY,METHOD,PARCEL_NO,DATE_A,USER_ID,PLANNED COMP,REVISED PLANNED COMP,ACTUAL COMP,DATE OF STATUS,ASSIGNEE,X_COORD,Y_COORD,POTHOLES_REPAIRED,STREET_NO,STREET_DIRECTION,STREET_NAME,DEPARTMENT,USERGRPTITLE,GROUPID,GROUPDESC
SR18041027,CLOSED  ,Pedestrian Incident Report,Request entered through the Web. Refer to Intake Questions for further description. 1) What was the date when the incident occurred? 5/3/2018  2) What was the time of day when the incident occurred? 12:30 PM  3) What was the type of incident? Collision no injury  4) Which street were you crossing? Madison  5) What direction were you headed? South  6) Were you in a crosswalk when the incident occurred? No  7) What type of other vehicle was involved? Car or pickup truck  8) In what direction was the other party headed? North  9) What was the other party's intended movement? Straight  10) Did you report the incident to the Cincinnati Police? No  11) Describe the incident as specifically as possible. I was driving south on Madison just past the Skyline in the right-most lane. As I approached and entered the crosswalk I noticed two men in the crosswalk in the parking lane waiting for cars to stop so they could safely cross the street. As I began to continue driving south I suddenly heard a screech of brakes then the sound of a car being rear-ended followed by a woman's screaming. My first thought is that one of the men had been hit but I glanced over my shoulder and they appeared to be OK.  12) Please provide any additional information that may help us serve you. I think what happened is that a car saw the men noticed they were in a crosswalk and they should stop to allow them to cross and stopped suddenly. This caused the car behind them to rear-end them.On a separate note this is one reason why I would love to see the city adapt H.A.W.K. lights for mid-block crosswalks. I have seen these in action in Portland/Vancouver WA area and they work great because they actually require drivers to stop when a pedestrian is in the intersection ,04/05/2018 00:00:00,13:08:00,3074 MADISON RD CINC - GJ2195436855,3074 MADISON RD,OAKLEY,53,STANDARD,INTERNET,5000010024,04/05/2018 00:00:00,CCSRWEB,05/05/2018 00:00:00,,04/05/2018 00:00:00,04/05/2018 00:00:00,,1420863,425570,0,3074,  ,MADISON RD                      ,DOTE,,2842,DOTE-DEFAULT
SR18038626,CLOSED  ,Pedestrian Incident Report,Request entered through the Web. Refer to Intake Questions for further description. 1) What was the date when the incident occurred? 4/26/18 ,27/04/2018 00:00:00,14:53:00,1916 CENTRAL PKWY CINC - GJ1414832815,1916 CENTRAL PKWY,OVER-THE-RHINE,16,STANDARD,INTERNET,9600050031,27/04/2018 00:00:00,CCSRWEB,28/04/2018 00:00:00,,27/04/2018 00:00:00,27/04/2018 00:00:00,,1394600,413697,0,1916,  ,CENTRAL PKWY                    ,DOTE,,2842,DOTE-DEFAULT
SR18036480,CLOSED  ,Pedestrian Incident Report,Request entered through the Web. Refer to Intake Questions for further description. 1) What was the date when the incident occurred? 04/14/18 ,22/04/2018 00:00:00,20:00:00,3505 ERIE AV CINC - GJ2307135577,3505 ERIE AV,HYDE PARK,51,STANDARD,INTERNET,00380A030356      ,22/04/2018 00:00:00,CCSRWEB,23/04/2018 00:00:00,,22/04/2018 00:00:00,22/04/2018 00:00:00,,1424282,421290,0,3505,  ,ERIE AV                         ,DOTE,,2842,DOTE-DEFAULT
SR18036166,CLOSED  ,Pedestrian Incident Report,Request entered through the Web. Refer to Intake Questions for further description. 1) What was the date when the incident occurred? 4/20/18  2) What was the time of day when the incident occurred? 9:10 am  3) What was the type of incident? Close call  4) Which street were you crossing? reading  5) What direction were you headed? West  6) Were you in a crosswalk when the incident occurred? No  7) What type of other vehicle was involved? Car or pickup truck  8) In what direction was the other party headed? West  9) What was the other party's intended movement? Turning left  10) Did you report the incident to the Cincinnati Police? No  11) Describe the incident as specifically as possible. Panhandlers are causing traffic backups and dangerous situations by asking for money at the stoplight right off of 471 at Reading rd and Liberty. The left turn light coming from 471 onto Reading Rd. is only green for a matter of seconds for people trying to get to work in the morning having panhandlers there trying to get people to stop and give them money instead of driving creates traffic congestion and can be dangerous. As a car coming up on a green light I was not pleased to have the car in front of me suddenly stop in front of the green light to hand a panhandler money. Can we get them to move away from this location? They stand here EVERY DAY and have been for years. ,20/04/2018 00:00:00,12:28:00,702 READING RD CINC -,702 READING RD,MOUNT AUBURN,18,STANDARD,INTERNET,7500020201,20/04/2018 00:00:00,CCSRWEB,21/04/2018 00:00:00,,20/04/2018 00:00:00,20/04/2018 00:00:00,,1399963,411051,0,702,  ,READING RD                      ,DOTE,,2842,DOTE-DEFAULT
SR18035146,CLOSED  ,Pedestrian Incident Report,Request entered through the Web. Refer to Intake Questions for further description. 1) What was the date when the incident occurred? 04-02-2018  2) Which street were you crossing? Warsaw  3) What direction were you headed? West  4) What type of other vehicle was involved? Car or pickup truck  5) Describe the incident as specifically as possible. I was crossing Warsaw Ave in the crosswalk when I was struck by a Chevy Suburban. I think I have the cardinal directions correct but may be wrong. I can send a copy of the report if needed.  6) Please provide any additional information that may help us serve you. My roommate was with me. I saw no cars when I started to cross. my roommate is 6'8 and I was wearing red. I don't know how she could have missed seeing at least one of us. I had to go to the ER but she barely missed my roommate.  7) What was the time of day when the incident occurred? about 12:15pm  8) What was the type of incident? Collision injury requiring medical care  9) Were you in a crosswalk when the incident occurred? Yes  10) In what direction was the other party headed? South  11) What was the other party's intended movement? Straight  12) Did you report the incident to the Cincinnati Police? Yes ,17/04/2018 00:00:00,13:19:00,3446 WARSAW AV CINC - GJ1033431845,3446 WARSAW AV,EAST PRICE HILL,94,STANDARD,INTERNET,17400090103,17/04/2018 00:00:00,CCSRWEB,18/04/2018 00:00:00,,17/04/2018 00:00:00,17/04/2018 00:00:00,,1381945,411139,0,3446,  ,WARSAW AV                       ,DOTE,,2842,DOTE-DEFAULT
SR18033783,CLOSED  ,Pedestrian Incident Report,Request entered through the Web. Refer to Intake Questions for further description. 1) What was the date when the incident occurred? It's almost everyday ,13/04/2018 00:00:00,01:17:00,165 W MCMILLAN ST CINC - GJ1446733875,165 W MCMILLAN ST,CUF,25,STANDARD,INTERNET,10000020203,13/04/2018 00:00:00,CCSRWEB,14/04/2018 00:00:00,,13/04/2018 00:00:00,13/04/2018 00:00:00,,1395837,417084,0,165,W ,MCMILLAN ST                     ,DOTE,,2842,DOTE-DEFAULT
SR18032462,CLOSED  ,Pedestrian Incident Report,Request entered through the Web. Refer to Intake Questions for further description. 1) What was the date when the incident occurred? 4/2/18  2) What was the time of day when the incident occurred? 12:30pm  3) What was the type of incident? Collision injury requiring medical care  4) Which street were you crossing? Warsaw   5) What direction were you headed? West  6) Were you in a crosswalk when the incident occurred? Yes  7) What type of other vehicle was involved? Car or pickup truck  8) In what direction was the other party headed? South  9) What was the other party's intended movement? Straight  10) Did you report the incident to the Cincinnati Police? Yes  11) Describe the incident as specifically as possible. I was walking with my roommate across the street and was hit by a suburban   12) Additional Comments? needs something to increase safety. traffic light or flashing lights something to make it safer. ,09/04/2018 00:00:00,19:58:00,3429 OSAGE AV CINC - GJ1037631584,3429 OSAGE AV,EAST PRICE HILL,95,STANDARD,INTERNET,17500180208,09/04/2018 00:00:00,MOBILE,10/04/2018 00:00:00,,09/04/2018 00:00:00,09/04/2018 00:00:00,,1382041,410278,0,3429,  ,OSAGE AV                        ,DOTE,,2842,DOTE-DEFAULT
SR18026037,CLOSED  ,Pedestrian Incident Report,Request entered through the Web. Refer to Intake Questions for further description. 1) What was the date when the incident occurred? 3/19/18  2) What was the time of day when the incident occurred? 2:10 PM  3) What was the type of incident? Close call  4) Which street were you crossing? There is a pedestrian only (Without any traffic lights) cross walk right at the intersection of Jefferson and W. Carlton Street.  5) What direction were you headed? North  6) Were you in a crosswalk when the incident occurred? Yes  7) What type of other vehicle was involved? Car or pickup truck  8) In what direction was the other party headed? South  9) What was the other party's intended movement? Straight  10) Did you report the incident to the Cincinnati Police? No  11) Describe the incident as specifically as possible. I was crossing in the cross walk. I was half way through and a car in the lane closest to the middle was slowing down and had put his flashers on. I started across but the car in the lane next to the curb did not stop and kept on through the crosswalk. The next car did slow down and let me through.  12) Please provide any additional information that may help us serve you. It seems that this cross walk is fairly dangerous. If we make it through the north flowing traffic then many times we have to wait in the middle of the busy street for the south flowing traffic to lighten up or stop. I wish that the cross walk sign had lights and both sides of the striping on the pavement had flashing lights that could be triggered to light up when someone wanted to cross to give traffic a fair warning to slow down. I have had many times where traffic would not yield to the pedestrians. Thanks for looking into this! ,20/03/2018 00:00:00,10:32:00,2636 JEFFERSON AV CINC -,2636 JEFFERSON AV,HEIGHTS,30,STANDARD,INTERNET,01020004CD01      ,20/03/2018 00:00:00,CCSRWEB,21/03/2018 00:00:00,,20/03/2018 00:00:00,20/03/2018 00:00:00,,1397994,418073,0,2636,  ,JEFFERSON AV                    ,DOTE,,2842,DOTE-DEFAULT
SR18025282,CLOSED  ,Pedestrian Incident Report,Request entered through the Web. Refer to Intake Questions for further description. 1) What was the date when the incident occurred? March 17 2018  2) What was the time of day when the incident occurred? 3:10 AM (0710 ZULU)  3) What was the type of incident? Collision minor injury  4) Which street were you crossing? Observatory Ave  5) What direction were you headed? South  6) Were you in a crosswalk when the incident occurred? Yes  7) What type of other vehicle was involved? Car or pickup truck  8) In what direction was the other party headed? West  9) What was the other party's intended movement? Straight  10) Did you report the incident to the Cincinnati Police? No  11) Describe the incident as specifically as possible. Minor scrapes on hand ,17/03/2018 00:00:00,03:22:00,MONTEITH AV & OBSERVATORY AV,2832 OBSERVATORY AV,HYDE PARK,50,STANDARD,INTERNET,4000060042,17/03/2018 00:00:00,MOBILE,18/03/2018 00:00:00,,17/03/2018 00:00:00,17/03/2018 00:00:00,,1419011,420157,0,2832,  ,OBSERVATORY AV                  ,DOTE,,2842,DOTE-DEFAULT
SR18023308,CLOSED  ,Pedestrian Incident Report,Request entered through the Web. Refer to Intake Questions for further description. 1) What was the type of incident? Close call  2) Which street were you crossing? Duck Creek Rd  3) What direction were you headed? South  4) Were you in a crosswalk when the incident occurred? No  5) Describe the incident as specifically as possible. Unsafe to cross street with fast moving vehicles ,12/03/2018 00:00:00,16:47:00,2235 CRANE AV CINC - GJ1950635677,2235 CRANE AV,EVANSTON,40,STANDARD,INTERNET,00420A070008      ,12/03/2018 00:00:00,CCSRWEB,13/03/2018 00:00:00,,12/03/2018 00:00:00,12/03/2018 00:00:00,,1412421,422213,0,2235,  ,CRANE AV                        ,DOTE,,2842,DOTE-DEFAULT
SR18017994,CLOSED  ,Pedestrian Incident Report,Request entered through the Web. Refer to Intake Questions for further description. 1) What was the date when the incident occurred? 2/27/2018  2) What was the time of day when the incident occurred? 2:30pm  3) What was the type of incident? Close call  4) Which street were you crossing? casey  5) Please provide any additional information that may help us serve you. How can we get speed bumps put on the street? I have a lot of children on the property and cars speed up and down the street all day. ,28/02/2018 00:00:00,11:00:00,1716 CASEY DR CINC - GJ1180539431,1716 CASEY DR,NORTHSIDE,84,STANDARD,INTERNET,20000490031,28/02/2018 00:00:00,CCSRWEB,01/03/2018 00:00:00,,28/02/2018 00:00:00,28/02/2018 00:00:00,,1388000,435751,0,1716,  ,CASEY DR                        ,DOTE,,2842,DOTE-DEFAULT
SR18006490,CLOSED  ,Pedestrian Incident Report,Request entered through the Web. Refer to Intake Questions for further description. 1) What was the date when the incident occurred? The crosswalk is in a bend in the road and the pedestrian cannot see what is coming from the right because of parked cars at the meters.  When you get into the middle of the crosswalk cars are coming too fast and don't stop for the pedestrian's safe  passage.  Often times it's speeding vehicles.  2) What was the time of day when the incident occurred? In the AM between 8:00am and 8:30 am  3) What was the type of incident? Close call  4) Which street were you crossing? Albert Sabin Way  5) What direction were you headed? South  6) Were you in a crosswalk when the incident occurred? Yes  7) What type of other vehicle was involved? Car or pickup truck  8) In what direction was the other party headed? South  9) What was the other party's intended movement? Turning left  10) Did you report the incident to the Cincinnati Police? No  11) Describe the incident as specifically as possible. Every morning I have to cross at this particular crosswalk and it's very stressful because people are in a hurried frenzy and 1. are speeding and don't stop or 2. are ignorant of the traffic law that pedestrians have the right of way.  I have near misses too many times.  I get to the center of the crosswalk and cars just keep moving. Frightening.  12) Please provide any additional information that may help us serve you. Please may there be flashing yellow lights particularly in the morning and in the afternoon between 4:30 and 5:30 when it's most dangerous.  At Bethesda North Hospital there are yellow lights that flash when the pedestrian walks up to the curb to cross at their crosswalk.  They are about 6ft tall and very noticeable. ,23/01/2018 00:00:00,12:52:00,265 ALBERT SABIN WY CINC - GJ1586535213,265 ALBERT SABIN WY,CORRYVILLE,32,STANDARD,INTERNET,10400020006,23/01/2018 00:00:00,CCSRWEB,24/01/2018 00:00:00,,23/01/2018 00:00:00,23/01/2018 00:00:00,,1400620,421271,0,265,  ,ALBERT SABIN WY                 ,DOTE,,2842,DOTE-DEFAULT
SR18006155,CLOSED  ,Pedestrian Incident Report,Request entered through the Web. Refer to Intake Questions for further description. 1) What was the date when the incident occurred? Regularly  2) What was the time of day when the incident occurred? Morning  3) What was the type of incident? Close call  4) Which street were you crossing? Crossing an apartment complex driveway on the sidewalk  5) Describe the incident as specifically as possible. There is a 6 foot high fence and a dumpster that are right next to the sidewalk. Cars come down right over the sidewalk without looking because the fence is so tall it makes it so they can't see if there are pedestrians. My son and I have had many close calls walking to his bus stop in the mornings. Drivers can't see anything to their right until they are already on the sidewalk. It's a very dangerous situation.  6) Please provide any additional information that may help us serve you. Please get them to remove this fence. It really is dangerous. It's a matter of time before there's an accident. ,22/01/2018 00:00:00,17:24:00,721 DELTA AV CINC - GJ2177433830,721 DELTA AV,MOUNT LOOKOUT,49,STANDARD,INTERNET,4500030003,22/01/2018 00:00:00,CCSRWEB,23/01/2018 00:00:00,,22/01/2018 00:00:00,22/01/2018 00:00:00,,1419750,415778,0,721,  ,DELTA AV                        ,DOTE,,2842,DOTE-DEFAULT
SR18002599,CLOSED  ,Pedestrian Incident Report,Request entered through the Web. Refer to Intake Questions for further description. 1) What was the date when the incident occurred? 1/9/18  2) What was the time of day when the incident occurred? 8pm  3) What was the type of incident? Close call  4) Which street were you crossing? Wasson   5) What direction were you headed? South  6) Were you in a crosswalk when the incident occurred? Yes  7) What type of other vehicle was involved? Car or pickup truck  8) In what direction was the other party headed? East  9) What was the other party's intended movement? Straight  10) Did you report the incident to the Cincinnati Police? No  11) Describe the incident as specifically as possible. Cars traveling east on wasson do not see/recognize the pedestrian crosswalk at Michigan ave. Flashing lights or mid-street cone (like at Hyde Park square) are very much needed for pedestrian safety!!!  ,09/01/2018 00:00:00,23:29:00,WASSON RD & MICHIGAN AV,2766 WASSON RD,OAKLEY,52,STANDARD,INTERNET,4000040034,09/01/2018 00:00:00,MOBILE,10/01/2018 00:00:00,,09/01/2018 00:00:00,09/01/2018 00:00:00,,1418404,422915,0,2766,  ,WASSON RD                       ,DOTE,,2842,DOTE-DEFAULT
SR17104516,CLOSED  ,Pedestrian Incident Report,Request entered through the Web. Refer to Intake Questions for further description. 1) What was the date when the incident occurred? November  2) What was the time of day when the incident occurred? don't know  3) What was the type of incident? Collision injury requiring medical care  4) Which street were you crossing? not me but a business owner was killed in a hit and run near here  5) What direction were you headed? South  6) Did you report the incident to the Cincinnati Police? Yes  7) Describe the incident as specifically as possible. someone else reported it  8) Please provide any additional information that may help us serve you. What is the schedule for installing 'pedestrian paddles' on this block - the little yellow signs in the middle of the crosswalk to warn drivers to slow down? ,18/12/2017 00:00:00,11:20:00,3600 WARSAW AV CINC - GJ1005131865,3600 WARSAW AV,EAST PRICE HILL,94,STANDARD,INTERNET,17400080210,18/12/2017 00:00:00,CCSRWEB,19/12/2017 00:00:00,,18/12/2017 00:00:00,18/12/2017 00:00:00,,1381022,411251,0,3600,  ,WARSAW AV                       ,DOTE,,2842,DOTE-DEFAULT
