"requestid"|"requesttyp"|"requestdat"|"comments"|"usertype"|"near_inter"|"near_str"|"strsegid"|"additional_comments"|"sna_name"|"srvy_address"|"geo_address"|"lat"|"long"|"geo_address_type"|"geo_accuracy"
3528|"Jaywalking"|"19/02/2018"|""|"drives"|"BURNET AV & KASOTA ST"|"Burnet Av"|"3381135139533811791814"|""|"Corryville"|"BURNET AV & KASOTA ST, Cincinnati, OH, USA"|"BURNET AV & KASOTA ST, Cincinnati, OH, USA"|39.133086|-84.501258|"locality,political"|"locality"
3529|"Jaywalking"|"19/02/2018"|""|"drives"|"ERKENBRECHER AV & BURNET AV"|"Burnet Av"|"3381219217833812582537"|""|"Avondale"|"ERKENBRECHER AV & BURNET AV, Cincinnati, OH, USA"|"ERKENBRECHER AV & BURNET AV, Cincinnati, OH, USA"|39.128388|-84.501776|"locality,political"|"locality"
3531|"Jaywalking"|"19/02/2018"|""|"drives"|"BURNET AV & ALBERT SABIN WY"|"Burnet Av"|"3381090099733811351395"|""|"Avondale"|"BURNET AV & ALBERT SABIN WY, Cincinnati, OH, USA"|"BURNET AV & ALBERT SABIN WY, Cincinnati, OH, USA"|39.133086|-84.501258|"locality,political"|"locality"
476|"Jaywalking"|"07/02/2018"|""|"drives"|"WALNUT ST & E 5TH ST"|"Walnut St"|"3357752746133578267059"|""|"Downtown"|"WALNUT ST & E 5TH ST, Cincinnati, OH, USA"|"WALNUT ST & E 5TH ST, Cincinnati, OH, USA"|39.10188|-84.508142|"locality,political"|"locality"
59|"Jaywalking"|"07/02/2018"|"Overflow parking lot for Crossroads is where a lot of MadTree patrons park. They frequently run across 5 lanes of traffic."|"drives"|"FORRER ST & MARBURG AV"|"Madison Rd"|"4251992642342633267423"|""|"Oakley"|"FORRER ST & MARBURG AV, Cincinnati, OH, USA"|"FORRER ST & MARBURG AV, Cincinnati, OH, USA"|39.157855|-84.432071|"locality,political"|"locality"
6113|"Jaywalking"|"09/03/2018"|"Medical staff consistently jaywalk."|"drives"|"ALBERT SABIN WY & LEVINE DR"|"Albert Sabin Wy"|"3389827141433805671343"|""|"Corryville"|"ALBERT SABIN WY & LEVINE DR, Cincinnati, OH, USA"|"ALBERT SABIN WY & LEVINE DR, Cincinnati, OH, USA"|39.132748|-84.460214|"locality,political"|"locality"
9234|"Jaywalking"|"28/03/2018"|"Walkers do not correctly use the walk signal.  It is extremely difficult to turn left onto Burnet Ave as walkers continue to cross when the light flashes ~Don't Walk~."|"drives"|"SAND RUN RD & LAWRENCEBURG RD"|"ERIE AV"|"4547228416245478234532"|""|"Avondale"|"SAND RUN RD & LAWRENCEBURG RD, Cincinnati, OH, USA"|"SAND RUN RD & LAWRENCEBURG RD, Cincinnati, OH, USA"|39.221064|-84.589953|"locality,political"|"locality"
10368|"Vehicles run red lights or stop signs"|"05/04/2018"|"Vehicles do not yield to pedestrians in cross walk."|"walks"|"SCULL RD & DRY RIDGE RD"|"COMMODITY CIR"|"4383897557943842585141"|""|"College Hill"|"SCULL RD & DRY RIDGE RD, Cincinnati, OH, USA"|"SCULL RD & DRY RIDGE RD, Cincinnati, OH, USA"|39.257659|-84.644063|"locality,political"|"locality"
110|"Vehicles run red lights or stop signs"|"07/02/2018"|"When trying to cross the street the cars turning right do not stop for the red light.  The walk light does not stay long enough to cross.   The cars turn right on red without stopping first  and are not looking for pedestrians."|"travels (other)"|"RIVER RD & FAIRBANKS AV"|"Fairbanks Av"|"2891087345128912763080"|""|"Riverside"|"RIVER RD & FAIRBANKS AV, Cincinnati, OH, USA"|"RIVER RD & FAIRBANKS AV, Cincinnati, OH, USA"|39.100269|-84.670744|"locality,political"|"locality"
113|"Vehicles run red lights or stop signs"|"07/02/2018"|"Drivers on Allston and 34th do not come to complete stops before turning - creating a dangerous situation for pedestrians."|"walks"|"MINOT AV & 34TH AV"|"Allston St"|"4250285563342505145322"|""|"Oakley"|"MINOT AV & 34TH AV, Cincinnati, OH, USA"|"MINOT AV & 34TH AV, Cincinnati, OH, USA"|39.152684|-84.433139|"locality,political"|"locality"
12341|"Vehicles run red lights or stop signs"|"18/04/2018"|"I see people daily, including Metro buses, fail to stop for stop signs and lights.  They do ~rolling stops~ which is a misnomer; either a person stops or they don't, there isn't anything in-between."|"walks"|"HAMILTON HILLS DR & POND RUN AV"|"BOUDINOT AV"|"2372539028023725600440"|""|"Westwood"|"HAMILTON HILLS DR & POND RUN AV, Cincinnati, OH, USA"|"HAMILTON HILLS DR & POND RUN AV, Cincinnati, OH, USA"|39.101132|-84.35896|"locality,political"|"locality"
13666|"Vehicles run red lights or stop signs"|"30/04/2018"|"Motorists run this stop sign and this is a highly traveled intersection.  Traffic from Central Parkway use Clifton Hills as a cut through to Ludlow."|"travels (other)"|"BIRCHDALE CT & HOLZ AV"|"CENTRAL AV"|"3315192865633152478400"|""|"Clifton"|"BIRCHDALE CT & HOLZ AV, Cincinnati, OH, USA"|"BIRCHDALE CT & HOLZ AV, Cincinnati, OH, USA"|39.07492|-84.38617|"locality,political"|"locality"
13893|"Vehicles run red lights or stop signs"|"01/05/2018"|""|"walks"|"S HEATHER HILL BLVD & N HEATHER HILL BLVD"|"CARLL ST"|"2855825000929569629887"|""|"Clifton"|"S HEATHER HILL BLVD & N HEATHER HILL BLVD, Cincinnati, OH, USA"|"S HEATHER HILL BLVD & N HEATHER HILL BLVD, Cincinnati, OH, USA"|39.093229|-84.319704|"locality,political"|"locality"
183|"Vehicles run red lights or stop signs"|"07/02/2018"|"as cars head northbound, there is a hill and many are going too fast to see the light and to stop when the light here is red.  both driving and walking you need to be extra cautious in this intersection!"|"walks"|"MONTGOMERY RD & ROBISON RD"|"Montgomery Rd"|"4284234771742847747994"|""|"Kennedy Heights"|"MONTGOMERY RD & ROBISON RD, Cincinnati, OH, USA"|"MONTGOMERY RD & ROBISON RD, Cincinnati, OH, USA"|39.185919|-84.420326|"locality,political"|"locality"
1876|"Vehicles run red lights or stop signs"|"12/02/2018"|"People run red lights and they also speed thru as soon as light turns green to avoid waiting on people in crosswalk."|"walks"|"E 6TH ST & SYCAMORE ST"|"Sycamore St"|"3358588813333586197958"|""|"Downtown"|"E 6TH ST & SYCAMORE ST, Cincinnati, OH, USA"|"E 6TH ST & SYCAMORE ST, Cincinnati, OH, USA"|39.103432|-84.506783|"locality,political"|"locality"
190|"Vehicles run red lights or stop signs"|"07/02/2018"|""|"drives"|"E OGDEN PL & E OGDEN PL TERM E OF VINE ST"|"Walnut St"|"3357826705933479046603"|""|"Downtown"|"E OGDEN PL & E OGDEN PL TERM E OF VINE ST, Cincinnati, OH, USA"|"E OGDEN PL & E OGDEN PL TERM E OF VINE ST, Cincinnati, OH, USA"|39.099219|-84.514169|"locality,political"|"locality"
2264|"Vehicles run red lights or stop signs"|"13/02/2018"|"Vehicles pulling into Holmes Hospital run the stop sign.  Watched 3 cars in a row run the stop sign in front of the shuttle that had the right of way."|"travels (other)"|"EDEN AV & ALBERT SABIN WY"|"Eden Av"|"3389786105133898271414"|""|"Corryville"|"EDEN AV & ALBERT SABIN WY, Cincinnati, OH, USA"|"EDEN AV & ALBERT SABIN WY, Cincinnati, OH, USA"|39.139709|-84.505136|"locality,political"|"locality"
250|"Vehicles run red lights or stop signs"|"07/02/2018"|"This is primarily at Jessup and Cheviot but also a problem at Jessup and Colerain"|"drives"|"COLERAIN AV & JESSUP RD"|"Jessup Rd"|"2579083294125798332880"|""|"Mt. Airy"|"COLERAIN AV & JESSUP RD, Cincinnati, OH, USA"|"COLERAIN AV & JESSUP RD, Cincinnati, OH, USA"|39.207029|-84.639108|"locality,political"|"locality"
266|"Vehicles run red lights or stop signs"|"07/02/2018"|"The light takes too long to change if you are on Kirby; early in the morning people turn left on red rather than wait"|"drives"|"KIRBY AV & COLERAIN AV"|"Colerain Av"|"2977503005729777829941"|""|"Northside"|"KIRBY AV & COLERAIN AV, Cincinnati, OH, USA"|"KIRBY AV & COLERAIN AV, Cincinnati, OH, USA"|39.193432|-84.572867|"locality,political"|"locality"
2978|"Vehicles run red lights or stop signs"|"15/02/2018"|"This intersection is flat out dangerous!  At the least, there should be turn arrows."|"walks"|"BANNING RD & BELMONT AV"|"Banning Rd"|"2793839452527938764217"|""|"College Hill"|"BANNING RD & BELMONT AV, Cincinnati, OH, USA"|"BANNING RD & BELMONT AV, Cincinnati, OH, USA"|39.207083|-84.570377|"locality,political"|"locality"
364|"Vehicles run red lights or stop signs"|"07/02/2018"|"Beechmont traffic CONSTANTLY runs this traffic light (inbound), especially at morning rush hour.  The light is more of a ~suggested~ stop- dangerous for Beacon and Honeysuckle traffic."|"drives"|"BEECHMONT AV & BEACON ST"|"Honeysuckle Ln"|"4694498174946945442030"|"Also hard to turn left into Honeysuckle because cars are going so fast coming from Anderson, and left turning cars not aligned."|"Mt. Washington"|"BEECHMONT AV & BEACON ST, Cincinnati, OH, USA"|"BEECHMONT AV & BEACON ST, Cincinnati, OH, USA"|39.074658|-84.38265|"locality,political"|"locality"
364|"Vehicles run red lights or stop signs"|"07/02/2018"|"Beechmont traffic CONSTANTLY runs this traffic light (inbound), especially at morning rush hour.  The light is more of a ~suggested~ stop- dangerous for Beacon and Honeysuckle traffic."|"drives"|"BEECHMONT AV & BEACON ST"|"Honeysuckle Ln"|"4694498174946945442030"|"Hard to turn out of Honeysuckle at morning rush hour.  Cars going too fast from Anderson area and run red light."|"Mt. Washington"|"BEECHMONT AV & BEACON ST, Cincinnati, OH, USA"|"BEECHMONT AV & BEACON ST, Cincinnati, OH, USA"|39.074658|-84.38265|"locality,political"|"locality"
379|"Vehicles run red lights or stop signs"|"07/02/2018"|"Traffic calming from Summit Road to Losantiville Avenue on Reading Road might improve the safety for all travelers at the Reading Road and Section Road Intersection where BOTH Speeding AND Running Red Lights are a problem."|"travels (other)"|"READING RD & SECTION RD"|"Reading Rd"|"3813468210538136792537"|""|"Roselawn"|"READING RD & SECTION RD, Cincinnati, OH, USA"|"READING RD & SECTION RD, Cincinnati, OH, USA"|39.130367|-84.498196|"locality,political"|"locality"
383|"Vehicles run red lights or stop signs"|"07/02/2018"|"Beechmont traffic (inbound) often runs this redlight-speeding a problem here.  Scary for pedestrians"|"walks"|"BEECHMONT AV & BURNEY LN"|"Burney Ln"|"5096396974050964290034"|""|"Mt. Washington"|"BEECHMONT AV & BURNEY LN, Cincinnati, OH, USA"|"BEECHMONT AV & BURNEY LN, Cincinnati, OH, USA"|39.081423|-84.374743|"locality,political"|"locality"
435|"Vehicles run red lights or stop signs"|"07/02/2018"|"not a very safe intersection. cars run red lights. get confused on the signals and turns. casino signs not available or clear."|"drives"|"I-71 NB EXWY TO DORCHESTER AV RAMP & READING RD"|"I-71 NB Exwy To Dorchester Av Ramp"|"3361025356633610642764"|""|"Walnut Hills"|"I-71 NB EXWY TO DORCHESTER AV RAMP & READING RD, Cincinnati, OH, USA"|"I-71 NB EXWY TO DORCHESTER AV RAMP & READING RD, Cincinnati, OH, USA"|39.141134|-84.492947|"locality,political"|"locality"
463|"Vehicles run red lights or stop signs"|"07/02/2018"|"People are flying down 3rd and constantly running red lights."|"walks"|"WALNUT ST & E 3RD ST"|"E 3rd St"|"3327445652333479046603"|""|"Downtown"|"WALNUT ST & E 3RD ST, Cincinnati, OH, USA"|"WALNUT ST & E 3RD ST, Cincinnati, OH, USA"|39.099661|-84.505821|"locality,political"|"locality"
47|"Vehicles run red lights or stop signs"|"07/02/2018"|"Red light is run often on Galbraith at this light."|"travels (other)"|"EVERGREEN RIDGE DR & W GALBRAITH RD"|"Hamilton County Dr"|"3626256758336262638322"|""|"Hartwell"|"EVERGREEN RIDGE DR & W GALBRAITH RD, Cincinnati, OH, USA"|"EVERGREEN RIDGE DR & W GALBRAITH RD, Cincinnati, OH, USA"|39.217107|-84.542226|"locality,political"|"locality"
481|"Vehicles run red lights or stop signs"|"07/02/2018"|"People are speeding down 2nd to beat the light.  When the light turns yellow, they need to stop since it's a heavily walked intersection...there are pedestrians everywhere!"|"walks"|"E 2ND ST & WALNUT ST"|"E 2nd St"|"3327494625933479536339"|""|"Downtown"|"E 2ND ST & WALNUT ST, Cincinnati, OH, USA"|"E 2ND ST & WALNUT ST, Cincinnati, OH, USA"|39.09496|-84.526775|"locality,political"|"locality"
5918|"Vehicles run red lights or stop signs"|"08/03/2018"|"Drivers run this red light all day every day, often when there are police working an event at Taft Theater. Also, cars often drive in excess of 40mph to get to the highway from here."|"walks"|"SYCAMORE ST & E 5TH ST"|"E 5th St"|"3358668765933591467746"|""|"Downtown"|"SYCAMORE ST & E 5TH ST, Cincinnati, OH, USA"|"SYCAMORE ST & E 5TH ST, Cincinnati, OH, USA"|39.102361|-84.505034|"locality,political"|"locality"
744|"Vehicles run red lights or stop signs"|"08/02/2018"|""|"drives"|"MIDDLETON AV & MCALPIN AV"|"McAlpin Av"|"3273599531032751785490"|""|"Clifton"|"MIDDLETON AV & MCALPIN AV, Cincinnati, OH, USA"|"MIDDLETON AV & MCALPIN AV, Cincinnati, OH, USA"|39.150802|-84.531419|"locality,political"|"locality"
7474|"Vehicles run red lights or stop signs"|"15/03/2018"|"NB/SB vehicles frequently run red lights especially when turning left."|"travels (other)"|"BRIDGETOWN RD & ASTON WOODS DR"|"BABB AL"|"4095965386440962133714"|""|"North Avondale - Paddock Hills"|"BRIDGETOWN RD & ASTON WOODS DR, Cincinnati, OH, USA"|"BRIDGETOWN RD & ASTON WOODS DR, Cincinnati, OH, USA"|39.159219|-84.644646|"locality,political"|"locality"
752|"Vehicles run red lights or stop signs"|"08/02/2018"|""|"travels (other)"|"MIDDLETON AV & MCALPIN AV"|"Middleton Av"|"3275137493932751785310"|""|"Clifton"|"MIDDLETON AV & MCALPIN AV, Cincinnati, OH, USA"|"MIDDLETON AV & MCALPIN AV, Cincinnati, OH, USA"|39.150802|-84.531419|"locality,political"|"locality"
777|"Vehicles run red lights or stop signs"|"08/02/2018"|""|"drives"|"MIDDLETON AV & MCALPIN AV"|"McAlpin Av"|"3273599531032751785490"|""|"Clifton"|"MIDDLETON AV & MCALPIN AV, Cincinnati, OH, USA"|"MIDDLETON AV & MCALPIN AV, Cincinnati, OH, USA"|39.150802|-84.531419|"locality,political"|"locality"
780|"Vehicles run red lights or stop signs"|"08/02/2018"|""|"drives"|"MIDDLETON AV & MCALPIN AV"|"Middleton Av"|"3275137493932751785310"|""|"Clifton"|"MIDDLETON AV & MCALPIN AV, Cincinnati, OH, USA"|"MIDDLETON AV & MCALPIN AV, Cincinnati, OH, USA"|39.150802|-84.531419|"locality,political"|"locality"
781|"Vehicles run red lights or stop signs"|"08/02/2018"|""|"drives"|"MIDDLETON AV & MCALPIN AV"|"McAlpin Av"|"3273599531032751785490"|""|"Clifton"|"MIDDLETON AV & MCALPIN AV, Cincinnati, OH, USA"|"MIDDLETON AV & MCALPIN AV, Cincinnati, OH, USA"|39.150802|-84.531419|"locality,political"|"locality"
782|"Vehicles run red lights or stop signs"|"08/02/2018"|""|"drives"|"MIDDLETON AV & MCALPIN AV"|"Middleton Av"|"3275137493932751785310"|""|"Clifton"|"MIDDLETON AV & MCALPIN AV, Cincinnati, OH, USA"|"MIDDLETON AV & MCALPIN AV, Cincinnati, OH, USA"|39.150802|-84.531419|"locality,political"|"locality"
786|"Vehicles run red lights or stop signs"|"08/02/2018"|""|"walks"|"MIDDLETON AV & MCALPIN AV"|"McAlpin Av"|"3275178531032761205201"|""|"Clifton"|"MIDDLETON AV & MCALPIN AV, Cincinnati, OH, USA"|"MIDDLETON AV & MCALPIN AV, Cincinnati, OH, USA"|39.150802|-84.531419|"locality,political"|"locality"
7889|"Vehicles run red lights or stop signs"|"19/03/2018"|"Cars run red light or do not yield to those crossing street in crosswalk.  

I am an employee of Cincinnati Children's and cross at this intersection a minimum of two times a day.  I have nearly been struck by cars on multiple occasions."|"uses an assistive device"|"HARRISON AV & HARRISON RD"|"W 8TH ST"|"2422731087324229790835"|""|"Corryville"|"HARRISON AV & HARRISON RD, Cincinnati, OH, USA"|"HARRISON AV & HARRISON RD, Cincinnati, OH, USA"|39.123374|-84.53793|"locality,political"|"locality"
8113|"Vehicles run red lights or stop signs"|"20/03/2018"|"A lot of people do not, or barely, stop at this stop sign and pull out in front of oncoming traffic heading down Erkenbrecker."|"drives"|"HARRISON RD & GAINSVIEW RD"|"CONGRESS AV"|"3881094746138811888347"|""|"Avondale"|"HARRISON RD & GAINSVIEW RD, Cincinnati, OH, USA"|"HARRISON RD & GAINSVIEW RD, Cincinnati, OH, USA"|39.095735|-84.300899|"locality,political"|"locality"
8115|"Vehicles run red lights or stop signs"|"20/03/2018"|"There is a ~No turn on red~ sign from Spring Grove on to Ludlow Ave. I see people run it all the time, and quite a few of these who do, are Police officers working out of the station at the top of the hill running late in the morning."|"drives"|"HARRISON RD & WEST RD"|"MILL RD"|"3100577139331006322293"|""|"Northside"|"HARRISON RD & WEST RD, Cincinnati, OH, USA"|"HARRISON RD & WEST RD, Cincinnati, OH, USA"|39.095735|-84.300899|"locality,political"|"locality"
9089|"Vehicles run red lights or stop signs"|"27/03/2018"|"Heavy motor and foot traffic at this intersection.  Have had several near misses as cars often run red lights and speed through the area. Also, the walk signal is too short."|"walks"|"STARSPRAY DR & SPRING FLOWER CT"|"I-75 SB EXWY"|"3819749233438206723543"|""|"Avondale"|"STARSPRAY DR & SPRING FLOWER CT, Cincinnati, OH, USA"|"STARSPRAY DR & SPRING FLOWER CT, Cincinnati, OH, USA"|39.2648|-84.547587|"locality,political"|"locality"
916|"Vehicles run red lights or stop signs"|"08/02/2018"|"People turning onto 5th street from Vine Street run the red lights constantly or do not wait for the pedestrians to cross the street either to the other side of Fifth Street or to the other side of Vine Street."|"walks"|"W 5TH ST & VINE ST"|"Vine St"|"3317288744233173427137"|""|"Downtown"|"W 5TH ST & VINE ST, Cincinnati, OH, USA"|"W 5TH ST & VINE ST, Cincinnati, OH, USA"|39.100477|-84.517815|"locality,political"|"locality"
9266|"Vehicles run red lights or stop signs"|"28/03/2018"|"All day - every day cars speed and blow through a completely red light at Kasota and Burnet."|"walks"|"MT HOPE RD & MIAMI AV"|"HARVEY AV"|"3381745133533817751611"|""|"Avondale"|"MT HOPE RD & MIAMI AV, Cincinnati, OH, USA"|"MT HOPE RD & MIAMI AV, Cincinnati, OH, USA"|39.199763|-84.362163|"locality,political"|"locality"
949|"Vehicles run red lights or stop signs"|"08/02/2018"|""|"walks"|"MIDDLETON AV & MCALPIN AV"|"McAlpin Av"|"3275178531032761205201"|""|"Clifton"|"MIDDLETON AV & MCALPIN AV, Cincinnati, OH, USA"|"MIDDLETON AV & MCALPIN AV, Cincinnati, OH, USA"|39.150802|-84.531419|"locality,political"|"locality"
950|"Vehicles run red lights or stop signs"|"08/02/2018"|""|"walks"|"MIDDLETON AV & MCALPIN AV"|"Middleton Av"|"3275137493932751785310"|""|"Clifton"|"MIDDLETON AV & MCALPIN AV, Cincinnati, OH, USA"|"MIDDLETON AV & MCALPIN AV, Cincinnati, OH, USA"|39.150802|-84.531419|"locality,political"|"locality"
952|"Vehicles run red lights or stop signs"|"08/02/2018"|""|"drives"|"MIDDLETON AV & MCALPIN AV"|"McAlpin Av"|"3275178531032761205201"|""|"Clifton"|"MIDDLETON AV & MCALPIN AV, Cincinnati, OH, USA"|"MIDDLETON AV & MCALPIN AV, Cincinnati, OH, USA"|39.150802|-84.531419|"locality,political"|"locality"
9777|"Vehicles run red lights or stop signs"|"01/04/2018"|""|"walks"|"TULE LN & LONG ST"|"HUNTING FIELDS LN"|"6102939981861032689798"|""|"Clifton"|"TULE LN & LONG ST, Cincinnati, OH, USA"|"TULE LN & LONG ST, Cincinnati, OH, USA"|39.176736|-84.457102|"locality,political"|"locality"
102|"Speeding"|"07/02/2018"|"Robertson Avenue has speeds of 45 to 50mph every day during rush hour."|"walks"|"ROBERTSON AV & 33RD AV"|"Robertson Av"|"4259772684442500996808"|""|"Oakley"|"ROBERTSON AV & 33RD AV, Cincinnati, OH, USA"|"ROBERTSON AV & 33RD AV, Cincinnati, OH, USA"|39.152577|-84.434401|"locality,political"|"locality"
1064|"Speeding"|"08/02/2018"|"People continually go 40-50 mph down observatory. Not too mention they also drive two cars wide on a single lane street so they are practically a couple feet from walkers. There are kids walking home from school with little concern from the drivers"|"walks"|"BURCH AV & OBSERVATORY AV"|"Observatory Av"|"4076202034440765620314"|"Totally agree."|"Hyde Park"|"BURCH AV & OBSERVATORY AV, Cincinnati, OH, USA"|"BURCH AV & OBSERVATORY AV, Cincinnati, OH, USA"|39.14498|-84.446666|"locality,political"|"locality"
