ID,street,city,state,zipCode,lat,long,WalkScore,WalkScoreDesc,BikeScore,BikeScoreDesc,TransitScore,TransitScoreDesc
27,GLEN ACRE, AMBERLEY,OH,45237,39.192995,-84.443136,3,Car-Dependent,0,0,0,0
28,E FARM, CINCINNATI,OH,45237,39.193302,-84.445262,19,Car-Dependent,0,0,0,0
29,BEECHLANDS DR, AMBERLEY,OH,45237,39.1957393,-84.4351511,7,Car-Dependent,0,0,0,0
30,MEADOW RIDGE, CINCINNATI,OH,45237,39.1948643,-84.4474186,14,Car-Dependent,0,0,0,0
31,FARM ACRES, AMBERLEY,OH,45237,39.1953729,-84.445765,17,Car-Dependent,0,0,0,0
32,ELBROOK AVE, CINCINNATI,OH,45237,39.19764,-84.447735,41,Car-Dependent,0,0,0,0
33,W ARACOMA, CINCINNATI,OH,45237,39.1973,-84.437107,3,Car-Dependent,0,0,0,0
34,WILLOWBROOK LN, CINCINNATI,OH,45237,39.198763,-84.4380599,2,Car-Dependent,0,0,0,0
35,WINDING WAY, CINCINNATI,OH,45236,39.1988092,-84.4124627,18,Car-Dependent,0,0,0,0
36,E ARACOMA, CINCINNATI,OH,45237,39.20183,-84.433111,3,Car-Dependent,0,0,0,0
37,FERNWOOD DR, CINCINNATI,OH,45237,39.204326,-84.435492,1,Car-Dependent,0,0,0,0
38,SAGAMORE DR, CINCINNATI,OH,45236,39.201644,-84.410009,30,Car-Dependent,0,0,0,0
39,GWENWYN DR, CINCINNATI,OH,45236,39.203471,-84.4091679,32,Car-Dependent,0,0,0,0
40,CREEKWOOD LN, CINCINNATI,OH,45237,39.203895,-84.429944,3,Car-Dependent,0,0,0,0
41,SPRINGVALLEY DR, CINCINNATI,OH,45236,39.2068748,-84.4191131,2,Car-Dependent,0,0,0,0
42,RIDGE RD, CINCINNATI,OH,45236,39.211711,-84.426272,34,Car-Dependent,0,0,0,0
43,LYNNEHAVEN DR, CINCINNATI,OH,45236,39.2152264,-84.4105458,6,Car-Dependent,0,0,0,0
44,AMBERCREEK DR, CINCINNATI,OH,45237,39.203802,-84.418537,72,Very Walkable,50,Bikeable,0,0
45,OAKS DR, ANDERSON TOWNSHIP,OH,45255,39.077903,-84.3433416,51,Somewhat Walkable,0,0,0,0
46,FARM LN, ANDERSON TOWNSHIP,OH,45230,39.0799821,-84.4084599,5,Car-Dependent,0,0,0,0
47,HILL RD,CINCINNATI,OH,45230,39.0763319,-84.4107311,11,Car-Dependent,1,Somewhat Bikeable,0,0
48,TRAILS DR, CINCINNATI,OH,45244,39.1048363,-84.3103762,17,Car-Dependent,0,0,0,0
49,CARMEL RD,CINCINNATI,OH,45244,39.1313465,-84.3096275,6,Car-Dependent,0,0,0,0
50,BOTTOM RD, CINCINNATI,OH,45244,39.1512082,-84.3045451,6,Car-Dependent,0,0,0,0
51,HILL LN, ANDERSON TOWNSHIP,OH,45244,39.1109792,-84.3964715,2,Car-Dependent,0,0,0,0
52,CHESTNUT LN, CINCINNATI,OH,45230,39.0706824,-84.400584,2,Car-Dependent,0,0,0,0
53,ARTWOOD DR, CINCINNATI,OH,45230,39.0678418,-84.3626458,29,Car-Dependent,0,0,0,0
54,WITTSHIRE LN, CINCINNATI,OH,45255,39.068218,-84.3326859,52,Somewhat Walkable,0,0,0,0
55,NIMITZ LN, CINCINNATI,OH,45230,39.068869,-84.388492,19,Car-Dependent,0,0,0,0
56,EASTLAND TERRACE, CINCINNATI,OH,45230,39.0687192,-84.3598118,26,Car-Dependent,0,0,0,0
57,EVERSOLE RD, CINCINNATI,OH,45230,39.0715549,-84.3997425,6,Car-Dependent,0,0,0,0
58,ALNETTA DR, CINCINNATI,OH,45230,39.0684755,-84.365685,36,Car-Dependent,0,0,0,0
59,WITTSHIRE CIR, CINCINNATI,OH,45255,39.069123,-84.3309973,4,Car-Dependent,0,0,0,0
60,SUTTON RD, CINCINNATI,OH,45230,39.0709252,-84.3947766,18,Car-Dependent,27,Somewhat Bikeable,0,0
61,MAYCLIFFE PL, CINCINNATI,OH,45230,39.0720722,-84.3804911,17,Car-Dependent,0,0,0,0
62,LANETTE DR, CINCINNATI,OH,45230,39.0700115,-84.3790312,38,Car-Dependent,0,0,0,0
63,BIRNEY LN, CINCINNATI,OH,45230,39.069915,-84.376783,36,Car-Dependent,0,0,0,0
64,BEACON ST, CINCINNATI,OH,45230,39.0708544,-84.383055,34,Car-Dependent,0,0,0,0
65,BURNS AVE, CINCINNATI,OH,45230,39.06993,-84.375609,41,Car-Dependent,0,0,0,0
66,STORMY WAY, CINCINNATI,OH,45230,39.069879,-84.377501,37,Car-Dependent,0,0,0,0
67,OYSTERBAY DR, CINCINNATI,OH,45255,39.0682556,-84.3241618,50,Somewhat Walkable,0,0,0,0
68,4 MILE, CINCINNATI,OH,45230,39.0715121,-84.3933595,2,Car-Dependent,0,0,0,0
69,SHANGRILA DR, CINCINNATI,OH,45230,39.0717687,-84.3532396,50,Car-Dependent,0,0,0,0
70,WHITE PINE, CINCINNATI,OH,45255,39.0678104,-84.3143256,41,Car-Dependent,0,0,0,0
71,STRATFORD HILL, CINCINNATI,OH,45230,39.0695846,-84.3567312,41,Car-Dependent,0,0,0,0
72,HOLZ AVE, CINCINNATI,OH,45230,39.071392,-84.386614,45,Car-Dependent,41,Somewhat Bikeable,0,0
73,WITT RD, CINCINNATI,OH,45255,39.0681998,-84.3352651,49,Car-Dependent,0,0,0,0
74,BAYTREE CT, CINCINNATI,OH,45230,39.0716675,-84.3824481,61,Somewhat Walkable,49,Somewhat Bikeable,0,0
75,BROOKE AVE, CINCINNATI,OH,45230,39.0716386,-84.3797826,38,Car-Dependent,0,0,0,0
76,BRUCE AVE, CINCINNATI,OH,45230,39.0715117,-84.3847147,33,Car-Dependent,0,0,0,0
77,JOETTA DR, CINCINNATI,OH,45230,39.0698973,-84.3640422,45,Car-Dependent,0,0,0,0
78,8 MILE, CINCINNATI,OH,45255,39.0691419,-84.3223366,56,Somewhat Walkable,0,0,0,0
79,HAWKSTONE DR, CINCINNATI,OH,45230,39.0729921,-84.3954531,14,Car-Dependent,0,0,0,0
80,MARKLEY RD, CINCINNATI,OH,45230,39.0703617,-84.3582955,5,Car-Dependent,0,0,0,0
81,ROSETREE LN, CINCINNATI,OH,45230,39.0701498,-84.3667528,36,Car-Dependent,0,0,0,0
82,STREAM RIDGE, CINCINNATI,OH,45255,39.0687481,-84.3428048,18,Car-Dependent,0,0,0,0
83,COVENTRY WOODS, CINCINNATI,OH,45230,39.0769442,-84.4101878,11,Car-Dependent,1,Somewhat Bikeable,0,0
84,ASBURY RD, CINCINNATI,OH,45255,39.0706682,-84.3420344,0,Car-Dependent,0,0,0,0
85,WILSHIRE AVE, CINCINNATI,OH,45230,39.0719135,-84.3730361,29,Car-Dependent,0,0,0,0
86,KINGSCOVE WAY, CINCINNATI,OH,45230,39.0708609,-84.3684572,33,Car-Dependent,0,0,0,0
87,IMMACULATE LN, CINCINNATI,OH,45255,39.0686671,-84.3402985,56,Somewhat Walkable,0,0,0,0
88,NORDYKE RD, CINCINNATI,OH,45255,39.0704902,-84.3156204,74,Very Walkable,42,Somewhat Bikeable,0,0
89,THORNWOOD CIR, CINCINNATI,OH,45230,39.073997,-84.388435,28,Car-Dependent,0,0,0,0
90,AYERSHIRE AVE, CINCINNATI,OH,45230,39.0732284,-84.3708596,42,Car-Dependent,39,Somewhat Bikeable,0,0
91,BONDICK CT, CINCINNATI,OH,45230,39.0752351,-84.3818646,51,Somewhat Walkable,0,0,0,0
92,SCHIRMER AVE, CINCINNATI,OH,45230,39.0754974,-84.3805606,51,Somewhat Walkable,0,0,0,0
93,NAGEL RD, CINCINNATI,OH,45255,39.0743129,-84.332511,32,Car-Dependent,0,0,0,0
94,COOLIDGE AVE, CINCINNATI,OH,45230,39.075813,-84.3773477,52,Somewhat Walkable,0,0,0,0
95,RAMBLINGHILLS DR, CINCINNATI,OH,45230,39.0745641,-84.3554681,37,Car-Dependent,0,0,0,0
96,WOLFANGEL RD, CINCINNATI,OH,45255,39.074502,-84.3451797,70,Very Walkable,0,0,0,0
97,MAYLAND DR, CINCINNATI,OH,45230,39.0765224,-84.3850283,23,Car-Dependent,35,Somewhat Bikeable,27,Some Transit
98,CROTTY CT, CINCINNATI,OH,45255,39.0751567,-84.3465978,66,Somewhat Walkable,0,0,0,0
99,VOLL RD, CINCINNATI,OH,45230,39.0759621,-84.3678206,31,Car-Dependent,0,0,0,0
100,COLLINSDALE AVE, CINCINNATI,OH,45230,39.0759463,-84.3540612,61,Somewhat Walkable,0,0,0,0
101,WASHINGTON CIR, CINCINNATI,OH,45255,39.0759055,-84.3440201,61,Somewhat Walkable,0,0,0,0
102,STANLEY RD, CINCINNATI,OH,45230,39.076675,-84.3632619,39,Car-Dependent,0,0,0,0
103,PLAZAVIEW CT, CINCINNATI,OH,45255,39.0769012,-84.3461326,63,Somewhat Walkable,0,0,0,0
104,GRAND OAKS, CINCINNATI,OH,45255,39.0778646,-84.3392302,17,Car-Dependent,0,0,0,0
105,DYER AVE, CINCINNATI,OH,45230,39.0781341,-84.3841146,38,Car-Dependent,39,Somewhat Bikeable,0,0
106,CASTLEBERRY CT, CINCINNATI,OH,45255,39.0769896,-84.3261699,25,Car-Dependent,0,0,0,0
107,APPLE FARM, CINCINNATI,OH,45230,39.0794184,-84.4097569,4,Car-Dependent,0,0,0,0
108,APPLE HILL, CINCINNATI,OH,45230,39.0805996,-84.4041226,6,Car-Dependent,0,0,0,0
109,MONTEGOR DR, CINCINNATI,OH,45230,39.0790963,-84.3579634,15,Car-Dependent,0,0,0,0
110,LARRY JOE, CINCINNATI,OH,45230,39.078951,-84.3667118,25,Car-Dependent,0,0,0,0
111,VERDALE DR, CINCINNATI,OH,45230,39.0799096,-84.3580045,15,Car-Dependent,0,0,0,0
112,BURR OAK, CINCINNATI,OH,45255,39.0785713,-84.342928,51,Somewhat Walkable,0,0,0,0
113,SIGMA CIR, CINCINNATI,OH,45255,39.0779061,-84.3245997,44,Car-Dependent,0,0,0,0
114,OLDBRIDGE RD, CINCINNATI,OH,45230,39.081245,-84.3629744,15,Car-Dependent,0,0,0,0
115,PADDISON TRAILS, CINCINNATI,OH,45230,39.081285,-84.3625431,15,Car-Dependent,0,0,0,0
116,COHASSET DR, CINCINNATI,OH,45255,39.079727,-84.3462456,58,Somewhat Walkable,0,0,0,0
117,HUNTCREST DR, CINCINNATI,OH,45255,39.0791095,-84.3398054,17,Car-Dependent,0,0,0,0
118,VANCROSS CT, CINCINNATI,OH,45230,39.0823666,-84.4056734,0,Car-Dependent,0,0,0,0
119,LAVAL DR, CINCINNATI,OH,45255,39.0787387,-84.3146544,25,Car-Dependent,0,0,0,0
120,SHARJOY CT, MT WASHINGTON,OH,45230,39.0833565,-84.4079204,4,Car-Dependent,21,Somewhat Bikeable,11,Minimal Transit
121,CITADEL PL, CINCINNATI,OH,45255,39.0789093,-84.3156714,25,Car-Dependent,0,0,0,0
122,SUMMITHILLS DR, CINCINNATI,OH,45255,39.0790155,-84.3176826,29,Car-Dependent,0,0,0,0
123,BLUEORCHARD DR, CINCINNATI,OH,45230,39.0809326,-84.3531574,26,Car-Dependent,0,0,0,0
124,BRAINTREE DR, CINCINNATI,OH,45255,39.0803667,-84.3473224,34,Car-Dependent,0,0,0,0
125,TURQUOISE DR, CINCINNATI,OH,45255,39.080224,-84.3244673,31,Car-Dependent,0,0,0,0
126,BEECHSHIRE DR, CINCINNATI,OH,45255,39.0794703,-84.3378965,14,Car-Dependent,0,0,0,0
127,MUSKEGON DR, CINCINNATI,OH,45255,39.0801539,-84.3120647,36,Car-Dependent,0,0,0,0
128,CLEMSON CIR, CINCINNATI,OH,45255,39.0806123,-84.3135651,25,Car-Dependent,0,0,0,0
129,MCCABE LN, CINCINNATI,OH,45255,39.0813415,-84.3431745,23,Car-Dependent,0,0,0,0
130,ROCKHURST LN, CINCINNATI,OH,45255,39.0809304,-84.318847,27,Car-Dependent,0,0,0,0
131,COLLINSPARK CT, CINCINNATI,OH,45230,39.082266,-84.356549,26,Car-Dependent,0,0,0,0
132,PINEBLUFF LN, CINCINNATI,OH,45255,39.080922,-84.3161753,56,Somewhat Walkable,0,0,0,0
133,EMERALD GLADE, CINCINNATI,OH,45255,39.0824073,-84.3464536,33,Car-Dependent,0,0,0,0
134,ROBINWAY DR, CINCINNATI,OH,45230,39.0842785,-84.3653154,11,Car-Dependent,0,0,0,0
135,GRANDLE CT, CINCINNATI,OH,45230,39.082664,-84.355373,28,Car-Dependent,0,0,0,0
136,EASTWIND CT, CINCINNATI,OH,45230,39.0829231,-84.3582509,21,Car-Dependent,0,0,0,0
137,TONOPAH DR, CINCINNATI,OH,45255,39.0825259,-84.3233431,39,Car-Dependent,0,0,0,0
138,HILLTREE DR, CINCINNATI,OH,45255,39.0821077,-84.3204226,29,Car-Dependent,0,0,0,0
139,FRIARTUCK LN, CINCINNATI,OH,45230,39.0838233,-84.3642887,12,Car-Dependent,0,0,0,0
140,STONEHOUSE LN, CINCINNATI,OH,45255,39.0825846,-84.3361896,23,Car-Dependent,0,0,0,0
141,FIRESIDE DR, CINCINNATI,OH,45255,39.084263,-84.324515,27,Car-Dependent,0,0,0,0
142,LOISDALE CT, CINCINNATI,OH,45255,39.0836356,-84.3127635,18,Car-Dependent,0,0,0,0
143,WOODPINE LN, CINCINNATI,OH,45255,39.0838731,-84.3418452,24,Car-Dependent,0,0,0,0
144,BERKSHIRE CLUB, CINCINNATI,OH,45230,39.0868014,-84.3722797,29,Car-Dependent,25,Somewhat Bikeable,0,0
145,LINDSEY LN, CINCINNATI,OH,45230,39.0870626,-84.3708025,19,Car-Dependent,19,Somewhat Bikeable,0,0
146,SANDCLIFF DR, CINCINNATI,OH,45255,39.0852736,-84.3339296,24,Car-Dependent,0,0,0,0
147,RUSTICWOOD LN, CINCINNATI,OH,45255,39.0853458,-84.3421063,17,Car-Dependent,0,0,0,0
148,LOISVIEW LN, CINCINNATI,OH,45255,39.0856001,-84.3149117,18,Car-Dependent,0,0,0,0
149,WANNINGER LN, CINCINNATI,OH,45255,39.0856578,-84.3284892,27,Car-Dependent,0,0,0,0
150,VELMA CT, CINCINNATI,OH,45255,39.0855535,-84.3179098,23,Car-Dependent,0,0,0,0
151,WINDHILL TERRACE, CINCINNATI,OH,45255,39.0875395,-84.3354911,14,Car-Dependent,0,0,0,0
152,WITTMEYER DR, CINCINNATI,OH,45230,39.0857295,-84.3567312,26,Car-Dependent,0,0,0,0
153,GAINSBOROUGH LN, CINCINNATI,OH,45230,39.0863063,-84.3636315,13,Car-Dependent,0,0,0,0
154,STUTLY CT, CINCINNATI,OH,45230,39.0870943,-84.3606332,16,Car-Dependent,0,0,0,0
155,ANDERSON COVE, CINCINNATI,OH,45244,39.0877537,-84.3152915,18,Car-Dependent,0,0,0,0
156,KNIGHTSBRIDGE DR, CINCINNATI,OH,45244,39.0893375,-84.3166467,18,Car-Dependent,0,0,0,0
157,BERRYPATCH DR, CINCINNATI,OH,45244,39.0891702,-84.3272945,26,Car-Dependent,0,0,0,0
159,KELLOGG AVE, CINCINNATI,OH,45230,39.0553079,-84.407772,9,Car-Dependent,0,0,0,0
160,ENDOVALLEY DR, CINCINNATI,OH,45244,39.0897657,-84.3253819,24,Car-Dependent,0,0,0,0
161,EVANOR LN, CINCINNATI,OH,45244,39.0911019,-84.333683,24,Car-Dependent,0,0,0,0
162,HUNTERS POINT, CINCINNATI,OH,45244,39.0903054,-84.3356554,7,Car-Dependent,0,0,0,0
164,HARCOURT ESTATES, CINCINNATI,OH,45244,39.094403,-84.313052,4,Car-Dependent,0,0,0,0
165,FLAXEN CT, CINCINNATI,OH,45244,39.0928295,-84.3542665,3,Car-Dependent,0,0,0,0
166,BRUNS LN, CINCINNATI,OH,45244,39.0923377,-84.3399287,74,Very Walkable,42,Somewhat Bikeable,0,0
167,CANDLEMAKER DR, CINCINNATI,OH,45244,39.0951443,-84.3551702,5,Car-Dependent,0,0,0,0
168,BRETTON DR, CINCINNATI,OH,45244,39.093753,-84.350196,4,Car-Dependent,0,0,0,0
169,REGIS CT, CINCINNATI,OH,45244,39.0951199,-84.3421063,4,Car-Dependent,0,0,0,0
170,POINTE PL, CINCINNATI,OH,45244,39.0958088,-84.3379154,3,Car-Dependent,0,0,0,0
171,DONNINGTON LN, CINCINNATI,OH,45244,39.0944853,-84.3520278,1,Car-Dependent,0,0,0,0
172,MORNING WATCH, CINCINNATI,OH,45244,39.0966576,-84.329923,2,Car-Dependent,0,0,0,0
173,BERRYWOOD DR, CINCINNATI,OH,45244,39.0960485,-84.3445303,3,Car-Dependent,0,0,0,0
174,SHIMMERING BAY, CINCINNATI,OH,45244,39.0966089,-84.3256447,8,Car-Dependent,0,0,0,0
175,CLYDE'S CROSSING, CINCINNATI,OH,45244,39.0975924,-84.3324708,6,Car-Dependent,0,0,0,0
176,ESTATE RIDGE, CINCINNATI,OH,45244,39.0986945,-84.3238612,4,Car-Dependent,0,0,0,0
177,TURNBERRY DR, CINCINNATI,OH,45244,39.0986314,-84.3492959,4,Car-Dependent,0,0,0,0
178,ASHTON CT, CINCINNATI,OH,45244,39.09706,-84.336412,3,Car-Dependent,0,0,0,0
179,LITTLE DRY, CINCINNATI,OH,45244,39.0991424,-84.3447768,5,Car-Dependent,0,0,0,0
180,ANDERSON MANOR, CINCINNATI,OH,45244,39.0996129,-84.3469543,4,Car-Dependent,0,0,0,0
181,ROYALVIEW CT, CINCINNATI,OH,45244,39.1000665,-84.3653788,9,Car-Dependent,0,0,0,0
182,CONCORDGREEN DR, CINCINNATI,OH,45244,39.1006646,-84.3519251,75,Very Walkable,50,Somewhat Bikeable,0,0
183,FAIRGROVE CT, CINCINNATI,OH,45244,39.0987184,-84.3301901,2,Car-Dependent,0,0,0,0
184,PONDRUN AVE, CINCINNATI,OH,45244,39.1006641,-84.3586206,6,Car-Dependent,0,0,0,0
185,VERAVIEW CT, CINCINNATI,OH,45244,39.0997543,-84.3350288,87,Very Walkable,Somewhat Bikeable,46,52,Good Transit
186,MONTCHATEAU DR, CINCINNATI,OH,45244,39.1019784,-84.3411247,3,Car-Dependent,0,0,0,0
187,SUNNY ACRES, CINCINNATI,OH,45255,39.0448143,-84.3580456,0,Car-Dependent,0,0,0,0
188,LAKEWOOD POINTE, CINCINNATI,OH,45244,39.1032012,-84.3098825,17,Car-Dependent,0,0,0,0
189,CALEDON LN, CINCINNATI,OH,45244,39.1077955,-84.3727897,13,Car-Dependent,0,0,0,0
190,SADDLEBACK DR, CINCINNATI,OH,45244,39.1080406,-84.3742988,3,Car-Dependent,0,0,0,0
191,LAWYERS POINT, CINCINNATI,OH,45244,39.1053352,-84.3504051,2,Car-Dependent,0,0,0,0
192,TURPIN KNOLL, CINCINNATI,OH,45244,39.1083276,-84.3802511,3,Car-Dependent,0,0,0,0
193,TURNKEY CT, CINCINNATI,OH,45244,39.1063316,-84.3509563,1,Car-Dependent,0,0,0,0
194,HIGH POINTE, CINCINNATI,OH,45244,39.1055148,-84.3086322,16,Car-Dependent,0,0,0,0
195,DEERHAVEN DR, CINCINNATI,OH,45244,39.1067445,-84.3384906,3,Car-Dependent,0,0,0,0
196,PATTERSON FARMS, CINCINNATI,OH,45244,39.1118045,-84.3884486,6,Car-Dependent,0,0,0,0
197,TURPIN LAKE, CINCINNATI,OH,45244,39.1140084,-84.3906626,6,Car-Dependent,0,0,0,0
198,PERTHWOOD DR, CINCINNATI,OH,45244,39.1110791,-84.3601814,5,Car-Dependent,0,0,0,0
199,COURTROPES LN, CINCINNATI,OH,45244,39.1133072,-84.3857852,4,Car-Dependent,0,0,0,0
200,SARNIA CT, CINCINNATI,OH,45244,39.1132386,-84.3595653,3,Car-Dependent,0,0,0,0
201,TREEKNOLL CT, CINCINNATI,OH,45244,39.1150035,-84.3609867,3,Car-Dependent,0,0,0,0
202,WILLIAMS CREEK, CINCINNATI,OH,45244,39.112133,-84.338655,1,Car-Dependent,0,0,0,0
203,KILLINGTON LN, CINCINNATI,OH,45244,39.1147302,-84.3267792,5,Car-Dependent,0,0,0,0
204,3RD AVE, CINCINNATI,OH,45202,39.1392263,-84.367424,21,Car-Dependent,0,0,0,0
205,BISHOPSBRIDGE DR, CINCINNATI,OH,45255,39.0463311,-84.3680568,74,Very Walkable,42,Somewhat Bikeable,0,0
206,MT CARMEL, CINCINNATI,OH,45244,39.113973,-84.30799,35,Car-Dependent,0,0,0,0
207,DRY RUN, CINCINNATI,OH,45244,39.1197749,-84.3367443,1,Car-Dependent,0,0,0,0
208,HICKORY CREEK, CINCINNATI,OH,45244,39.1206987,-84.3225974,2,Car-Dependent,0,0,0,0
209,SUMMER VIEW, CINCINNATI,OH,45255,39.0487896,-84.3550676,0,Car-Dependent,0,0,0,0
210,LINCOLN TERRACE, CINCINNATI,OH,45244,39.137723,-84.368944,2,Car-Dependent,0,0,0,0
211,SUMTER PKWY, CINCINNATI,OH,45244,39.138478,-84.368354,2,Car-Dependent,0,0,0,0
212,HARRISON AVE, CINCINNATI,OH,45211,39.137807,-84.370485,49,Car-Dependent,48,Somewhat Bikeable,0,0
213,WATCH POINT, FORT THOMAS,OH,41075,39.058428,-84.385639,0,Car-Dependent,0,0,0,0
214,ROUND BOTTOM, CINCINNATI,OH,45244,39.149026,-84.303532,3,Car-Dependent,0,0,0,0
215,COTTAGE CT, CINCINNATI,OH,45230,39.0793027,-84.3807796,52,Somewhat Walkable,39,Somewhat Bikeable,0,0
216,SIGNAL HILL, CINCINNATI,OH,45244,39.1089004,-84.3990186,28,Car-Dependent,0,0,0,0
217,BATAVIA RD, CINCINNATI,OH,45244,39.1116031,-84.3981876,44,Car-Dependent,0,0,0,0
218,CLOUGH PIKE, CINCINNATI,OH,45244,39.1124694,-84.3932364,19,Car-Dependent,0,0,0,0
219,ROLLINGROCK LN, CINCINNATI,OH,45255,39.0555928,-84.3543487,0,Car-Dependent,0,0,0,0
220,WHISPER LN, CINCINNATI,OH,45230,39.0837915,-84.4049346,3,Car-Dependent,21,Somewhat Bikeable,0,0
221,BROOKSTONE DR, CINCINNATI,OH,45230,39.0758165,-84.4061248,5,Car-Dependent,1,Somewhat Bikeable,0,0
222,SHADY HOLLOW, CINCINNATI,OH,45230,39.0844537,-84.4024618,2,Car-Dependent,0,0,0,0
223,SALEM RD, CINCINNATI,OH,45230,39.0785972,-84.4027799,74,Very Walkable,42,Somewhat Bikeable,0,0
224,CHESTNUT RIDGE, CINCINNATI,OH,45230,39.0721874,-84.4027799,3,Car-Dependent,0,0,0,0
225,LENGWOOD DR, CINCINNATI,OH,45244,39.112911,-84.3871548,6,Car-Dependent,0,0,0,0
226,FORESTWAY LN, CINCINNATI,OH,45230,39.081009,-84.397076,9,Car-Dependent,0,0,0,0
227,TURPIN HILLS, CINCINNATI,OH,45244,39.1087243,-84.3821502,6,Car-Dependent,0,0,0,0
228,CRITTENDEN DR, CINCINNATI,OH,45244,39.110894,-84.385773,4,Car-Dependent,0,0,0,0
229,ROPES DR, CINCINNATI,OH,45244,39.1131545,-84.3838761,3,Car-Dependent,0,0,0,0
230,SEBRIGHT LN, CINCINNATI,OH,45230,39.0727999,-84.3965203,14,Car-Dependent,0,0,0,0
231,SQUIREHILL CT, CINCINNATI,OH,45230,39.0651281,-84.3958123,11,Car-Dependent,0,0,0,0
232,BENNETTWOODS CT, CINCINNATI,OH,45230,39.0591576,-84.367528,2,Car-Dependent,0,0,0,0
233,ORCHARD DR, CINCINNATI,OH,45230,39.079452,-84.392901,16,Car-Dependent,28,Somewhat Bikeable,0,0
234,STIRRUP RD, CINCINNATI,OH,45244,39.1090559,-84.3773705,6,Car-Dependent,0,0,0,0
235,LUWISTA LN, CINCINNATI,OH,45230,39.078573,-84.391862,21,Car-Dependent,0,0,0,0
236,WATCHVIEW CT, CINCINNATI,OH,45230,39.0658855,-84.3927848,8,Car-Dependent,0,0,0,0
237,SONNY DR, CINCINNATI,OH,45230,39.0628051,-84.3922204,5,Car-Dependent,0,0,0,0
238,LILBUR LN, CINCINNATI,OH,45230,39.0632522,-84.3890696,2,Car-Dependent,0,0,0,0
239,TWIG LN, CINCINNATI,OH,45230,39.0737378,-84.3873817,36,Car-Dependent,0,0,0,0
240,AUTUMNLEAF LN, CINCINNATI,OH,45230,39.0732368,-84.3870374,28,Car-Dependent,0,0,0,0
241,MERCERS POINTE, CINCINNATI,OH,45244,39.104169,-84.372252,19,Car-Dependent,0,0,0,0
242,DUNWOODIE DR, CINCINNATI,OH,45230,39.0571528,-84.3707185,2,Car-Dependent,0,0,0,0
243,BIRCHDALE CT, CINCINNATI,OH,45230,39.069061,-84.384341,21,Car-Dependent,0,0,0,0
244,GLENGARIFF DR, CINCINNATI,OH,45230,39.06966,-84.3826855,9,Car-Dependent,0,0,0,0
