index,REQUESTID,STRSEGID,REQUESTTYP,Request_type,REQUESTDAT,Day,COMMENTS,USERTYPE,NEAR_INTER,NEAR_STR,SNA_NAME,0
40,14,3306957238633072832004,Crosswalk Needed,Crosswalk Needed,2/7/2018,Wed,"Despite existing crosswalks west of Lang and east of Walnut on McMicken, the majority of walkers down Lang actually cross between the east side of Lang and the west side of Walnut to cut the corner and its dangerous from left turning cars from Lang.",walks,LANG ST & WALNUT ST,E McMicken Av,Over-the-Rhine,
41,15,2970134022929701790056,Jaywalking,Jaywalking,2/7/2018,Wed,,drives,HAMILTON AV & POPE AL,Hamilton Av,Northside,Enforce jaywalking tickets. Agreed
43,16,3017668630430182556219,Speeding,Speeding,2/7/2018,Wed,,walks,CARY AV & HARBESON AV,Harbeson Av,College Hill,
44,33,3624136930836262638322,""" src=""images/11 - Sidewalk issue.png""></span>&nbsp;No Sidewalks",No Sidewalks,2/7/2018,Wed,"Many people walk along Galbraith road to go to Kroger or to work and there is no adequate, safe walkway.  The side of the road turns to mud in the fall and spring.",travels (other),W GALBRAITH RD & RIDGEVIEW DR,W Galbraith Rd,Hartwell,
45,34,4078269283540784252814,Vehicles do not yield at crosswalks,Vehicles do not yield at crosswalks,2/7/2018,Wed,,walks,SHAW AV & RRXING NORFOLK AND WESTERN,Wasson Rd,Oakley,"Agree; vehicles rarely stop. Better signage or the flashing lights system like the one in Old Montgomery may help 100% agree. I would love to have the flashing crosswalk like in old Montgomery here. I feel like I?ÇÖm playing real life frogger every time I cross here. Yes! People can stand at this crosswalk for a very long time. No vehicles yield, and to cross, pedestrians have to jump into oncoming traffic agree This is a super high pedestrian area without adequate crosswalks. AGreed, including officers."
51,35,3314231842333151928656,Speeding,Speeding,2/7/2018,Wed,Once cars heading west get through light at Central and W 9th they drive at high speeds through this area.,drives,CENTRAL AV & W 9TH ST,W 9th St,West End,I agree.
52,36,3369309314033693363445,""" src=""images/09 - Failure to yield while turning.png""></span>&nbsp;Vehicles do not yield at crosswalks",Vehicles do not yield at crosswalks,2/7/2018,Wed,I have almost been hit in this crosswalk multiple times. Children walking to school are not safe.,walks,YOUNG ST & DORCHESTER AV,Young St,Mt. Auburn,
53,37,3315002986233150259734,Speeding,Speeding,2/7/2018,Wed,After the court street intersection drivers treat this street as a shortcut and drive 15-20 mph over the speed limit. There are a lot or residential homes west of central and it can be dangerous crossing the street because of this.,walks,CENTRAL AV & CLARK ST,Central Av,West End,I agree I agree
55,38,3314231842333151928656,Other,Other,2/7/2018,Wed,"Cars parked here in front of building at 4:00 pm, others are loading and unloading passengers, causing traffic backups.",drives,CENTRAL AV & W 9TH ST,W 9th St,West End,AGREED!! VERY DANGEROUS FOR PEDESTRIANS AND CARS. I agree
57,39,3306739263333069572386,Jaywalking,Jaywalking,2/7/2018,Wed,"Since walkers can?ÇÖt connect to Back/Hamer through Grant Park, many use Sharp Alley instead to go around the park. As a result they don?ÇÖt cross at Lang and instead jaywalk at the alley.",walks,E MCMICKEN AV & SHARP AL,E McMicken Av,Over-the-Rhine,
58,40,4249564269742499902656,Lack of Visibility,Lack of Visibility,2/7/2018,Wed,Cars are parked too closely to the intersection for easy visibility off drake,drives,DRAKE AV & WASSON RD,Wasson Rd,Oakley,"I agree, dangerous to pull out."
59,41,4254958621045450255724,Parking on the sidewalk,Parking on the sidewalk,2/7/2018,Wed,"Residents on the North side park on the street / sidewalk, in a clearly marked no parking area",walks,BROTHERTON RD & PAXTON WOODS LN,Paxton Woods Ln,Oakley,
60,42,4250514532242510965751,Vehicles do not yield at crosswalks,Vehicles do not yield at crosswalks,2/7/2018,Wed,"Drivers ignore crosswalk throughout Oakley Business district, specifically those not at stop lights.",walks,GILMORE AV & MADISON RD,Madison Rd,Oakley,"There is not indication that the law is to yield for pedestrians in non-light crosswalks. As a walker I'm pissed when someone doesn't stop, as a driver I'm terrified of being rear-ended by someone who doesn't realize I'm stopping at a crosswalk! Crosswalk requires lights embedded in the street and/or flashing signage that becomes illuminated by a crossing pedestrian.  Drivers don't stop for pedestrians here. Agreed Agree - have stopped for pedestrians only to have other drivers pull out around me. agreed Sgree Agree I agree! This is a painted and signed crosswalk. More often than not drivers aggressively drive around pedestrians - they even swerve toward them and blow their horns. Agree! Cars zoom by and this is a heavily walked area with the businesses, library and kids book store. My husband has his chiropractic office there and I walk this area often with a huge stroller (for twins) and sadly most cars don?ÇÖt stop or yield agree"
70,43,3306957238633069582202,Other,Other,2/7/2018,Wed,Map is wrong for this intersection after Grant Park was extended.,travels (other),LANG ST & WALNUT ST,Walnut St,Over-the-Rhine,
71,44,3624136930836262638322,""" src=""images/12 - Bike facility issue.png""></span>&nbsp;No Bike Facilities",No Bike Facilities,2/7/2018,Wed,"Many folks run the light at this intersection and speed making it dangerous to ride a bike in this stretch.  I live down the street and would like to ride my bike to work, but I refrain from doing so because of this danger.",bikes,EVERGREEN RIDGE DR & EVERGREEN RIDGE DR TERM W OF W GALBRAITH RD,W Galbraith Rd,Hartwell,
72,45,4259669379442597154658,Speeding,Speeding,2/7/2018,Wed,CArs fly down this road and police presence is not felt to in force regulation.,walks,DRAKE AV & CADILLAC AV,Drake Av,Oakley,
73,46,4077353103040778080948,Vehicles do not yield at crosswalks,Vehicles do not yield at crosswalks,2/7/2018,Wed,,walks,ERIE AV & MICHIGAN AV,Erie Av,Hyde Park,"Agreed. It?ÇÖs ridiculous how many people race through this pedestrian area and don?ÇÖt even think about stopping at the crosswalks. It?ÇÖs incredibly dangerous and I have never seen a cop stop anyone doing it in the many decades I have lived here! AGREED.  Pedestrian-activated flashing lights or Red light. Agree.  Would be nice to have flashing lights on the crosswalks that would be activated by a walk button so cars get it that pedestrians have the right of way. Yes and pedestrians are not always visable stepping down from square the in-street ""yield to pedestrians"" signs are effective at slowing traffic, but the signs keep getting damaged/destroyed I agree."
80,47,3626256758336262638322,""" src=""images/05 - Red light running.png""></span>&nbsp;Vehicles run red lights or stop signs",Vehicles run red lights or stop signs,2/7/2018,Wed,Red light is run often on Galbraith at this light.,travels (other),EVERGREEN RIDGE DR & W GALBRAITH RD,Hamilton County Dr,Hartwell,
81,48,4250514532242510965751,Jaywalking,Jaywalking,2/7/2018,Wed,"Pedestrians Jwalk throughout Oakley business district, I feel partially because when at crosswalk drivers ignore pedestrians.",drives,GILMORE AV & MADISON RD,Madison Rd,Oakley,"Strongly agree. This is true, but probably partially caused by the fact that few cars yield to pedestrians in the crosswalks, especially those not at lights. Rampant jaywalking, often just feet from a crosswalk. Agree. Much Jaywalking across Madison at Rookwood/La Rosa's"
85,65,3306625276133066952682,Crosswalk Needed,Crosswalk Needed,2/7/2018,Wed,Walkers from the south of McMicken are more likely to jaywalk to the southern side of Elder than cross on the north side of the street.,walks,E ELDER ST & HAMER ST,E McMicken Av,Over-the-Rhine,
86,66,3624136930836262638322,""" src=""images/06 - Speeding.png""></span>&nbsp;Speeding",Speeding,2/7/2018,Wed,I witness speeding here on a daily basis on my commute to work.,drives,EVERGREEN RIDGE DR & EVERGREEN RIDGE DR TERM W OF W GALBRAITH RD,W Galbraith Rd,Hartwell,
87,67,2796109319628064622925,Speeding,Speeding,2/7/2018,Wed,Belmont regularly has cars speeding 10-20MPH over the limit. There isn't fantastic visibility at many of these intersections as well. It's not unusual to see cars crossing the double yellow line to speed around slower vehicles.,walks,OAKWOOD AV & BELMONT AV,Belmont Av,College Hill,"All utility pole & signs in front of our home which occupies block of Belmont between Cedar &Oakwood have been hit multiple times. 3 of our stone columns (16 ft from curb  toppled and destroyed) and 4  iron fence sect. damaged.  PedXwalk is hazardous Speeding is horrible here and there are a lot of accidents I completely agree with speeding and passing on a yellow line. I have been rear-ended trying to enter my driveway. Also especially at night and when the weather warms up, motorcyclists drive at a speed which is ridiculously excessive."
90,68,3317359839233173968167,Vehicles do not yield at crosswalks,Vehicles do not yield at crosswalks,2/7/2018,Wed,,walks,RUTH LYONS LN & E 7TH ST,Ruth Lyons Ln,Downtown,"It's quite dangerous here when there's no policeman directing traffic I have noticed this as well. Bumpouts along 7th street, narrower lanes, and other road diet techniques would make it clear to motorists that pedestrians are valued in this space."
92,69,4250099501942503365232,""" src=""images/09 - Failure to yield while turning.png""></span>&nbsp;Vehicles do not yield at crosswalks",Vehicles do not yield at crosswalks,2/7/2018,Wed,Signed and painted crosswalk on both sides of the esplanade are very dangerous. Drivers do not stop or even slow for pedestrians. Occasionally they will sound their horns and/or speed up.,walks,DRAKEWOOD DR & MARKBREIT AV,Madison Rd,Oakley,Agree. Have stopped for pedestrians here only to have other drivers pull out around me. lower the speed limit sooner on the approach to the square? Pedestrians are not safe at this crossing.  Cars barrel down Madison at or over the speed limit.   Find a way to make it safer for pedestrians:  a middle barrier which would protect pedestrian?  more lighted signage with bold coloring? agree
96,70,4253284639542636797097,Other,Other,2/7/2018,Wed,Cars illegally turning in and out of the Heritage at Oakley Square apartment complex. This is causing issues during rush hour commutes as well as walkers/runners in the area.,drives,RIDGE AV & CARDIFF AV,Ridge Av,Oakley,This isn't specific to Oakley.  Bicyclists riding at night wearing dark clothing is a big problem.  And the bicycle doesn't even have a rear light!  The bicyclists want the right to ride on the streets but often don't obey the rules of the road.
97,71,2805704197628059901087,Speeding,Speeding,2/7/2018,Wed,"Drivers speeding up Kirby often cross into on-coming traffic, resulting in wrecks and driving up onto the sidewalk (you can always see the tire marks). This is especially concerning as this is how we get to our child's bus stop.",walks,GLENVIEW AV & MERYTON PL,Glenview Av,College Hill,"I agree. 35 to 50 is common in this 25 section OP - I referred to drivers speeding up Kirby, I was referring to Glenview."
99,72,4076761255440771602834,Lack of Visibility,Lack of Visibility,2/7/2018,Wed,As you exit Larosa's parking lot there is no visibility to pedestrians in the sidewalk.,drives,ZUMSTEIN AV & MADISON RD,Madison Rd,Hyde Park,
100,73,3357625820433576697978,Vehicles do not yield at crosswalks,Vehicles do not yield at crosswalks,2/7/2018,Wed,,walks,GANO ST & WALNUT ST,Walnut St,Downtown,Agree
101,74,4750976679147511956601,Vehicles run red lights or stop signs,Vehicles run red lights or stop signs,2/7/2018,Wed,Drivers often roll or even speed through the 4-way stop at Erie and Roe. I notice this most often during the morning commute 8-9:30.,drives,ROE ST & ERIE AV,Roe St,Madisonville,I have observed this corner for eight years as my children get on and off the bus here. Most cars roll through the stop sign and some don?ÇÖt stop at all. Horrifying.
102,75,4239561500642301466338,""" src=""images/14 - Other issue.png""></span>&nbsp;Other",Other,2/7/2018,Wed,bicycles do no obey any rights of way.  bike paths should be removed from the street.  bikes create a hazard for pedestrians and cars.,drives,NASH AV & NASH AV TERM W OF NANCY LN,Delta Av,Mt. Lookout,I drive here regularly and have never seen bikers not obeying the rules of the road. We need more bike lanes and driver education about cyclists. Wrong. Slow down and stay out of the bike lane. Can you please give more detail?
105,76,3306957238633069582202,No Bike Facilities,No Bike Facilities,2/7/2018,Wed,Red Bike dock or other bike facilities are lacking in this area,bikes,LANG ST & WALNUT ST,Walnut St,Over-the-Rhine,
106,77,2384348402023847234300,Vehicles run red lights or stop signs,Vehicles run red lights or stop signs,2/7/2018,Wed,"The traffic light is too long for vehicles on Fischer turning onto Harrison. Frequently see vehicles run red light. Vehicles also catch red light at Harrison and Werk, it takes 6+ mins to get through the area.",drives,FISCHER PL & HARRISON AV,Fischer Pl,Westwood,the red light is too long. the timing needs to change Running red lights and moving before red light turns green ... this is out of control. And to be completely honest there is a pattern for who does this. Yesterday a young man ran a light that was red for almost 3 seconds.  The law applies to all.
108,78,4244190139542443791369,Vehicles run red lights or stop signs,Vehicles run red lights or stop signs,2/7/2018,Wed,vehicles turn left constantly during posted no left turn time restrictions.   large number of vehicles turn on red during school hours.,walks,PINEHURST AV & ERIE AV,Erie Av,Hyde Park,Agree
109,79,2805704197627958393244,Lack of Visibility,Lack of Visibility,2/7/2018,Wed,Fence and hedge at properties on the corner of Glenview and Belmont impede drivers' ability to see oncoming traffic when turning left or right onto Belmont.,drives,GLENVIEW AV & BELMONT AV,Glenview Av,College Hill,Visibility is dangerous here with the fence and hedge on either side of Glenview. Cars speeding up the hill on Belmont do not help the issue. I agree that the large fence on one side of the intersection impedes the view of the driver turning left from Glenview to Belmont. I have seen an increase in near misses since this fence was installed. It is dangerous to turn right onto Belmont from the right lane on Glenview. The view of traffic coming from the left is reduced by the hill and further obscured by any large vehicle in the left turning lane. Traffic too fast on Belmont. There should be a stop light here.  Too many speeding vehicles on Belmont and it seems folks have to pull out into intersection (from Glenview) to see if there is oncoming traffic
113,80,2538048505525383934905,No Sidewalks,No Sidewalks,2/7/2018,Wed,"There is an extreme lack of sidewalks along Westwood Northern Blvd.  In most areas, they only exist on one side of the street, or not at all.  With a lack of crosswalks, it makes crossing to get to/from the sidewalk extremely dangerous.",drives,WESTWOOD NORTHERN BLVD & BRODBECK PL,Westwood Northern Blvd,Westwood,I agree
114,81,3359067821533594838284,Vehicles do not yield at crosswalks,Vehicles do not yield at crosswalks,2/7/2018,Wed,,walks,E 6TH ST & BROADWAY,E 6th St,Downtown,
115,82,4253854517642539205851,Vehicles run red lights or stop signs,Vehicles run red lights or stop signs,2/7/2018,Wed,,walks,SHEREL LN & PAXTON AV,Sherel Ln,Oakley,
116,83,4254103515242541996122,Vehicles run red lights or stop signs,Vehicles run red lights or stop signs,2/7/2018,Wed,,walks,PILLARS DR & PAXTON AV,Pillars Dr,Oakley,
117,84,2805704197627958393244,Speeding,Speeding,2/7/2018,Wed,,walks,GLENVIEW AV & BELMONT AV,Glenview Av,College Hill,Agree! Not safe to walk or drive here Agreed
119,85,4254351512742544466137,Vehicles run red lights or stop signs,Vehicles run red lights or stop signs,2/7/2018,Wed,,walks,PAXTON AV & JORA LN,Jora Ln,Oakley,
120,86,4254351512742545995106,Vehicles run red lights or stop signs,Vehicles run red lights or stop signs,2/7/2018,Wed,,walks,PAXTON AV & CLUB VIEW DR,Paxton Av,Oakley,
121,87,4254912517645450255724,Vehicles run red lights or stop signs,Vehicles run red lights or stop signs,2/7/2018,Wed,,walks,PAXTON WOODS DR & PAXTON AV,Paxton Woods Dr,Oakley,
122,88,4702944456547029614048,Jaywalking,Jaywalking,2/7/2018,Wed,"Mt. Washington is getting more shops and restaurants, but there is no crosswalk along Beechmont at the Goodwill/Wendy?ÇÖs/Sweets and Meats section, & pedestrians cross every 2 minutes. Only place to cross Beechmont is two blocks down at Corbly.",drives,PLAZA AV & BEECHMONT AV,Beechmont Av,Mt. Washington,"Agree.. people are constantly crossing Beechmont Avenue at Roxbury .. either they need to enforce the Jay walking law here, or make a pedestrian crossing Beechmont needs a serious road diet. i agree Beechmont needs a road diet We see people jaywalking this area with small children all the time. They are not going to walk two blocks up to cross and walk back down. Businesses are in this area and there needs to be a crosswalk to support the increase in pedestrians in area. I agree there's a problem here. DEFINITELY need a painted crosswalk at Crestview or Roxbury.  It's dumb to expect someone to walk all the way up to Corbly.  Traffic moves so quickly (illegally here).  Needs to be dealt with. I agree there is a huge problem here! There are a number of pedestrians who cross quickly and safely, but others meander and often wait  in the left turn lane.  Drivers exceeding the speed limit by 20+ mph is also a major problem. A painted crosswalk at this location will encourage crossing at a very dangerous section of Beechmont.  It will give false impression of safety.  Safe and proper crossing is only 1/2 block south at Beechmont/Corbly"
131,164,4536577002345376759915,Jaywalking,Jaywalking,2/7/2018,Wed,"There is no crosswalk, it is a cut through neighborhood where MANY pedestrians cross Duck Creek to Eastwood Circle or to Shroder or Fifth Third or YMCA. Traffic moves fast through this school zone.",walks,EASTWOOD DR & EASTWOOD DR TERM N OF E EASTWOOD CIR,Duck Creek Rd,Madisonville,
132,165,1156223311011564382754,Vehicles run red lights or stop signs,Vehicles run red lights or stop signs,2/7/2018,Wed,"Stop sign gets run often, especially by cars turning right onto Monitor.",walks,MONITOR AV & GRACELY DR,Gracely Dr,Sayler Park,A blinking light would be good - drivers don't seem to even register the stop sign agree- SCARY
134,166,4244379136942448441323,Other,Other,2/7/2018,Wed,The No Left Turn sign from westbound Erie onto Pinehurst here is useless with no enforcement. It might as well not be there.,drives,PINEHURST AV & ERIE AV,Erie Av,Hyde Park,agree!
135,154,1156223311011564382754,Crosswalk Needed,Crosswalk Needed,2/7/2018,Wed,This is the intersection closest to the Thai restaurant. Parking is often across the street along the park.,walks,THELMA AV & GRACELY DR,Gracely Dr,Sayler Park,agree - people crossing it in evening-darkness.
136,167,2988796378929893373714,Speeding,Speeding,2/7/2018,Wed,I also drive and pulling out of my driveway is challenging.  The speed limit is 30 but the seem to think it is 50 mph.,drives,GLEN ARMAND AV & HAMILTON AV,Otte Av,Northside,I cross Hamilton in crosswalk in front of comet.  Drivers regularly run red light and you have to be very careful even with walk sign in cross walk. Have had close calls numerous times
137,168,4761798868547618389013,""" src=""images/04 - Crossing away from crosswalks.png""></span>&nbsp;Jaywalking",Jaywalking,2/7/2018,Wed,,bikes,WHETSEL AV & DESMOND ST,Whetsel Av,Madisonville,
138,155,4536577002345376759915,Speeding,Speeding,2/7/2018,Wed,"This School zone is not well posted, drivers speed over 35, and traffic pulls out of Fifth Third Center, Shroder and YMCA into speeding traffic...",walks,EASTWOOD DR & EASTWOOD DR TERM N OF E EASTWOOD CIR,Duck Creek Rd,Madisonville,"Pedestrians find it dangerous to cross the street to walk to all the agencies, businesses, high school, YMCA, that are accessed at this spot. Need a crosswalk and stoplight at this location! I agree, motorists speed too fast on this road."
140,169,3285475295732858702870,Vehicles do not yield at crosswalks,Vehicles do not yield at crosswalks,2/7/2018,Wed,"Even with walk signal on and someone in or entering crosswalk, drivers turning to head west on Ludlow cross the crosswalk with zero concern for the pedestrians. Everytime I walk in thie neighborhood I get close to getting hit.",walks,LUDLOW AV & CLIFTON AV,Ludlow Av,Clifton,"I know there'll be a lot of flack for me saying this, but I actually feel relatively safe being a pedestrian here (especially given how busy it can be). There seems to be zero  concern for pedestrian safety here. Running the yellow light is a horrible problem here. I agree, a lot of vehicles really speed up through this incredibly narrow intersection. I agree. This intersection is horrible."
145,156,4281041597842817706249,Speeding,Speeding,2/7/2018,Wed,The school zone signs do nothing. People fly down Montgomery and completely ignore them. It's incredibly dangerous for Pleasant Ridge Montessori students.,drives,MONTGOMERY RD & WOODFORD RD,Montgomery Rd,Pleasant Ridge,I agree! I agree i agree i agree
149,157,3707765580337080855749,Speeding,Speeding,2/7/2018,Wed,Speed limit 25. Most traffic goes around 40 or over. Property destroyed with frequent wrecks. Dangerous to bikers and walkers. Neighbors have frequently complained to city who refuses to do anything such as simple stop sign.,bikes,E MCMILLAN ST & HACKBERRY ST,E McMillan St,East Walnut Hills,"Agreed. Cars consistently speed through this neighborhood, driving way over the 25 MPH speed limit. Agreed. Agree 100%. Speeding and traffic density are threatening this residential street's wellbeing. Agreed."
153,158,4281041597842817706249,Other,Other,2/7/2018,Wed,The school zone sign is placed well after the Pleasant Ridge Montessori school property begins. The sign should be moved closer to Woodford Rd. to lengthen the buffer for both pedestrian and vehicular traffic around the school.,walks,LESTER RD & MONTGOMERY RD,Montgomery Rd,Pleasant Ridge,Agree I agree Agree
156,170,4250594525942513765035,Speeding,Speeding,2/7/2018,Wed,Stop sign is needed where Isabella meets Markbreit. Drivers on Isabella ignore the sign that says not to block intersection.,walks,DRAKEWOOD DR & MARKBREIT AV,Markbreit Av,Oakley,
157,159,4076989108040773531030,Walk signal is too short,Walk signal is too short,2/7/2018,Wed,"light at Erie and Edwards, crossing north /south across Erie closest to Square",walks,ERIE AV & EDWARDS RD,Erie Av,Hyde Park,
158,171,3362316233633629502129,Speeding,Speeding,2/7/2018,Wed,"There is no sidewalk on the south side of Eden Park Dr between Art Museum Dr and Fulton Ave. Even worse, cars regularly speed through this stretch despite being in a city park. I feel very unsafe as a runner and walker.",walks,EDEN PARK DR & ART MUSEUM DR,Eden Park Dr,Walnut Hills,agree. I routinely run here. I don't think  Eden Park should be used as a throughway. I'd like to see the stretch between the roundabout and the Botanical Gardens closed to motorized traffic. Make it a park again. Eden Park Drive was historically a vehicular route.  It is so beautiful to drive through- especially in the spring.  Please DO NOT CLOSE EDEN PARK DRIVE to vehicular traffic. I agree
161,160,3357648082633576880589,Speeding,Speeding,2/7/2018,Wed,Car drive way too fast on Main and never yield to those in the crosswalk.,walks,MAIN ST & WOODWARD ST,Main St,Over-the-Rhine,100% agree. Drivers ignore crosswalks and speed limits and have no respect for pedestrians in this block of Main Street.
162,177,4250514532242510965751,Walk signal is too short,Walk signal is too short,2/7/2018,Wed,Waaaay too short.  The crosswalk covers several lanes of traffic on Madison.,walks,DRAKEWOOD DR & MARKBREIT AV,Madison Rd,Oakley,Agree! This is a very heavily used crosswalk and with a lot of traffic.  The crosswalk light needs to be 25% longer. Agree Agreed
165,178,4761414837547617578336,""" src=""images/04 - Crossing away from crosswalks.png""></span>&nbsp;Jaywalking",Jaywalking,2/7/2018,Wed,,drives,RAVENNA ST & MADISON RD,Madison Rd,Madisonville,
166,179,4280144545642810415978,Speeding,Speeding,2/7/2018,Wed,Vehicles speed up and down the hill in this stretch of Montgomery Rd between Lester and Langdon Farm.,walks,LESTER RD & MONTGOMERY RD,Montgomery Rd,Pleasant Ridge,I agree I agree
168,172,4761491904747615279459,""" src=""images/14 - Other issue.png""></span>&nbsp;Other",Other,2/7/2018,Wed,"The crosswalk needs to have a light up feature. At night, it is very hard to see when people start to cross.",drives,RAVENNA ST & DESMOND ST,Ravenna St,Madisonville,
