"address_x","lat","long","age","community_council_neighborhood","cpd_neighborhood","crashdate","crashlocation","crashseverity","crashseverityid","datecrashreported","dayofweek","gender","injuries","instanceid","lightconditionsprimary","localreportno","mannerofcrash","roadconditionsprimary","roadcontour","roadsurface","sna_neighborhood","typeofperson","weather","zip","dist","cell_id","lat_cell","long_cell","hood","hood_id"
"63XX CENTER HILL AV",39.196852,-84.509041,"31-40","WINTON HILLS","WINTON HILLS","04/10/2017 02:05:00 AM +0000","02 - FOUR-WAY INTERSECTION","1 - FATAL INJURY",1,"04/10/2017 02:08:00 AM +0000","MON","M - MALE","5 - FATAL","5B9CA623-E650-4DD5-8E09-10BACC593293","4 - DARK - LIGHTED ROADWAY","175005170","1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT","01 - DRY","4 - CURVE GRADE","2 - BLACKTOP, BITUMINOUS, ASPHALT","WINTON HILLS","O - OCCUPANT","1 - CLEAR","45232",0.110041829836656,630066,39.1974970293516,-84.5099006044912,"Winton Hills",276110
"15XX HOPPLE ST",39.137912,-84.547467,"31-40","NORTH FAIRMOUNT","MILLVALE","08/02/2015 12:40:00 AM +0000","02 - FOUR-WAY INTERSECTION","1 - FATAL INJURY",1,"08/02/2015 12:42:00 AM +0000","SUN","F - FEMALE","5 - FATAL","64952BA5-E949-4B48-AFAF-52D8BB1BAEB1","4 - DARK - LIGHTED ROADWAY","155010591","6 - ANGLE","01 - DRY","2 - STRAIGHT GRADE","2 - BLACKTOP, BITUMINOUS, ASPHALT","SOUTH CUMMINSVILLE","O - OCCUPANT","1 - CLEAR","45225",0.0941246829008834,800040,39.1390006849634,-84.5483072282026,"East Westwood",273574
"1XX CLAY WADE BAILEY",39.095556,-84.518802,"UNDER 18","DOWNTOWN","C. B. D. / RIVERFRONT","05/31/2014 09:42:00 PM +0000","01 - NOT AN INTERSECTION","1 - FATAL INJURY",1,"05/31/2014 09:44:00 PM +0000","SAT","M - MALE","5 - FATAL","4D5D8D1F-215F-42FA-A610-5F3894FFA845","4 - DARK - LIGHTED ROADWAY","145004159","6 - ANGLE","01 - DRY","1 - STRAIGHT LEVEL","1 - CONCRETE","DOWNTOWN","O - OCCUPANT","1 - CLEAR","45202",0.168736605233504,670021,39.0962489455594,-84.5189374568263,"Central Business District",273189
"13XX WESTERN HILLS VIA",39.125305,-84.543221,"41-50","N/A","N/A","08/19/2017 10:44:00 PM +0000","01 - NOT AN INTERSECTION","1 - FATAL INJURY",1,"08/19/2017 10:45:00 PM +0000","SAT","M - MALE","5 - FATAL","8B796C89-B0BB-499B-B57A-5DEEDA1EE5EA","4 - DARK - LIGHTED ROADWAY","175012435","6 - ANGLE","01 - DRY","2 - STRAIGHT GRADE","2 - BLACKTOP, BITUMINOUS, ASPHALT","N/A","D - DRIVER","1 - CLEAR","45225",0.133977519535086,780034,39.1255008907005,-84.5437888017859,"South Fairmount",203599
"66XX CORBLY RD",39.096251,-84.374137,"51-60","N/A","N/A","11/30/2016 01:20:00 AM +0000","03 - T-INTERSECTION","1 - FATAL INJURY",1,"11/30/2016 01:22:00 AM +0000","WED","M - MALE","5 - FATAL","FB2CEFE2-D6C2-4B67-BA25-0262239FD0F9","4 - DARK - LIGHTED ROADWAY","165019903","1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT","01 - DRY","4 - CURVE GRADE","2 - BLACKTOP, BITUMINOUS, ASPHALT","N/A","D - DRIVER","2 - CLOUDY","45230",0.168803425400223,30021,39.0961331475038,-84.374347995502,"Mt. Washington",274624
"S I75 AT 5-8 MM",39.161282,-84.520719,"18-25","CLIFTON - SPRING GROVE VILLAGE","NORTHSIDE","05/27/2018 01:07:00 AM +0000","01 - NOT AN INTERSECTION","1 - FATAL INJURY",1,"05/27/2018 01:08:00 AM +0000","SUN","M - MALE","5 - FATAL","EBF31F38-F5A0-4583-868D-0F3C111F8218","4 - DARK - LIGHTED ROADWAY","185007437","3 - HEAD-ON","01 - DRY","4 - CURVE GRADE","1 - CONCRETE","CLIFTON","D - DRIVER","1 - CLEAR","45223",0.185623598993179,680050,39.1614993968278,-84.5211966698236,"Northside",274791
"17XX SUTTER AV",39.13738,-84.550646,"26-30","N/A","N/A","09/04/2015 02:36:00 PM +0000","01 - NOT AN INTERSECTION","1 - FATAL INJURY",1,"09/04/2015 02:36:00 PM +0000","FRI","M - MALE","5 - FATAL","DDA5626B-0EEB-445A-913A-2A89C1B7CB26","1 - DAYLIGHT","155012544","1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT","01 - DRY","2 - STRAIGHT GRADE","2 - BLACKTOP, BITUMINOUS, ASPHALT","N/A","D - DRIVER","1 - CLEAR","45225",0.124821946015123,810039,39.1367505084683,-84.5505664414012,"North Fairmount",274707
"73XX RIVER RD",39.125859,-84.705507,"18-25","N/A","N/A","07/27/2018 10:48:00 PM +0000","02 - FOUR-WAY INTERSECTION","1 - FATAL INJURY",1,"07/27/2018 10:50:00 PM +0000","FRI","F - FEMALE","5 - FATAL","2D91E3D7-7DF2-419A-ABD8-246B444B09EA","4 - DARK - LIGHTED ROADWAY","185010465","6 - ANGLE","01 - DRY","1 - STRAIGHT LEVEL","2 - BLACKTOP, BITUMINOUS, ASPHALT","N/A","D - DRIVER","1 - CLEAR","45233",0.171548638608285,1500034,39.1253831492123,-84.7064519684502,"Sayler Park",203392
"15XX GEST ST",39.115167,-84.562516,"31-40","N/A","N/A","04/11/2018 09:04:00 AM +0000","01 - NOT AN INTERSECTION","1 - FATAL INJURY",1,"04/11/2018 09:04:00 AM +0000","WED","M - MALE","5 - FATAL","07DBCA4F-7509-4BD8-8D60-8E2A6F15847C","1 - DAYLIGHT","185004978","8 - SIDESWIPE, OPPOSITE DIRECTION","01 - DRY","1 - STRAIGHT LEVEL","2 - BLACKTOP, BITUMINOUS, ASPHALT","N/A","D - DRIVER","1 - CLEAR","45204",0.159202932503376,860029,39.1142489618117,-84.5618625071365,"East Price Hill",273561
"73XX RIVER RD",39.127209,-84.704587,"18-25","N/A","N/A","07/27/2018 10:48:00 PM +0000","02 - FOUR-WAY INTERSECTION","1 - FATAL INJURY",1,"07/27/2018 10:50:00 PM +0000","FRI","F - FEMALE","5 - FATAL","233CD23F-94A5-4CAF-B927-68F3880C5CC9","4 - DARK - LIGHTED ROADWAY","185010465","6 - ANGLE","01 - DRY","1 - STRAIGHT LEVEL","2 - BLACKTOP, BITUMINOUS, ASPHALT","N/A","D - DRIVER","1 - CLEAR","45233",0.108274669139035,1490035,39.1276363327743,-84.7041927626848,"Sayler Park",203392
"7XX E MCMILLAN ST",39.126252,-84.494671,"41-50","N/A","N/A","09/24/2016 06:00:00 PM +0000","01 - NOT AN INTERSECTION","1 - FATAL INJURY",1,"09/24/2016 06:05:00 PM +0000","SAT","M - MALE","5 - FATAL","061C0890-3D14-44A8-9E32-7F5014610AF4","1 - DAYLIGHT","165015640","1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT","01 - DRY","1 - STRAIGHT LEVEL","2 - BLACKTOP, BITUMINOUS, ASPHALT","N/A","D - DRIVER","1 - CLEAR","45206",0.167996094196395,560034,39.1254917766315,-84.4940861149815,"Walnut Hills",204112
"15XX CARLL ST",39.134561,-84.545915,"18-25","N/A","N/A","06/24/2016 01:58:00 AM +0000","01 - NOT AN INTERSECTION","1 - FATAL INJURY",1,"06/24/2016 01:59:00 AM +0000","FRI","M - MALE","5 - FATAL","61450117-8BA3-4B42-90E2-A3E79C6A4B38","4 - DARK - LIGHTED ROADWAY","165009836","1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT","01 - DRY","3 - CURVE LEVEL","2 - BLACKTOP, BITUMINOUS, ASPHALT","N/A","D - DRIVER","2 - CLOUDY","45225",0.160369697131074,790038,39.1345008116981,-84.5460480149962,"North Fairmount",274707
"20XX READING RD",39.119784,-84.499142,"51-60","WALNUT HILLS","WALNUT HILLS","06/01/2016 08:20:00 PM +0000","01 - NOT AN INTERSECTION","1 - FATAL INJURY",1,"06/01/2016 08:21:00 PM +0000","WED","M - MALE","5 - FATAL","4C81F733-555D-457D-979C-7AF3249B367C","3 - DUSK","165008578","1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT","02 - WET","4 - CURVE GRADE","2 - BLACKTOP, BITUMINOUS, ASPHALT","WALNUT HILLS","D - DRIVER","2 - CLOUDY","45206",0.165985716308314,580031,39.1187434715339,-84.4986045403732,"Walnut Hills",204112
"12XX LINCOLN AV",39.131759,-84.483657,"UNDER 18","N/A","N/A","08/01/2017 09:30:00 AM +0000","01 - NOT AN INTERSECTION","1 - FATAL INJURY",1,"08/01/2017 09:31:00 AM +0000","TUE","M - MALE","5 - FATAL","13F32859-D66D-44AF-BA1F-04556C46F5A6","1 - DAYLIGHT","175011473","1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT","01 - DRY","1 - STRAIGHT LEVEL","2 - BLACKTOP, BITUMINOUS, ASPHALT","N/A","O - OCCUPANT","2 - CLOUDY","45206",0.159570323972052,510037,39.1322367671865,-84.4827900525775,"Walnut Hills",204112
"47XX KIRBY AV",39.178243,-84.552867,"31-40","N/A","N/A","09/30/2013 11:54:00 PM +0000","01 - NOT AN INTERSECTION","1 - FATAL INJURY",1,"09/30/2013 11:54:00 PM +0000","MON","M - MALE","5 - FATAL","5631A34E-8074-4989-A675-2FD9E7BF58A0","4 - DARK - LIGHTED ROADWAY","135010680","1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT","01 - DRY","4 - CURVE GRADE","2 - BLACKTOP, BITUMINOUS, ASPHALT","N/A","O - OCCUPANT","1 - CLEAR","45223",0.0100748045226092,820057,39.1772503270518,-84.5528256545861,"Mt. Airy",274620
"S I71 AT 1-3 MM",39.100349,-84.50512,"26-30","N/A","N/A","06/23/2013 07:08:00 PM +0000","01 - NOT AN INTERSECTION","1 - FATAL INJURY",1,"06/23/2013 07:10:00 PM +0000","SUN","M - MALE","5 - FATAL","F4E6F97A-CC9B-4EFD-90B5-062AD9059B0D","1 - DAYLIGHT","135007631","1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT","01 - DRY","4 - CURVE GRADE","2 - BLACKTOP, BITUMINOUS, ASPHALT","N/A","D - DRIVER","1 - CLEAR","",0.11460651669802,610023,39.1007456796175,-84.5053821788555,"Central Business District",273189
"30XX HARRISON AV",39.150573,-84.600338,"OVER 70","N/A","N/A","01/28/2015 10:42:00 AM +0000","01 - NOT AN INTERSECTION","1 - FATAL INJURY",1,"01/28/2015 10:43:00 AM +0000","WED","M - MALE","5 - FATAL","AC3C6D58-B472-4342-8BDE-8F6CA1E8ACA4","1 - DAYLIGHT","155001203","1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT","02 - WET","1 - STRAIGHT LEVEL","2 - BLACKTOP, BITUMINOUS, ASPHALT","N/A","P - PEDESTRIAN","1 - CLEAR","45211",0.161670269746626,1030045,39.1502356477325,-84.6002691236421,"Westwood",204284
"65XX MONTGOMERY RD",39.18828,-84.414194,"OVER 70","KENNEDY HEIGHTS","KENNEDY  HEIGHTS","12/25/2013 12:10:00 AM +0000","01 - NOT AN INTERSECTION","1 - FATAL INJURY",1,"12/25/2013 12:12:00 AM +0000","WED","M - MALE","5 - FATAL","054AA6BF-9A78-4665-A633-55BC1F19F7E2","4 - DARK - LIGHTED ROADWAY","135013104","7 - SIDESWIPE, SAME DIRECTION","01 - DRY","2 - STRAIGHT GRADE","2 - BLACKTOP, BITUMINOUS, ASPHALT","KENNEDY HEIGHTS","D - DRIVER","1 - CLEAR","45213",0.0579760566543053,210062,39.1884338047751,-84.4150137277658,"Kennedy Heights",201559
"46XX COLERAIN AV",39.168013,-84.556338,"UNKNOWN","N/A","N/A","05/11/2018 08:25:00 AM +0000","01 - NOT AN INTERSECTION","1 - FATAL INJURY",1,"05/11/2018 08:25:00 AM +0000","FRI","F - FEMALE","5 - FATAL","4468C380-71B6-44DD-9E23-F60DF5ED8C9E","1 - DAYLIGHT","185006542","8 - SIDESWIPE, OPPOSITE DIRECTION","01 - DRY","4 - CURVE GRADE","2 - BLACKTOP, BITUMINOUS, ASPHALT","N/A","O - OCCUPANT","1 - CLEAR","45223",0.108006070226152,840053,39.1682497518511,-84.5573440809152,"Mt. Airy",274620
"N I75 AT 5-3 MM",39.159832,-84.525049,"18-25","N/A","N/A","09/29/2013 05:11:00 AM +0000","01 - NOT AN INTERSECTION","1 - FATAL INJURY",1,"09/29/2013 05:11:00 AM +0000","SUN","M - MALE","5 - FATAL","2B95BE30-4D55-442D-A7A4-4B3608875199","4 - DARK - LIGHTED ROADWAY","135010608","2 - REAR-END","01 - DRY","1 - STRAIGHT LEVEL","2 - BLACKTOP, BITUMINOUS, ASPHALT","N/A","O - OCCUPANT","2 - CLOUDY","45232",0.1815291823606,700049,39.1592500490878,-84.525715096115,"Clifton",200052
"30XX HARRISON AV",39.149333,-84.599758,"OVER 70","N/A","N/A","01/28/2015 10:42:00 AM +0000","01 - NOT AN INTERSECTION","1 - FATAL INJURY",1,"01/28/2015 10:43:00 AM +0000","WED","M - MALE","5 - FATAL","4F0637F8-9921-462F-A822-3EFECACF876C","1 - DAYLIGHT","155001203","1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT","02 - WET","1 - STRAIGHT LEVEL","2 - BLACKTOP, BITUMINOUS, ASPHALT","N/A","P - PEDESTRIAN","1 - CLEAR","45211",0.161670269746626,1030045,39.1502356477325,-84.6002691236421,"Westwood",204284
"34XX VINE ST",39.142458,-84.508746,"UNDER 18","CORRYVILLE","CLIFTON","11/26/2016 09:13:00 PM +0000","03 - T-INTERSECTION","1 - FATAL INJURY",1,"11/26/2016 09:30:00 PM +0000","SAT","F - FEMALE","5 - FATAL","65E84F82-B537-4C5E-9FC7-82C53E915907","4 - DARK - LIGHTED ROADWAY","165019675","1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT","01 - DRY","3 - CURVE LEVEL","2 - BLACKTOP, BITUMINOUS, ASPHALT","CUF","P - PEDESTRIAN","2 - CLOUDY","45220",0.105055948535484,620042,39.1434963713055,-84.5076413916608,"Avondale",199345
"37XX GLENWAY AV",39.113625,-84.574732,"31-40","EAST PRICE HILL","EAST PRICE HILL","05/03/2018 10:00:00 PM +0000","01 - NOT AN INTERSECTION","1 - FATAL INJURY",1,"05/03/2018 10:01:00 PM +0000","THU","M - MALE","5 - FATAL","2306C312-293F-46F9-8B05-FEDE8970136D","4 - DARK - LIGHTED ROADWAY","185006170","1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT","01 - DRY","2 - STRAIGHT GRADE","2 - BLACKTOP, BITUMINOUS, ASPHALT","EAST PRICE HILL","P - PEDESTRIAN","1 - CLEAR","45205",0.130026878452533,920029,39.1142456914777,-84.5754177851081,"East Price Hill",273561
"25XX WARSAW AV",39.106768,-84.553863,"OVER 70","N/A","N/A","12/09/2017 11:21:00 AM +0000","01 - NOT AN INTERSECTION","1 - FATAL INJURY",1,"12/09/2017 11:23:00 AM +0000","SAT","M - MALE","5 - FATAL","D13F6F86-EB4F-4F28-A9EE-03B98F530277","1 - DAYLIGHT","175018781","2 - REAR-END","01 - DRY","4 - CURVE GRADE","2 - BLACKTOP, BITUMINOUS, ASPHALT","N/A","P - PEDESTRIAN","2 - CLOUDY","45204",0.129347196380306,820026,39.1075002637913,-84.5528256545869,"Lower Price Hill",276431
"56XX COLERAIN AV",39.195841,-84.574852,"26-30","N/A","N/A","08/19/2013 10:05:00 AM +0000","03 - T-INTERSECTION","1 - FATAL INJURY",1,"08/19/2013 10:07:00 AM +0000","MON","M - MALE","5 - FATAL","167DF87D-0767-41A5-B7E0-BD750E697C15","1 - DAYLIGHT","135009458","6 - ANGLE","01 - DRY","1 - STRAIGHT LEVEL","2 - BLACKTOP, BITUMINOUS, ASPHALT","N/A","D - DRIVER","1 - CLEAR","45239",0.151082119601453,920065,39.1952457621091,-84.575417785195,"Mt. Airy",274620
"48XX GRAY RD",39.179373,-84.525675,"51-60","N/A","N/A","04/17/2018 06:45:00 PM +0000","01 - NOT AN INTERSECTION","1 - FATAL INJURY",1,"04/17/2018 06:47:00 PM +0000","TUE","M - MALE","5 - FATAL","BF905D7F-6EB2-422C-BACF-C6D0C668EB29","1 - DAYLIGHT","185005365","6 - ANGLE","01 - DRY","1 - STRAIGHT LEVEL","2 - BLACKTOP, BITUMINOUS, ASPHALT","N/A","O - OCCUPANT","1 - CLEAR","45232",0.154101475540865,700058,39.1795000673321,-84.5257150960868,"Winton Place",204406
"E I275 AT 72-9 MM",39.060487,-84.425146,"18-25","N/A","N/A","09/05/2015 06:58:00 AM +0000","01 - NOT AN INTERSECTION","1 - FATAL INJURY",1,"09/05/2015 07:00:00 AM +0000","SAT","M - MALE","5 - FATAL","98342027-BD5A-4354-B00F-764914B79D05","1 - DAYLIGHT","155012606","1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT","01 - DRY","3 - CURVE LEVEL","2 - BLACKTOP, BITUMINOUS, ASPHALT","N/A","D - DRIVER","1 - CLEAR","45230",0.153667004618041,250005,39.0601930776927,-84.424050565103,"California",199824
"17XX SUTTER AV",39.137661,-84.549936,"26-30","N/A","N/A","09/04/2015 02:36:00 PM +0000","01 - NOT AN INTERSECTION","1 - FATAL INJURY",1,"09/04/2015 02:36:00 PM +0000","FRI","M - MALE","5 - FATAL","4B28026C-4418-4C30-B7C1-EE7D6B0E586C","1 - DAYLIGHT","155012544","1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT","01 - DRY","2 - STRAIGHT GRADE","2 - BLACKTOP, BITUMINOUS, ASPHALT","N/A","D - DRIVER","1 - CLEAR","45225",0.124821946015123,810039,39.1367505084683,-84.5505664414012,"North Fairmount",274707
"63XX CENTER HILL AV",39.196322,-84.509911,"31-40","WINTON HILLS","WINTON HILLS","04/10/2017 02:05:00 AM +0000","02 - FOUR-WAY INTERSECTION","1 - FATAL INJURY",1,"04/10/2017 02:08:00 AM +0000","MON","M - MALE","5 - FATAL","6DFF04B1-1BCA-44AB-97C4-28CC0F3A66BF","4 - DARK - LIGHTED ROADWAY","175005170","1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT","01 - DRY","4 - CURVE GRADE","2 - BLACKTOP, BITUMINOUS, ASPHALT","WINTON HILLS","D - DRIVER","1 - CLEAR","45232",0.0528262891088134,630065,39.1952470273829,-84.5099006044961,"Winton Hills",276110
"29XX RIVER RD",39.088744,-84.565972,"26-30","N/A","N/A","06/10/2016 09:53:00 PM +0000","03 - T-INTERSECTION","1 - FATAL INJURY",1,"06/10/2016 09:54:00 PM +0000","FRI","M - MALE","5 - FATAL","C00B6730-545D-433D-ABF1-F4946E34A953","4 - DARK - LIGHTED ROADWAY","165009122","1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT","01 - DRY","4 - CURVE GRADE","2 - BLACKTOP, BITUMINOUS, ASPHALT","N/A","D - DRIVER","1 - CLEAR","45204",0.109766146157736,880018,39.089498023919,-84.5663809332469,"Sedamsville",203427
"73XX READING RD",39.19353,-84.460951,"UNDER 18","ROSELAWN","ROSELAWN","12/02/2015 02:19:00 AM +0000","01 - NOT AN INTERSECTION","1 - FATAL INJURY",1,"12/02/2015 02:20:00 AM +0000","WED","M - MALE","5 - FATAL","9D2E2C5B-E291-4C6C-A076-CF579DA144F0","4 - DARK - LIGHTED ROADWAY","155017621","1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT","01 - DRY","2 - STRAIGHT GRADE","2 - BLACKTOP, BITUMINOUS, ASPHALT","ROSELAWN","O - OCCUPANT","1 - CLEAR","45237",0.121994604806284,410064,39.1929735092554,-84.460197933275,"Roselawn",203265
"37XX W 8TH ST",39.106656,-84.572323,"OVER 70","N/A","N/A","12/14/2015 03:23:00 PM +0000","02 - FOUR-WAY INTERSECTION","1 - FATAL INJURY",1,"02/16/2016 10:30:00 AM +0000","MON","M - MALE","5 - FATAL","AFAA0460-D6F9-4C95-8D51-656E35A4701E","1 - DAYLIGHT","155018301","6 - ANGLE","02 - WET","1 - STRAIGHT LEVEL","2 - BLACKTOP, BITUMINOUS, ASPHALT","N/A","D - DRIVER","2 - CLOUDY","45205",0.188584822881,910026,39.1074963395828,-84.5731585721983,"East Price Hill",273561
"9XX CENTRAL AV",39.104746,-84.520642,"OVER 70","WEST END","WEST  END","10/11/2016 08:07:00 PM +0000","01 - NOT AN INTERSECTION","1 - FATAL INJURY",1,"10/11/2016 08:07:00 PM +0000","TUE","F - FEMALE","5 - FATAL","5AFCFDCD-8660-4075-8EF8-2223C1F08968","4 - DARK - LIGHTED ROADWAY","165016748","1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT","01 - DRY","1 - STRAIGHT LEVEL","2 - BLACKTOP, BITUMINOUS, ASPHALT","WEST END","P - PEDESTRIAN","1 - CLEAR","45214",0.14665445365466,680025,39.1052493461075,-84.5211966699144,"West End",276647
