"srvy_address","strsegid","geo_address","lat","long","geo_address_type","geo_accuracy","State","County","City","Name","RegionID","dist","cell_id","lat_cell","long_cell","hood","hood_id"
"LANG ST & WALNUT ST, Cincinnati, OH, USA","3306957238633072832004","LANG ST & WALNUT ST, Cincinnati, OH, USA",39.115317,-84.513742,"locality,political","locality","OH","Hamilton","Cincinnati","Over-The-Rhine",202750,0.0939114955754893,650029,39.1142480461222,-84.5144190306687,"Over-The-Rhine",202750
"CARY AV & HARBESON AV, Cincinnati, OH, USA","3017668630430182556219","CARY AV & HARBESON AV, Cincinnati, OH, USA",39.208109,-84.549903,"locality,political","locality","OH","Hamilton","Cincinnati","College Hill",200100,0.0978610200248944,810071,39.2087505735487,-84.5505664413921,"College Hill",200100
"SHAW AV & RRXING NORFOLK AND WESTERN, Cincinnati, OH, USA","4078269283540784252814","SHAW AV & RRXING NORFOLK AND WESTERN, Cincinnati, OH, USA",39.139345,-84.440139,"locality,political","locality","OH","Hamilton","Cincinnati","Hyde Park",201414,0.177702875229956,320040,39.1389577705104,-84.4398650347336,"Hyde Park",201414
"CENTRAL AV & W 9TH ST, Cincinnati, OH, USA","3314231842333151928656","CENTRAL AV & W 9TH ST, Cincinnati, OH, USA",39.10489,-84.51726,"locality,political","locality","OH","Hamilton","Cincinnati","Central Business District",273189,0.122682067773326,660025,39.1052485176777,-84.5166782437338,"Central Business District",273189
"YOUNG ST & DORCHESTER AV, Cincinnati, OH, USA","3369309314033693363445","YOUNG ST & DORCHESTER AV, Cincinnati, OH, USA",39.112344,-84.506813,"locality,political","locality","OH","Hamilton","Cincinnati","Mt. Auburn",274621,0.0966922906650254,620028,39.1119963435631,-84.507641391732,"Mt. Auburn",274621
"CENTRAL AV & CLARK ST, Cincinnati, OH, USA","3315002986233150259734","CENTRAL AV & CLARK ST, Cincinnati, OH, USA",39.107588,-84.523417,"locality,political","locality","OH","Hamilton","Cincinnati","West End",276647,0.0915470331980945,690026,39.1074996969637,-84.5234558830383,"West End",276647
"E MCMICKEN AV & SHARP AL, Cincinnati, OH, USA","3306739263333069572386","E MCMICKEN AV & SHARP AL, Cincinnati, OH, USA",39.116544,-84.513744,"locality,political","locality","OH","Hamilton","Cincinnati","Over-The-Rhine",202750,0.112489179263534,650030,39.1164980481358,-84.5144190306643,"Over-The-Rhine",202750
"DRAKE AV & WASSON RD, Cincinnati, OH, USA","4249564269742499902656","DRAKE AV & WASSON RD, Cincinnati, OH, USA",39.144494,-84.435654,"locality,political","locality","OH","Hamilton","Cincinnati","Oakley",202657,0.127035498600043,300042,39.1434538043646,-84.4353466140695,"Hyde Park",201414
"BROTHERTON RD & PAXTON WOODS LN, Cincinnati, OH, USA","4254958621045450255724","BROTHERTON RD & PAXTON WOODS LN, Cincinnati, OH, USA",39.152384,-84.406718,"locality,political","locality","OH","Hamilton","Cincinnati","Oakley",202657,0.194723092965167,170046,39.1524237577415,-84.4059768935337,"Madisonville",201948
"GILMORE AV & MADISON RD, Cincinnati, OH, USA","4250514532242510965751","GILMORE AV & MADISON RD, Cincinnati, OH, USA",39.152888,-84.430493,"locality,political","locality","OH","Hamilton","Cincinnati","Oakley",202657,0.0522787627036922,280046,39.1524496659273,-84.4308281939085,"Oakley",202657
"LANG ST & WALNUT ST, Cincinnati, OH, USA","3306957238633069582202","LANG ST & WALNUT ST, Cincinnati, OH, USA",39.115317,-84.513742,"locality,political","locality","OH","Hamilton","Cincinnati","Over-The-Rhine",202750,0.0939114955754893,650029,39.1142480461222,-84.5144190306687,"Over-The-Rhine",202750
"DRAKE AV & CADILLAC AV, Cincinnati, OH, USA","4259669379442597154658","DRAKE AV & CADILLAC AV, Cincinnati, OH, USA",39.144494,-84.435654,"locality,political","locality","OH","Hamilton","Cincinnati","Oakley",202657,0.127035498600043,300042,39.1434538043646,-84.4353466140695,"Hyde Park",201414
"ERIE AV & MICHIGAN AV, Cincinnati, OH, USA","4077353103040778080948","ERIE AV & MICHIGAN AV, Cincinnati, OH, USA",39.157716,-84.389612,"locality,political","locality","OH","Hamilton","Cincinnati","Madisonville",201948,0.168681087045429,100048,39.156904523845,-84.3901624399105,"Madisonville",201948
"E ELDER ST & HAMER ST, Cincinnati, OH, USA","3306625276133066952682","E ELDER ST & HAMER ST, Cincinnati, OH, USA",39.114506,-84.51574,"locality,political","locality","OH","Hamilton","Cincinnati","Over-The-Rhine",202750,0.067999483229627,660029,39.1142485257709,-84.5166782437173,"Over-The-Rhine",202750
"RUTH LYONS LN & E 7TH ST, Cincinnati, OH, USA","3317359839233173968167","RUTH LYONS LN & E 7TH ST, Cincinnati, OH, USA",39.104291,-84.509603,"locality,political","locality","OH","Hamilton","Cincinnati","Central Business District",273189,0.102911145008809,630025,39.1052469480212,-84.50990060469,"Central Business District",273189
"DRAKEWOOD DR & MARKBREIT AV, Cincinnati, OH, USA","4250099501942503365232","DRAKEWOOD DR & MARKBREIT AV, Cincinnati, OH, USA",39.150776,-84.43339,"locality,political","locality","OH","Hamilton","Cincinnati","Oakley",202657,0.099851935276462,290045,39.1502017582705,-84.4330874039134,"Oakley",202657
"RIDGE AV & CARDIFF AV, Cincinnati, OH, USA","4253284639542636797097","RIDGE AV & CARDIFF AV, Cincinnati, OH, USA",39.18799,-84.429535,"locality,political","locality","OH","Hamilton","Cincinnati","Pleasant Ridge",202946,0.112558821596911,270061,39.1861975463565,-84.4285689839155,"Pleasant Ridge",202946
"GLENVIEW AV & MERYTON PL, Cincinnati, OH, USA","2805704197628059901087","GLENVIEW AV & MERYTON PL, Cincinnati, OH, USA",39.195278,-84.556568,"locality,political","locality","OH","Hamilton","Cincinnati","College Hill",200100,0.0604980581244745,840065,39.1952497760667,-84.557344080921,"College Hill",200100
"ZUMSTEIN AV & MADISON RD, Cincinnati, OH, USA","4076761255440771602834","ZUMSTEIN AV & MADISON RD, Cincinnati, OH, USA",39.144649,-84.444149,"locality,political","locality","OH","Hamilton","Cincinnati","Hyde Park",201414,0.10981283075634,340042,39.1434615675952,-84.4443834558598,"Hyde Park",201414
"GANO ST & WALNUT ST, Cincinnati, OH, USA","3357625820433576697978","GANO ST & WALNUT ST, Cincinnati, OH, USA",39.103558,-84.510258,"locality,political","locality","OH","Hamilton","Cincinnati","Central Business District",273189,0.107626853337128,630024,39.1029969460217,-84.5099006046949,"Central Business District",273189
"ROE ST & ERIE AV, Cincinnati, OH, USA","4750976679147511956601","ROE ST & ERIE AV, Cincinnati, OH, USA",39.155643,-84.393053,"locality,political","locality","OH","Hamilton","Cincinnati","Madisonville",201948,0.133637045962105,110047,39.1546574020975,-84.3924216470382,"Madisonville",201948
"NASH AV & NASH AV TERM W OF NANCY LN, Cincinnati, OH, USA","4239561500642301466338","NASH AV & NASH AV TERM W OF NANCY LN, Cincinnati, OH, USA",39.125341,-84.431939,"locality,political","locality","OH","Hamilton","Cincinnati","Mt. Lookout",274623,0.129281999801294,280034,39.1254496513273,-84.4308281940156,"Mt. Lookout",274623
"FISCHER PL & HARRISON AV, Cincinnati, OH, USA","2384348402023847234300","FISCHER PL & HARRISON AV, Cincinnati, OH, USA",39.146066,-84.593857,"locality,political","locality","OH","Hamilton","Cincinnati","Westwood",204284,0.114596205590571,1000043,39.1457389152122,-84.5934914865961,"Westwood",204284
"PINEHURST AV & ERIE AV, Cincinnati, OH, USA","4244190139542443791369","PINEHURST AV & ERIE AV, Cincinnati, OH, USA",39.157716,-84.389612,"locality,political","locality","OH","Hamilton","Cincinnati","Madisonville",201948,0.168681087045429,100048,39.156904523845,-84.3901624399105,"Madisonville",201948
"GLENVIEW AV & BELMONT AV, Cincinnati, OH, USA","2805704197627958393244","GLENVIEW AV & BELMONT AV, Cincinnati, OH, USA",39.194165,-84.550998,"locality,political","locality","OH","Hamilton","Cincinnati","College Hill",200100,0.11497361990807,810065,39.1952505614065,-84.5505664413938,"College Hill",200100
"WESTWOOD NORTHERN BLVD & BRODBECK PL, Cincinnati, OH, USA","2538048505525383934905","WESTWOOD NORTHERN BLVD & BRODBECK PL, Cincinnati, OH, USA",39.14897,-84.578396,"locality,political","locality","OH","Hamilton","Cincinnati","Westwood",204284,0.0627877148719138,930044,39.1479950231827,-84.5776769980076,"Westwood",204284
"E 6TH ST & BROADWAY, Cincinnati, OH, USA","3359067821533594838284","E 6TH ST & BROADWAY, Cincinnati, OH, USA",39.103526,-84.506135,"locality,political","locality","OH","Hamilton","Cincinnati","Central Business District",273189,0.0902369632075168,610024,39.1029956815969,-84.5053821788502,"Central Business District",273189
"SHEREL LN & PAXTON AV, Cincinnati, OH, USA","4253854517642539205851","SHEREL LN & PAXTON AV, Cincinnati, OH, USA",39.151469,-84.420727,"locality,political","locality","OH","Hamilton","Cincinnati","Oakley",202657,0.155370825275279,240046,39.1524408553979,-84.421791355311,"Oakley",202657
"PILLARS DR & PAXTON AV, Cincinnati, OH, USA","4254103515242541996122","PILLARS DR & PAXTON AV, Cincinnati, OH, USA",39.133355,-84.434455,"locality,political","locality","OH","Hamilton","Cincinnati","Mt. Lookout",274623,0.0910463672666242,300038,39.1344537992279,-84.4353466141056,"Hyde Park",201414
"PAXTON AV & JORA LN, Cincinnati, OH, USA","4254351512742544466137","PAXTON AV & JORA LN, Cincinnati, OH, USA",39.151363,-84.418968,"locality,political","locality","OH","Hamilton","Cincinnati","Oakley",202657,0.141117242000953,230046,39.1524385437246,-84.4195321460221,"Oakley",202657
"PAXTON AV & CLUB VIEW DR, Cincinnati, OH, USA","4254351512742545995106","PAXTON AV & CLUB VIEW DR, Cincinnati, OH, USA",39.151469,-84.420727,"locality,political","locality","OH","Hamilton","Cincinnati","Oakley",202657,0.155370825275279,240046,39.1524408553979,-84.421791355311,"Oakley",202657
"PAXTON WOODS DR & PAXTON AV, Cincinnati, OH, USA","4254912517645450255724","PAXTON WOODS DR & PAXTON AV, Cincinnati, OH, USA",39.151469,-84.420727,"locality,political","locality","OH","Hamilton","Cincinnati","Oakley",202657,0.155370825275279,240046,39.1524408553979,-84.421791355311,"Oakley",202657
"PLAZA AV & BEECHMONT AV, Cincinnati, OH, USA","4702944456547029614048","PLAZA AV & BEECHMONT AV, Cincinnati, OH, USA",39.123025,-84.418471,"locality,political","locality","OH","Hamilton","Cincinnati","Mt. Lookout",274623,0.0486547020782895,230033,39.1231885302615,-84.4195321461322,"Mt. Lookout",274623
"EASTWOOD DR & EASTWOOD DR TERM N OF E EASTWOOD CIR, Cincinnati, OH, USA","4536577002345376759915","EASTWOOD DR & EASTWOOD DR TERM N OF E EASTWOOD CIR, Cincinnati, OH, USA",39.168925,-84.40713,"locality,political","locality","OH","Hamilton","Cincinnati","Madisonville",201948,0.176246153021485,180053,39.1681763369468,-84.408236101828,"Madisonville",201948
"MONITOR AV & GRACELY DR, Cincinnati, OH, USA","1156223311011564382754","MONITOR AV & GRACELY DR, Cincinnati, OH, USA",39.11208,-84.693558,"locality,political","locality","OH","Hamilton","Cincinnati","Sayler Park",203392,0.10907706839041,1440028,39.1119015927487,-84.6928967308567,"Sayler Park",203392
"PINEHURST AV & ERIE AV, Cincinnati, OH, USA","4244379136942448441323","PINEHURST AV & ERIE AV, Cincinnati, OH, USA",39.157716,-84.389612,"locality,political","locality","OH","Hamilton","Cincinnati","Madisonville",201948,0.168681087045429,100048,39.156904523845,-84.3901624399105,"Madisonville",201948
"GLEN ARMAND AV & HAMILTON AV, Cincinnati, OH, USA","2988796378929893373714","GLEN ARMAND AV & HAMILTON AV, Cincinnati, OH, USA",39.179666,-84.544801,"locality,political","locality","OH","Hamilton","Cincinnati","Northside",274791,0.106246714140365,780058,39.1795009398312,-84.5437888017605,"Northside",274791
"WHETSEL AV & DESMOND ST, Cincinnati, OH, USA","4761798868547618389013","WHETSEL AV & DESMOND ST, Cincinnati, OH, USA",39.153507,-84.393925,"locality,political","locality","OH","Hamilton","Cincinnati","Madisonville",201948,0.12832608003552,120046,39.1524102366401,-84.3946808543501,"Madisonville",201948
"LUDLOW AV & CLIFTON AV, Cincinnati, OH, USA","3285475295732858702870","LUDLOW AV & CLIFTON AV, Cincinnati, OH, USA",39.143464,-84.519199,"locality,political","locality","OH","Hamilton","Cincinnati","Clifton",200052,0.0966620322084409,670042,39.1434989881264,-84.5189374567449,"Clifton",200052
"MONTGOMERY RD & WOODFORD RD, Cincinnati, OH, USA","4281041597842817706249","MONTGOMERY RD & WOODFORD RD, Cincinnati, OH, USA",39.180799,-84.42729,"locality,political","locality","OH","Hamilton","Cincinnati","Pleasant Ridge",202946,0.0960688088698477,260059,39.1816953627268,-84.4263097742127,"Pleasant Ridge",202946
"DRAKEWOOD DR & MARKBREIT AV, Cincinnati, OH, USA","4250594525942513765035","DRAKEWOOD DR & MARKBREIT AV, Cincinnati, OH, USA",39.150776,-84.43339,"locality,political","locality","OH","Hamilton","Cincinnati","Oakley",202657,0.099851935276462,290045,39.1502017582705,-84.4330874039134,"Oakley",202657
"ERIE AV & EDWARDS RD, Cincinnati, OH, USA","4076989108040773531030","ERIE AV & EDWARDS RD, Cincinnati, OH, USA",39.157716,-84.389612,"locality,political","locality","OH","Hamilton","Cincinnati","Madisonville",201948,0.168681087045429,100048,39.156904523845,-84.3901624399105,"Madisonville",201948
"EDEN PARK DR & ART MUSEUM DR, Cincinnati, OH, USA","3362316233633629502129","EDEN PARK DR & ART MUSEUM DR, Cincinnati, OH, USA",39.114515,-84.493468,"locality,political","locality","OH","Hamilton","Cincinnati","Walnut Hills",204112,0.199786594013177,560029,39.1142417670847,-84.4940861150134,"Walnut Hills",204112
"RAVENNA ST & MADISON RD, Cincinnati, OH, USA","4761414837547617578336","RAVENNA ST & MADISON RD, Cincinnati, OH, USA",39.166675,-84.39365,"locality,political","locality","OH","Hamilton","Cincinnati","Madisonville",201948,0.186061033874578,120052,39.1659102400734,-84.3946808543132,"Madisonville",201948
"LESTER RD & MONTGOMERY RD, Cincinnati, OH, USA","4280144545642810415978","LESTER RD & MONTGOMERY RD, Cincinnati, OH, USA",39.178616,-84.431545,"locality,political","locality","OH","Hamilton","Cincinnati","Pleasant Ridge",202946,0.14046716323174,280058,39.1794496804609,-84.4308281938014,"Pleasant Ridge",202946
"RAVENNA ST & DESMOND ST, Cincinnati, OH, USA","4761491904747615279459","RAVENNA ST & DESMOND ST, Cincinnati, OH, USA",39.166675,-84.39365,"locality,political","locality","OH","Hamilton","Cincinnati","Madisonville",201948,0.186061033874578,120052,39.1659102400734,-84.3946808543132,"Madisonville",201948
"EARNSHAW AV & RYAN AV, Cincinnati, OH, USA","3370783520633610253566","EARNSHAW AV & RYAN AV, Cincinnati, OH, USA",39.121468,-84.500855,"locality,political","locality","OH","Hamilton","Cincinnati","Walnut Hills",204112,0.209937869116011,590032,39.1209942583893,-84.5008637531327,"Mt. Auburn",274621
"MONTANA AV & HARRISON AV, Cincinnati, OH, USA","2383024521823834955237","MONTANA AV & HARRISON AV, Cincinnati, OH, USA",39.151486,-84.586406,"locality,political","locality","OH","Hamilton","Cincinnati","Westwood",204284,0.101885279224778,970046,39.152491799463,-84.5867138489778,"Westwood",204284
"E MCMILLAN ST & WILLIAM H TAFT RD, Cincinnati, OH, USA","3708440576037590026389","E MCMILLAN ST & WILLIAM H TAFT RD, Cincinnati, OH, USA",39.126536,-84.49967,"locality,political","locality","OH","Hamilton","Cincinnati","Walnut Hills",204112,0.0910463672666242,580034,39.1254934773432,-84.4986045403553,"Walnut Hills",204112
"WARD ST & CHANDLER ST, Cincinnati, OH, USA","4762205919447622279379","WARD ST & CHANDLER ST, Cincinnati, OH, USA",39.161484,-84.391748,"locality,political","locality","OH","Hamilton","Cincinnati","Madisonville",201948,0.092708011270197,110050,39.1614074036764,-84.3924216470208,"Madisonville",201948
"MONTGOMERY RD & ROBISON RD, Cincinnati, OH, USA","4284234771742847747994","MONTGOMERY RD & ROBISON RD, Cincinnati, OH, USA",39.185919,-84.420326,"locality,political","locality","OH","Hamilton","Cincinnati","Pleasant Ridge",202946,0.110809601944249,230061,39.1861885591767,-84.4195321458951,"Kennedy Heights",201559
"RUEHLMAN PL & HARRISON AV, Cincinnati, OH, USA","2383297554623834955237","RUEHLMAN PL & HARRISON AV, Cincinnati, OH, USA",39.149397,-84.598987,"locality,political","locality","OH","Hamilton","Cincinnati","Westwood",204284,0.193813806070853,1020045,39.1502367817438,-84.5980099113666,"Westwood",204284
"RIDGE AV & PARKVIEW AV, Cincinnati, OH, USA","4282199577542822215895","RIDGE AV & PARKVIEW AV, Cincinnati, OH, USA",39.18799,-84.429535,"locality,political","locality","OH","Hamilton","Cincinnati","Pleasant Ridge",202946,0.112558821596911,270061,39.1861975463565,-84.4285689839155,"Pleasant Ridge",202946
"E LIBERTY ST & SYCAMORE ST, Cincinnati, OH, USA","3367974155733680081396","E LIBERTY ST & SYCAMORE ST, Cincinnati, OH, USA",39.116009,-84.510511,"locality,political","locality","OH","Hamilton","Cincinnati","Mt. Auburn",274621,0.118316115884703,630030,39.1164969580073,-84.5099006046658,"Mt. Auburn",274621
"EDEN PARK DR & MARTIN DR, Cincinnati, OH, USA","3713531132837135362220","EDEN PARK DR & MARTIN DR, Cincinnati, OH, USA",39.108078,-84.493607,"locality,political","locality","OH","Hamilton","Cincinnati","Mt. Adams",274619,0.161517793742973,560026,39.107491761348,-84.4940861150326,"Mt. Adams",274619
"HAMILTON AV & LINGO ST, Cincinnati, OH, USA","2970224989329702699727","HAMILTON AV & LINGO ST, Cincinnati, OH, USA",39.162233,-84.536914,"locality,political","locality","OH","Hamilton","Cincinnati","Northside",274791,0.0728175939638783,750050,39.1615009235045,-84.537011162102,"Northside",274791
"CLIFF DR BRIDGE & EDEN PARK DR, Cincinnati, OH, USA","3713536222037143853341","CLIFF DR BRIDGE & EDEN PARK DR, Cincinnati, OH, USA",39.127472,-84.51399,"locality,political","locality","OH","Hamilton","Cincinnati","CUF",273417,0.271116307788378,650035,39.1277480581921,-84.5144190306425,"CUF",273417
"HOME CITY AV & ELCO ST, Cincinnati, OH, USA","1156495462911569113996","HOME CITY AV & ELCO ST, Cincinnati, OH, USA",39.114836,-84.693148,"locality,political","locality","OH","Hamilton","Cincinnati","Sayler Park",203392,0.13142631598781,1440029,39.1141515931841,-84.6928967308589,"Sayler Park",203392
"E 4TH ST & POSTAL AL, Cincinnati, OH, USA","3327369698833575917023","E 4TH ST & POSTAL AL, Cincinnati, OH, USA",39.102775,-84.501857,"locality,political","locality","OH","Hamilton","Cincinnati","Central Business District",273189,0.179940110369759,590024,39.1029942427687,-84.5008637531787,"Mt. Adams",274619
"E OGDEN PL & E OGDEN PL TERM E OF VINE ST, Cincinnati, OH, USA","3357826705933479046603","E OGDEN PL & E OGDEN PL TERM E OF VINE ST, Cincinnati, OH, USA",39.099219,-84.514169,"locality,political","locality","OH","Hamilton","Cincinnati","Central Business District",273189,0.126599901362006,650022,39.0984980320062,-84.5144190306992,"Central Business District",273189
"PARKSIDE PL & MARTIN DR, Cincinnati, OH, USA","3352458071437230320650","PARKSIDE PL & MARTIN DR, Cincinnati, OH, USA",39.108078,-84.493607,"locality,political","locality","OH","Hamilton","Cincinnati","Mt. Adams",274619,0.161517793742973,560026,39.107491761348,-84.4940861150326,"Mt. Adams",274619
"EDWARDS RD & GREGSON PL, Cincinnati, OH, USA","4077368122240774502039","EDWARDS RD & GREGSON PL, Cincinnati, OH, USA",39.142482,-84.443064,"locality,political","locality","OH","Hamilton","Cincinnati","Hyde Park",201414,0.151860510693302,330042,39.1434596922079,-84.4421242452268,"Hyde Park",201414
"LESTER RD & PARKVIEW AV, Cincinnati, OH, USA","4280998512742810275676","LESTER RD & PARKVIEW AV, Cincinnati, OH, USA",39.166956,-84.432031,"locality,political","locality","OH","Hamilton","Cincinnati","Pleasant Ridge",202946,0.10504685593606,290052,39.1659517669978,-84.4330874038506,"Pleasant Ridge",202946
"EDEN PARK DR & GILBERT AV, Cincinnati, OH, USA","3361801305933623162336","EDEN PARK DR & GILBERT AV, Cincinnati, OH, USA",39.136745,-84.476998,"locality,political","locality","OH","Hamilton","Cincinnati","Evanston",200632,0.175420177382436,480039,39.136733238297,-84.4760124159648,"Evanston",200632
"RIVER RD & DART ST, Cincinnati, OH, USA","1539051945715395669116","RIVER RD & DART ST, Cincinnati, OH, USA",39.100269,-84.670744,"locality,political","locality","OH","Hamilton","Cincinnati","Riverside",203181,0.134771840987532,1350023,39.1006763118141,-84.6725638618917,"Riverside",203181
"MONTGOMERY RD & WOODMONT AV, Cincinnati, OH, USA","4283012689142831156578","MONTGOMERY RD & WOODMONT AV, Cincinnati, OH, USA",39.182725,-84.424189,"locality,political","locality","OH","Hamilton","Cincinnati","Pleasant Ridge",202946,0.112922796214201,250059,39.1816931378173,-84.4240505646338,"Pleasant Ridge",202946
"HARRISON AV & CHEV|CINC CORPLINE, Cincinnati, OH, USA","2371860751823719347630","HARRISON AV & CHEV|CINC CORPLINE, Cincinnati, OH, USA",39.123374,-84.53793,"locality,political","locality","OH","Hamilton","Cincinnati","West End",276647,0.0977799747688695,750033,39.1232508886442,-84.5370111621333,"West End",276647
"WOODWARD ST & YUKON ST, Cincinnati, OH, USA","3368055114833581430648","WOODWARD ST & YUKON ST, Cincinnati, OH, USA",39.110633,-84.511181,"locality,political","locality","OH","Hamilton","Cincinnati","Over-The-Rhine",202750,0.111126953286008,640027,39.1097475188569,-84.5121598176614,"Over-The-Rhine",202750
"EDWARDS RD & MADISON RD, Cincinnati, OH, USA","4077295293340675573119","EDWARDS RD & MADISON RD, Cincinnati, OH, USA",39.142482,-84.443064,"locality,political","locality","OH","Hamilton","Cincinnati","Hyde Park",201414,0.151860510693302,330042,39.1434596922079,-84.4421242452268,"Hyde Park",201414
"LESTER RD & MONTGOMERY RD, Cincinnati, OH, USA","4281027567642810415978","LESTER RD & MONTGOMERY RD, Cincinnati, OH, USA",39.178616,-84.431545,"locality,political","locality","OH","Hamilton","Cincinnati","Pleasant Ridge",202946,0.14046716323174,280058,39.1794496804609,-84.4308281938014,"Pleasant Ridge",202946
"BAYARD DR & ERIE AV, Cincinnati, OH, USA","4240573051842418240325","BAYARD DR & ERIE AV, Cincinnati, OH, USA",39.157716,-84.389612,"locality,political","locality","OH","Hamilton","Cincinnati","Madisonville",201948,0.168681087045429,100048,39.156904523845,-84.3901624399105,"Madisonville",201948
"HOBART AV & HAMILTON AV, Cincinnati, OH, USA","2989910102329700940372","HOBART AV & HAMILTON AV, Cincinnati, OH, USA",39.163786,-84.53909,"locality,political","locality","OH","Hamilton","Cincinnati","Northside",274791,0.0957835903107517,760051,39.1637509691681,-84.5392703753223,"Northside",274791
"PARKLAND AV & ELCO ST, Cincinnati, OH, USA","1156295359711566163794","PARKLAND AV & ELCO ST, Cincinnati, OH, USA",39.114836,-84.693148,"locality,political","locality","OH","Hamilton","Cincinnati","Sayler Park",203392,0.13142631598781,1440029,39.1141515931841,-84.6928967308589,"Sayler Park",203392
"CHASE AV & HAMILTON AV, Cincinnati, OH, USA","2970094037229701340229","CHASE AV & HAMILTON AV, Cincinnati, OH, USA",39.163154,-84.537658,"locality,political","locality","OH","Hamilton","Cincinnati","Northside",274791,0.116374059049435,750051,39.1637509255482,-84.5370111621002,"Northside",274791
"EDWARDS RD & RRXING NORFOLK AND WESTERN, Cincinnati, OH, USA","4077450203940775332912","EDWARDS RD & RRXING NORFOLK AND WESTERN, Cincinnati, OH, USA",39.136049,-84.443653,"locality,political","locality","OH","Hamilton","Cincinnati","Hyde Park",201414,0.127194375217607,340039,39.1367115633639,-84.4443834558869,"Hyde Park",201414
"MEARS AV & CAMBRIDGE AV, Cincinnati, OH, USA","4692607070046930000661","MEARS AV & CAMBRIDGE AV, Cincinnati, OH, USA",39.087733,-84.386315,"locality,political","locality","OH","Hamilton","Cincinnati","Mt. Washington",274624,0.106254066420608,80017,39.0871486234614,-84.3856440263767,"Mt. Washington",274624
"EGGLESTON AV & E PETE ROSE WY, Cincinnati, OH, USA","3350827734633512527675","EGGLESTON AV & E PETE ROSE WY, Cincinnati, OH, USA",39.107155,-84.507773,"locality,political","locality","OH","Hamilton","Cincinnati","Central Business District",273189,0.126275329013373,620026,39.1074963395879,-84.5076413917421,"Central Business District",273189
