"address_x","lat","long","age","community_council_neighborhood","cpd_neighborhood","crashdate","crashlocation","crashseverity","crashseverityid","datecrashreported","dayofweek","gender","injuries","instanceid","lightconditionsprimary","localreportno","mannerofcrash","roadconditionsprimary","roadcontour","roadsurface","sna_neighborhood","typeofperson","weather","zip","injury_type_num","cost","dist","cell_id","lat_cell","long_cell","hood","hood_id"
"23XX FERGUSON RD",39.128686,-84.596724,"31-40","WESTWOOD","WESTWOOD","03/10/2018 07:20:00 PM +0000","01 - NOT AN INTERSECTION","2 - INJURY",2,"03/11/2018 05:50:48 PM +0000","SAT","M - MALE","2 - POSSIBLE","86DC5BE5-AB15-4837-B553-234B48BCEC50","3 - DUSK","185003487","1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT","01 - DRY","2 - STRAIGHT GRADE","2 - BLACKTOP, BITUMINOUS, ASPHALT","WESTWOOD","P - PEDESTRIAN","1 - CLEAR","45238",2,1.103,0.0935827370328095,1010035,39.1277378537467,-84.5957506989771,"Westwood",204284
"73XX VINE ST",39.197664,-84.478335,"UNDER 18","N/A","N/A","08/29/2014 04:11:00 PM +0000","02 - FOUR-WAY INTERSECTION","2 - INJURY",2,"08/29/2014 04:11:00 PM +0000","FRI","F - FEMALE","2 - POSSIBLE","AE237352-BF43-4F92-BB4B-C0654A27D744","1 - DAYLIGHT","145007962","1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT","01 - DRY","1 - STRAIGHT LEVEL","2 - BLACKTOP, BITUMINOUS, ASPHALT","N/A","P - PEDESTRIAN","1 - CLEAR","45216",2,1.103,0.193836868485846,490066,39.1974845073556,-84.4782716278812,"Carthage",199885
"35XX ERIE AV",39.141593,-84.418786,"UNDER 18","N/A","N/A","01/12/2017 08:17:00 AM +0000","03 - T-INTERSECTION","3 - PROPERTY DAMAGE ONLY (PDO)",3,"01/12/2017 08:17:00 AM +0000","THU","M - MALE","1 - NO INJURY / NONE REPORTED","952168D5-5F28-479B-9048-6E464EAF53BC","1 - DAYLIGHT","175000605","1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT","02 - WET","1 - STRAIGHT LEVEL","2 - BLACKTOP, BITUMINOUS, ASPHALT","N/A","P - PEDESTRIAN","2 - CLOUDY","45208",1,10.082,0.171025449735743,230041,39.1411885385543,-84.4195321460645,"Hyde Park",201414
"72XX CEDAR AL",39.196735,-84.479813,"OVER 70","N/A","N/A","08/15/2014 04:19:00 PM +0000","01 - NOT AN INTERSECTION","2 - INJURY",2,"08/15/2014 04:19:00 PM +0000","FRI","F - FEMALE","2 - POSSIBLE","204ACA2E-1EEC-4DF8-A277-E92B647F7B95","1 - DAYLIGHT","145007336","1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT","01 - DRY","1 - STRAIGHT LEVEL","2 - BLACKTOP, BITUMINOUS, ASPHALT","N/A","P - PEDESTRIAN","1 - CLEAR","45216",2,1.103,0.119725635009444,500066,39.197485685383,-84.4805308400858,"Carthage",199885
"29XX COLERAIN",39.13607,-84.53774,"41-50","N/A","N/A","08/22/2013 12:00:00 AM +0000","02 - FOUR-WAY INTERSECTION","2 - INJURY",2,"08/22/2013 12:00:00 AM +0000","THU","M - MALE","2 - POSSIBLE","B323BA28-73E4-4878-A8ED-AA6F16E204C5","4 - DARK - LIGHTED ROADWAY","135009522","1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT","01 - DRY","1 - STRAIGHT LEVEL","2 - BLACKTOP, BITUMINOUS, ASPHALT","N/A","P - PEDESTRIAN","1 - CLEAR","45225",2,1.103,0.113401919099209,750039,39.1367509009735,-84.5370111621222,"Camp Washington",199841
"8XX POPLAR ST",39.114148,-84.532411,"UNDER 18","N/A","N/A","10/14/2016 06:30:00 PM +0000","01 - NOT AN INTERSECTION","2 - INJURY",2,"10/14/2016 06:32:00 PM +0000","FRI","M - MALE","3 - NON-INCAPACITATING","832FEE68-6B85-40AE-9769-D072FC29E2BC","3 - DUSK","165016957","1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT","01 - DRY","1 - STRAIGHT LEVEL","2 - BLACKTOP, BITUMINOUS, ASPHALT","N/A","P - PEDESTRIAN","1 - CLEAR","45214",3,0.304,0.164923324762583,730029,39.1142506623873,-84.5324927357232,"West End",276647
"26XX VICTORY PY",39.127774,-84.485087,"31-40","WALNUT HILLS","WALNUT HILLS","08/04/2017 04:30:00 PM +0000","02 - FOUR-WAY INTERSECTION","2 - INJURY",2,"08/04/2017 04:30:00 PM +0000","FRI","F - FEMALE","2 - POSSIBLE","F356ABBE-2B68-480F-8B01-A349F21EA354","1 - DAYLIGHT","175011662","1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT","01 - DRY","2 - STRAIGHT GRADE","2 - BLACKTOP, BITUMINOUS, ASPHALT","WALNUT HILLS","P - PEDESTRIAN","1 - CLEAR","45206",2,1.103,0.122138324994126,520035,39.1277378537555,-84.4850492649372,"Walnut Hills",204112
"33XX GLENMORE AV",39.150005,-84.613031,"61-70","WESTWOOD","WESTWOOD","04/22/2016 08:50:00 AM +0000","03 - T-INTERSECTION","2 - INJURY",2,"04/22/2016 08:52:00 AM +0000","FRI","F - FEMALE","4 - INCAPACITATING","23D1BB3F-B74D-47ED-AF08-C8B90593FC27","1 - DAYLIGHT","165006056","1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT","01 - DRY","1 - STRAIGHT LEVEL","2 - BLACKTOP, BITUMINOUS, ASPHALT","WESTWOOD","P - PEDESTRIAN","2 - CLOUDY","45211",4,0.141,0.140024672748906,1090044,39.1479779260586,-84.6138243956329,"Westwood",204284
"8XX EZZARD CHARLES DR",39.110314,-84.528075,"26-30","N/A","N/A","07/17/2018 12:00:00 AM +0000","01 - NOT AN INTERSECTION","2 - INJURY",2,"07/17/2018 12:01:00 AM +0000","TUE","M - MALE","3 - NON-INCAPACITATING","44448861-60C6-4924-8E64-5037374B08D0","4 - DARK - LIGHTED ROADWAY","185009879","1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT","01 - DRY","1 - STRAIGHT LEVEL","2 - BLACKTOP, BITUMINOUS, ASPHALT","N/A","P - PEDESTRIAN","1 - CLEAR","45203",3,0.304,0.162080535389663,710027,39.1097502658455,-84.5279743093507,"West End",276647
"2XX E MEHRING WY",39.09599,-84.508158,"31-40","DOWNTOWN","C. B. D. / RIVERFRONT","10/10/2014 07:14:00 AM +0000","03 - T-INTERSECTION","2 - INJURY",2,"10/10/2014 07:14:00 AM +0000","FRI","M - MALE","2 - POSSIBLE","FB5282F0-CC5C-41F4-B4D3-39E64ED5805F","4 - DARK - LIGHTED ROADWAY","145009883","1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT","02 - WET","1 - STRAIGHT LEVEL","2 - BLACKTOP, BITUMINOUS, ASPHALT","DOWNTOWN","P - PEDESTRIAN","2 - CLOUDY","45202",2,1.103,0.119366131362752,620021,39.0962463296369,-84.5076413917675,"Central Business District",273189
"29XX LEHMAN",39.115215,-84.558553,"41-50","N/A","N/A","06/18/2014 03:50:00 PM +0000","01 - NOT AN INTERSECTION","3 - PROPERTY DAMAGE ONLY (PDO)",3,"06/18/2014 03:53:00 PM +0000","WED","F - FEMALE","1 - NO INJURY / NONE REPORTED","2D7E3B7E-97E0-4868-82B7-4084B15BF911","1 - DAYLIGHT","145004913","1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT","01 - DRY","2 - STRAIGHT GRADE","2 - BLACKTOP, BITUMINOUS, ASPHALT","N/A","P - PEDESTRIAN","1 - CLEAR","45204",1,10.082,0.10720028219114,850029,39.1142493542519,-84.5596032940319,"East Price Hill",273561
"X E MEHRING WY",39.097533,-84.506089,"26-30","N/A","N/A","09/17/2016 11:45:00 PM +0000","01 - NOT AN INTERSECTION","2 - INJURY",2,"09/17/2016 11:55:00 PM +0000","SAT","F - FEMALE","2 - POSSIBLE","F6F07C8F-4F6A-43C1-9739-706FBF39D687","4 - DARK - LIGHTED ROADWAY","165015201","1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT","01 - DRY","1 - STRAIGHT LEVEL","2 - BLACKTOP, BITUMINOUS, ASPHALT","N/A","P - PEDESTRIAN","1 - CLEAR","45202",2,1.103,0.18987963955642,610022,39.0984956776372,-84.5053821788608,"Central Business District",273189
"35XX BRENTWOOD",39.140578,-84.417389,"31-40","N/A","N/A","04/23/2014 09:50:00 PM +0000","01 - NOT AN INTERSECTION","2 - INJURY",2,"04/23/2014 09:50:00 PM +0000","WED","M - MALE","3 - NON-INCAPACITATING","2B1804C9-D4E6-4E61-88CB-C6C50B468F52","4 - DARK - LIGHTED ROADWAY","145003090","1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT","01 - DRY","2 - STRAIGHT GRADE","2 - BLACKTOP, BITUMINOUS, ASPHALT","N/A","P - PEDESTRIAN","1 - CLEAR","45208",3,0.304,0.101944410961086,220041,39.1411861834563,-84.4172729369248,"Hyde Park",201414
"35XX HAVEN ST",39.148981,-84.505583,"UNDER 18","AVONDALE","AVONDALE","06/03/2016 06:05:00 PM +0000","01 - NOT AN INTERSECTION","2 - INJURY",2,"06/03/2016 06:22:00 PM +0000","FRI","F - FEMALE","3 - NON-INCAPACITATING","8F8C52F8-0C32-4F1A-AF6E-530DEC604F6F","1 - DAYLIGHT","165008695","1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT","01 - DRY","1 - STRAIGHT LEVEL","2 - BLACKTOP, BITUMINOUS, ASPHALT","AVONDALE","P - PEDESTRIAN","1 - CLEAR","45220",3,0.304,0.128655440538714,610044,39.1479957210302,-84.505382178744,"Avondale",199345
"26XX VICTORY PY",39.128074,-84.485037,"41-50","WALNUT HILLS","WALNUT HILLS","06/28/2018 09:55:12 PM +0000","01 - NOT AN INTERSECTION","2 - INJURY",2,"06/28/2018 10:00:47 PM +0000","THU","F - FEMALE","3 - NON-INCAPACITATING","BBADA636-B7BC-4878-86B3-FB65AF17BFB0","4 - DARK - LIGHTED ROADWAY","185009029","1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT","01 - DRY","1 - STRAIGHT LEVEL","2 - BLACKTOP, BITUMINOUS, ASPHALT","WALNUT HILLS","P - PEDESTRIAN","1 - CLEAR","45206",3,0.304,0.122138324994126,520035,39.1277378537555,-84.4850492649372,"Walnut Hills",204112
"23XX BEECHMONT AV",39.097741,-84.388053,"51-60","N/A","N/A","12/06/2017 06:31:00 PM +0000","01 - NOT AN INTERSECTION","2 - INJURY",2,"12/06/2017 06:31:00 PM +0000","WED","M - MALE","3 - NON-INCAPACITATING","64B62471-8D37-4248-A029-C6A718243BB6","4 - DARK - LIGHTED ROADWAY","175018642","1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT","01 - DRY","2 - STRAIGHT GRADE","2 - BLACKTOP, BITUMINOUS, ASPHALT","N/A","P - PEDESTRIAN","1 - CLEAR","45230",3,0.304,0.116292537100507,90022,39.0984015901574,-84.3879032331088,"Mt. Washington",274624
"18XX SUTTON AV",39.087436,-84.389968,"26-30","N/A","N/A","01/23/2017 02:49:00 PM +0000","03 - T-INTERSECTION","2 - INJURY",2,"01/23/2017 02:49:00 PM +0000","MON","M - MALE","4 - INCAPACITATING","AC903538-49AD-405F-8D8C-BA6BF9D2C328","1 - DAYLIGHT","175001140","1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT","01 - DRY","1 - STRAIGHT LEVEL","2 - BLACKTOP, BITUMINOUS, ASPHALT","N/A","P - PEDESTRIAN","2 - CLOUDY","45230",4,0.141,0.0994480593044553,100017,39.0871545088897,-84.390162440081,"Mt. Washington",274624
"X E CORRY ST",39.128374,-84.509603,"41-50","CORRYVILLE","CORRYVILLE","01/02/2018 11:43:00 AM +0000","02 - FOUR-WAY INTERSECTION","2 - INJURY",2,"01/02/2018 11:43:00 AM +0000","TUE","F - FEMALE","3 - NON-INCAPACITATING","F69E397A-8A5B-4B5B-870E-E0CAB8FB01A7","1 - DAYLIGHT","185000060","1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT","01 - DRY","1 - STRAIGHT LEVEL","2 - BLACKTOP, BITUMINOUS, ASPHALT","CORRYVILLE","P - PEDESTRIAN","1 - CLEAR","45219",3,0.304,0.13432532964,630035,39.1277469679745,-84.5099006046416,"Corryville",200172
"I7X EX",39.128225,-84.533446,"18-25","N/A","N/A","12/08/2013 01:58:04 AM +0000","01 - NOT AN INTERSECTION","2 - INJURY",2,"12/08/2013 01:59:13 AM +0000","SUN","M - MALE","4 - INCAPACITATING","1040F4AD-927F-47D1-ABE0-42CA9D40D11D","4 - DARK - LIGHTED ROADWAY","135012661","2 - REAR-END","02 - WET","1 - STRAIGHT LEVEL","1 - CONCRETE","N/A","P - PEDESTRIAN","2 - CLOUDY","45225",4,0.141,0.0400619812517002,730035,39.1277506747138,-84.5324927357091,"CUF",273417
"25XX CLIFTON AV",39.128581,-84.521566,"18-25","CUF - HEIGHTS","FAIRVIEW","01/22/2016 08:45:00 PM +0000","03 - T-INTERSECTION","2 - INJURY",2,"01/22/2016 08:48:00 PM +0000","FRI","F - FEMALE","3 - NON-INCAPACITATING","737BDD11-F423-40CF-AF85-91C59D9C3208","4 - DARK - LIGHTED ROADWAY","165001121","1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT","02 - WET","1 - STRAIGHT LEVEL","1 - CONCRETE","CUF","P - PEDESTRIAN","6 - SNOW","45220",3,0.304,0.110321248608516,680035,39.1277493664531,-84.5211966698781,"CUF",273417
"48XX CLEVES WARSAW",39.117535,-84.600106,"41-50","N/A","N/A","04/05/2013 03:25:00 PM +0000","02 - FOUR-WAY INTERSECTION","2 - INJURY",2,"04/05/2013 03:25:00 PM +0000","FRI","F - FEMALE","3 - NON-INCAPACITATING","3E0C16C8-112B-4B49-8071-8389F23F46C8","1 - DAYLIGHT","135004161","1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT","01 - DRY","1 - STRAIGHT LEVEL","2 - BLACKTOP, BITUMINOUS, ASPHALT","N/A","P - PEDESTRIAN","1 - CLEAR","45238",3,0.304,0.185643856122915,1030030,39.1164856206616,-84.600269123573,"West Price HIll",275981
"37XX PAXTON",39.143549,-84.43015,"18-25","OAKLEY","OAKLEY","11/16/2013 03:10:00 PM +0000","01 - NOT AN INTERSECTION","2 - INJURY",2,"11/16/2013 10:04:16 PM +0000","SAT","F - FEMALE","3 - NON-INCAPACITATING","D7BFD4BC-3C4E-4EFC-A37B-92067239C5A4","1 - DAYLIGHT","135012045","1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT","01 - DRY","1 - STRAIGHT LEVEL","1 - CONCRETE","OAKLEY","P - PEDESTRIAN","2 - CLOUDY","45209",3,0.304,0.132513009095463,280042,39.143449661068,-84.4308281939442,"Hyde Park",201414
"30XX OBRYON",39.103178,-84.51159,"61-70","N/A","N/A","11/30/2013 12:40:00 PM +0000","10 - DRIVEWAY/ALLEY ACCESS","2 - INJURY",2,"11/30/2013 12:49:00 PM +0000","SAT","M - MALE","2 - POSSIBLE","31E3D473-1E1F-4AD3-8F18-A450499108DD","1 - DAYLIGHT","135012433","1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT","01 - DRY","1 - STRAIGHT LEVEL","2 - BLACKTOP, BITUMINOUS, ASPHALT","N/A","P - PEDESTRIAN","1 - CLEAR","45208",2,1.103,0.120445558999439,640024,39.1029975128329,-84.5121598176752,"Central Business District",273189
"51XX GLENWAY",39.124016,-84.602682,"51-60","N/A","N/A","01/22/2015 02:45:00 PM +0000","01 - NOT AN INTERSECTION","2 - INJURY",2,"01/22/2015 02:45:00 PM +0000","THU","M - MALE","3 - NON-INCAPACITATING","476830B2-A0F1-4351-9CA0-3581BD34CAEC","1 - DAYLIGHT","155000890","1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT","01 - DRY","1 - STRAIGHT LEVEL","2 - BLACKTOP, BITUMINOUS, ASPHALT","N/A","P - PEDESTRIAN","1 - CLEAR","45238",3,0.304,0.184005042253514,1040033,39.1232344486913,-84.6025283357861,"West Price HIll",275981
"4XX E 4TH ST",39.101831,-84.505327,"31-40","N/A","N/A","05/09/2016 08:25:00 AM +0000","01 - NOT AN INTERSECTION","2 - INJURY",2,"05/09/2016 08:26:00 AM +0000","MON","M - MALE","3 - NON-INCAPACITATING","B820707D-E514-4E4A-B20C-9E7DB207A348","1 - DAYLIGHT","165007158","1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT","02 - WET","1 - STRAIGHT LEVEL","2 - BLACKTOP, BITUMINOUS, ASPHALT","N/A","P - PEDESTRIAN","4 - RAIN","45202",3,0.304,0.101899627084652,610023,39.1007456796175,-84.5053821788555,"Central Business District",273189
"21XX AUBURN AV",39.121818,-84.509103,"61-70","MOUNT AUBURN","MOUNT  AUBURN","10/04/2017 03:23:00 PM +0000","03 - T-INTERSECTION","2 - INJURY",2,"10/04/2017 03:30:00 PM +0000","WED","F - FEMALE","2 - POSSIBLE","52695B97-60AB-42C0-A1B2-35B0F92860C2","1 - DAYLIGHT","175015013","1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT","01 - DRY","2 - STRAIGHT GRADE","2 - BLACKTOP, BITUMINOUS, ASPHALT","MT. AUBURN","P - PEDESTRIAN","1 - CLEAR","45219",2,1.103,0.166641441096972,630032,39.1209969619964,-84.5099006046561,"Mt. Auburn",274621
"20XX READING RD",39.120102,-84.499878,"18-25","N/A","N/A","05/13/2016 08:50:00 AM +0000","01 - NOT AN INTERSECTION","2 - INJURY",2,"05/13/2016 08:50:00 AM +0000","FRI","F - FEMALE","2 - POSSIBLE","3D3BFE59-7D1E-4D95-BCC2-4A02DE3EE8AD","1 - DAYLIGHT","165007418","1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT","01 - DRY","2 - STRAIGHT GRADE","2 - BLACKTOP, BITUMINOUS, ASPHALT","N/A","P - PEDESTRIAN","1 - CLEAR","45206",2,1.103,0.122533346117444,590032,39.1209942583893,-84.5008637531327,"Mt. Auburn",274621
"30XX ERIE AV",39.138607,-84.428913,"UNDER 18","N/A","N/A","10/05/2015 03:38:00 PM +0000","01 - NOT AN INTERSECTION","2 - INJURY",2,"10/05/2015 04:20:09 PM +0000","MON","F - FEMALE","4 - INCAPACITATING","6A3A7DB0-8249-4933-A10E-AF822A4C41D7","1 - DAYLIGHT","155014449","1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT","01 - DRY","1 - STRAIGHT LEVEL","2 - BLACKTOP, BITUMINOUS, ASPHALT","N/A","P - PEDESTRIAN","1 - CLEAR","45208",4,0.141,0.171674770346755,270040,39.1389475216365,-84.4285689841015,"Hyde Park",201414
"36XX GLENWAY",39.113969,-84.571666,"18-25","N/A","N/A","06/10/2013 04:16:00 PM +0000","01 - NOT AN INTERSECTION","2 - INJURY",2,"06/10/2013 04:16:00 PM +0000","MON","F - FEMALE","3 - NON-INCAPACITATING","70AD9C01-EE42-4195-960D-CF3ADC9083E7","1 - DAYLIGHT","135007081","1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT","01 - DRY","2 - STRAIGHT GRADE","2 - BLACKTOP, BITUMINOUS, ASPHALT","N/A","P - PEDESTRIAN","2 - CLOUDY","45205",3,0.304,0.13081531136883,900029,39.1142469560067,-84.5708993592611,"East Price Hill",273561
"18XX CENTRAL PY",39.117485,-84.522881,"31-40","N/A","N/A","07/04/2016 12:49:00 PM +0000","01 - NOT AN INTERSECTION","2 - INJURY",2,"07/04/2016 12:49:00 PM +0000","MON","M - MALE","3 - NON-INCAPACITATING","A0BDAAF4-D5B8-4237-83AF-F804E1076DB9","1 - DAYLIGHT","165010459","1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT","02 - WET","2 - STRAIGHT GRADE","2 - BLACKTOP, BITUMINOUS, ASPHALT","N/A","P - PEDESTRIAN","2 - CLOUDY","45214",3,0.304,0.155021288735466,690030,39.1164997051309,-84.5234558830248,"West End",276647
