"requestid","requesttyp","requestdat","comments","usertype","near_inter","near_str","strsegid","additional_comments","sna_name","srvy_address","geo_address","lat","long","geo_address_type","geo_accuracy","State","County","City","Name","RegionID","dist","cell_id","lat_cell","long_cell","hood","hood_id"
266,"Vehicles run red lights or stop signs","07/02/2018","The light takes too long to change if you are on Kirby; early in the morning people turn left on red rather than wait","drives","KIRBY AV & COLERAIN AV","Colerain Av","2977503005729777829941","","Northside","KIRBY AV & COLERAIN AV, Cincinnati, OH, USA","KIRBY AV & COLERAIN AV, Cincinnati, OH, USA",39.193432,-84.572867,"locality,political","locality","OH","Hamilton","Cincinnati","Mt. Airy","274620",0.0601999607671158,910064,39.1929964145991,-84.5731585722813,"Mt. Airy",274620
2978,"Vehicles run red lights or stop signs","15/02/2018","This intersection is flat out dangerous!  At the least, there should be turn arrows.","walks","BANNING RD & BELMONT AV","Banning Rd","2793839452527938764217","","College Hill","BANNING RD & BELMONT AV, Cincinnati, OH, USA","BANNING RD & BELMONT AV, Cincinnati, OH, USA",39.207083,-84.570377,"locality,political","locality","OH","Hamilton","Cincinnati","Mt. Airy","274620",0.12073621242236,900070,39.2064970372137,-84.5708993593411,"Mt. Airy",274620
379,"Vehicles run red lights or stop signs","07/02/2018","Traffic calming from Summit Road to Losantiville Avenue on Reading Road might improve the safety for all travelers at the Reading Road and Section Road Intersection where BOTH Speeding AND Running Red Lights are a problem.","travels (other)","READING RD & SECTION RD","Reading Rd","3813468210538136792537","","Roselawn","READING RD & SECTION RD, Cincinnati, OH, USA","READING RD & SECTION RD, Cincinnati, OH, USA",39.130367,-84.498196,"locality,political","locality","OH","Hamilton","Cincinnati","Avondale","199345",0.0999349173943775,580036,39.1299934812124,-84.4986045403433,"Avondale",199345
383,"Vehicles run red lights or stop signs","07/02/2018","Beechmont traffic (inbound) often runs this redlight-speeding a problem here.  Scary for pedestrians","walks","BEECHMONT AV & BURNEY LN","Burney Ln","5096396974050964290034","","Mt. Washington","BEECHMONT AV & BURNEY LN, Cincinnati, OH, USA","BEECHMONT AV & BURNEY LN, Cincinnati, OH, USA",39.081423,-84.374743,"locality,political","locality","OH","Hamilton","Cincinnati","Mt. Washington","274624",0.135762590839117,30014,39.0803831465662,-84.3743479955207,"Mt. Washington",274624
435,"Vehicles run red lights or stop signs","07/02/2018","not a very safe intersection. cars run red lights. get confused on the signals and turns. casino signs not available or clear.","drives","I-71 NB EXWY TO DORCHESTER AV RAMP & READING RD","I-71 NB Exwy To Dorchester Av Ramp","3361025356633610642764","","Walnut Hills","I-71 NB EXWY TO DORCHESTER AV RAMP & READING RD, Cincinnati, OH, USA","I-71 NB EXWY TO DORCHESTER AV RAMP & READING RD, Cincinnati, OH, USA",39.141134,-84.492947,"locality,political","locality","OH","Hamilton","Cincinnati","Avondale","199345",0.108421901403887,550041,39.1412408740943,-84.491826902333,"Avondale",199345
463,"Vehicles run red lights or stop signs","07/02/2018","People are flying down 3rd and constantly running red lights.","walks","WALNUT ST & E 3RD ST","E 3rd St","3327445652333479046603","","Downtown","WALNUT ST & E 3RD ST, Cincinnati, OH, USA","WALNUT ST & E 3RD ST, Cincinnati, OH, USA",39.099661,-84.505821,"locality,political","locality","OH","Hamilton","Cincinnati","Central Business District","273189",0.121271134044586,610023,39.1007456796175,-84.5053821788555,"Central Business District",273189
481,"Vehicles run red lights or stop signs","07/02/2018","People are speeding down 2nd to beat the light.  When the light turns yellow, they need to stop since it's a heavily walked intersection...there are pedestrians everywhere!","walks","E 2ND ST & WALNUT ST","E 2nd St","3327494625933479536339","","Downtown","E 2ND ST & WALNUT ST, Cincinnati, OH, USA","E 2ND ST & WALNUT ST, Cincinnati, OH, USA",39.09496,-84.526775,"locality,political","locality","OH","Hamilton","Cincinnati","Central Business District","273189",0.105767709111322,700020,39.0939999898756,-84.5257150962056,"Central Business District",273189
5918,"Vehicles run red lights or stop signs","08/03/2018","Drivers run this red light all day every day, often when there are police working an event at Taft Theater. Also, cars often drive in excess of 40mph to get to the highway from here.","walks","SYCAMORE ST & E 5TH ST","E 5th St","3358668765933591467746","","Downtown","SYCAMORE ST & E 5TH ST, Cincinnati, OH, USA","SYCAMORE ST & E 5TH ST, Cincinnati, OH, USA",39.102361,-84.505034,"locality,political","locality","OH","Hamilton","Cincinnati","Central Business District","273189",0.101260355018107,610024,39.1029956815969,-84.5053821788502,"Central Business District",273189
744,"Vehicles run red lights or stop signs","08/02/2018","","drives","MIDDLETON AV & MCALPIN AV","McAlpin Av","3273599531032751785490","","Clifton","MIDDLETON AV & MCALPIN AV, Cincinnati, OH, USA","MIDDLETON AV & MCALPIN AV, Cincinnati, OH, USA",39.150802,-84.531419,"locality,political","locality","OH","Hamilton","Cincinnati","Clifton","200052",0.206815701615582,730045,39.150250695196,-84.5324927356855,"Clifton",200052
752,"Vehicles run red lights or stop signs","08/02/2018","","travels (other)","MIDDLETON AV & MCALPIN AV","Middleton Av","3275137493932751785310","","Clifton","MIDDLETON AV & MCALPIN AV, Cincinnati, OH, USA","MIDDLETON AV & MCALPIN AV, Cincinnati, OH, USA",39.150802,-84.531419,"locality,political","locality","OH","Hamilton","Cincinnati","Clifton","200052",0.206815701615582,730045,39.150250695196,-84.5324927356855,"Clifton",200052
777,"Vehicles run red lights or stop signs","08/02/2018","","drives","MIDDLETON AV & MCALPIN AV","McAlpin Av","3273599531032751785490","","Clifton","MIDDLETON AV & MCALPIN AV, Cincinnati, OH, USA","MIDDLETON AV & MCALPIN AV, Cincinnati, OH, USA",39.150802,-84.531419,"locality,political","locality","OH","Hamilton","Cincinnati","Clifton","200052",0.206815701615582,730045,39.150250695196,-84.5324927356855,"Clifton",200052
780,"Vehicles run red lights or stop signs","08/02/2018","","drives","MIDDLETON AV & MCALPIN AV","Middleton Av","3275137493932751785310","","Clifton","MIDDLETON AV & MCALPIN AV, Cincinnati, OH, USA","MIDDLETON AV & MCALPIN AV, Cincinnati, OH, USA",39.150802,-84.531419,"locality,political","locality","OH","Hamilton","Cincinnati","Clifton","200052",0.206815701615582,730045,39.150250695196,-84.5324927356855,"Clifton",200052
781,"Vehicles run red lights or stop signs","08/02/2018","","drives","MIDDLETON AV & MCALPIN AV","McAlpin Av","3273599531032751785490","","Clifton","MIDDLETON AV & MCALPIN AV, Cincinnati, OH, USA","MIDDLETON AV & MCALPIN AV, Cincinnati, OH, USA",39.150802,-84.531419,"locality,political","locality","OH","Hamilton","Cincinnati","Clifton","200052",0.206815701615582,730045,39.150250695196,-84.5324927356855,"Clifton",200052
782,"Vehicles run red lights or stop signs","08/02/2018","","drives","MIDDLETON AV & MCALPIN AV","Middleton Av","3275137493932751785310","","Clifton","MIDDLETON AV & MCALPIN AV, Cincinnati, OH, USA","MIDDLETON AV & MCALPIN AV, Cincinnati, OH, USA",39.150802,-84.531419,"locality,political","locality","OH","Hamilton","Cincinnati","Clifton","200052",0.206815701615582,730045,39.150250695196,-84.5324927356855,"Clifton",200052
786,"Vehicles run red lights or stop signs","08/02/2018","","walks","MIDDLETON AV & MCALPIN AV","McAlpin Av","3275178531032761205201","","Clifton","MIDDLETON AV & MCALPIN AV, Cincinnati, OH, USA","MIDDLETON AV & MCALPIN AV, Cincinnati, OH, USA",39.150802,-84.531419,"locality,political","locality","OH","Hamilton","Cincinnati","Clifton","200052",0.206815701615582,730045,39.150250695196,-84.5324927356855,"Clifton",200052
7889,"Vehicles run red lights or stop signs","19/03/2018","Cars run red light or do not yield to those crossing street in crosswalk.  

I am an employee of Cincinnati Children's and cross at this intersection a minimum of two times a day.  I have nearly been struck by cars on multiple occasions.","uses an assistive device","HARRISON AV & HARRISON RD","W 8TH ST","2422731087324229790835","","Corryville","HARRISON AV & HARRISON RD, Cincinnati, OH, USA","HARRISON AV & HARRISON RD, Cincinnati, OH, USA",39.123374,-84.53793,"locality,political","locality","OH","Hamilton","Cincinnati","West End","276647",0.201663042499957,750033,39.1232508886442,-84.5370111621333,"West End",276647
916,"Vehicles run red lights or stop signs","08/02/2018","People turning onto 5th street from Vine Street run the red lights constantly or do not wait for the pedestrians to cross the street either to the other side of Fifth Street or to the other side of Vine Street.","walks","W 5TH ST & VINE ST","Vine St","3317288744233173427137","","Downtown","W 5TH ST & VINE ST, Cincinnati, OH, USA","W 5TH ST & VINE ST, Cincinnati, OH, USA",39.100477,-84.517815,"locality,political","locality","OH","Hamilton","Cincinnati","Central Business District","273189",0.0930688010728174,670023,39.1007489496279,-84.5189374568186,"Central Business District",273189
949,"Vehicles run red lights or stop signs","08/02/2018","","walks","MIDDLETON AV & MCALPIN AV","McAlpin Av","3275178531032761205201","","Clifton","MIDDLETON AV & MCALPIN AV, Cincinnati, OH, USA","MIDDLETON AV & MCALPIN AV, Cincinnati, OH, USA",39.150802,-84.531419,"locality,political","locality","OH","Hamilton","Cincinnati","Clifton","200052",0.206815701615582,730045,39.150250695196,-84.5324927356855,"Clifton",200052
950,"Vehicles run red lights or stop signs","08/02/2018","","walks","MIDDLETON AV & MCALPIN AV","Middleton Av","3275137493932751785310","","Clifton","MIDDLETON AV & MCALPIN AV, Cincinnati, OH, USA","MIDDLETON AV & MCALPIN AV, Cincinnati, OH, USA",39.150802,-84.531419,"locality,political","locality","OH","Hamilton","Cincinnati","Clifton","200052",0.206815701615582,730045,39.150250695196,-84.5324927356855,"Clifton",200052
952,"Vehicles run red lights or stop signs","08/02/2018","","drives","MIDDLETON AV & MCALPIN AV","McAlpin Av","3275178531032761205201","","Clifton","MIDDLETON AV & MCALPIN AV, Cincinnati, OH, USA","MIDDLETON AV & MCALPIN AV, Cincinnati, OH, USA",39.150802,-84.531419,"locality,political","locality","OH","Hamilton","Cincinnati","Clifton","200052",0.206815701615582,730045,39.150250695196,-84.5324927356855,"Clifton",200052
102,"Speeding","07/02/2018","Robertson Avenue has speeds of 45 to 50mph every day during rush hour.","walks","ROBERTSON AV & 33RD AV","Robertson Av","4259772684442500996808","","Oakley","ROBERTSON AV & 33RD AV, Cincinnati, OH, USA","ROBERTSON AV & 33RD AV, Cincinnati, OH, USA",39.152577,-84.434401,"locality,political","locality","OH","Hamilton","Cincinnati","Oakley","202657",0.109127570397876,300046,39.1524538094936,-84.4353466140335,"Oakley",202657
1064,"Speeding","08/02/2018","People continually go 40-50 mph down observatory. Not too mention they also drive two cars wide on a single lane street so they are practically a couple feet from walkers. There are kids walking home from school with little concern from the drivers","walks","BURCH AV & OBSERVATORY AV","Observatory Av","4076202034440765620314","Totally agree.","Hyde Park","BURCH AV & OBSERVATORY AV, Cincinnati, OH, USA","BURCH AV & OBSERVATORY AV, Cincinnati, OH, USA",39.14498,-84.446666,"locality,political","locality","OH","Hamilton","Cincinnati","Hyde Park","201414",0.112509129333859,350042,39.1434633993688,-84.4466426666118,"Hyde Park",201414
1107,"Speeding","08/02/2018","Area is not very pedestrian friendly.  Lots of curb cuts, lots of traffic moving too quickly.  Doesn't feel very walkable.  Needs to be calmed.","walks","BEECHMONT AV & BURNEY LN","Beechmont Av","5096056051650964290034","","Mt. Washington","BEECHMONT AV & BURNEY LN, Cincinnati, OH, USA","BEECHMONT AV & BURNEY LN, Cincinnati, OH, USA",39.081423,-84.374743,"locality,political","locality","OH","Hamilton","Cincinnati","Mt. Washington","274624",0.135762590839117,30014,39.0803831465662,-84.3743479955207,"Mt. Washington",274624
1118,"Speeding","08/02/2018","Speed limit needs to be reduced starting at Edwards & Madison through Oakley Square.","walks","DRAKEWOOD DR & MARKBREIT AV","Madison Rd","4250243503142504855298","","Oakley","DRAKEWOOD DR & MARKBREIT AV, Cincinnati, OH, USA","DRAKEWOOD DR & MARKBREIT AV, Cincinnati, OH, USA",39.150776,-84.43339,"locality,political","locality","OH","Hamilton","Cincinnati","Oakley","202657",0.149951028698814,290045,39.1502017582705,-84.4330874039134,"Oakley",202657
112,"Speeding","07/02/2018","Drivers drive so quickly on eastbound Robertson that it is almost impossible to safely walk across Appleton because of the curve.","walks","MINOT AV & APPLETON ST","Appleton St","4251315670942514816537","","Oakley","MINOT AV & APPLETON ST, Cincinnati, OH, USA","MINOT AV & APPLETON ST, Cincinnati, OH, USA",39.152577,-84.434401,"locality,political","locality","OH","Hamilton","Cincinnati","Oakley","202657",0.109127570397876,300046,39.1524538094936,-84.4353466140335,"Oakley",202657
1369,"Speeding","09/02/2018","Speeding has been observed getting more severe down the hill on Heekin around blind curves.","walks","MOYER PL & MOYER PL TERM SE OF LEBLOND AV","Heekin Av","4565014627345652785642","","Mt. Lookout","MOYER PL & MOYER PL TERM SE OF LEBLOND AV, Cincinnati, OH, USA","MOYER PL & MOYER PL TERM SE OF LEBLOND AV, Cincinnati, OH, USA",39.127536,-84.416564,"locality,political","locality","OH","Hamilton","Cincinnati","Mt. Lookout","274623",0.15995637339335,220035,39.1276861774695,-84.4172729369748,"Mt. Lookout",274623
1746,"Speeding","11/02/2018","Average travel speed is over posted speed on a regular business.  Not safe for any modes of travel.  Road needs to be narrowed so travel speed drops.","bikes","RAVOGLI AV & HARRISON AV","Harrison Av","2526043254725269762726","","Westwood","RAVOGLI AV & HARRISON AV, Cincinnati, OH, USA","RAVOGLI AV & HARRISON AV, Cincinnati, OH, USA",39.14134,-84.589062,"locality,political","locality","OH","Hamilton","Cincinnati","Westwood","204284",0.0526765936713859,980041,39.1412408740867,-84.5889730615639,"Westwood",204284
1861,"Speeding","12/02/2018","Wittekind is used as a cut through street from North Bend Rd to Hamilton Ave via Edwood. Curb humps should be installed.","walks","LARRY AV & LARRY AV TERM E OF HAMILTON AV","Wittekind Ter","3018264592130197295743","","College Hill","LARRY AV & LARRY AV TERM E OF HAMILTON AV, Cincinnati, OH, USA","LARRY AV & LARRY AV TERM E OF HAMILTON AV, Cincinnati, OH, USA",39.208329,-84.547983,"locality,political","locality","OH","Hamilton","Cincinnati","College Hill","200100",0.099851935276462,800071,39.2087507480856,-84.5483072281859,"College Hill",200100
1877,"Speeding","12/02/2018","People speed down these 3 blocks of  6th St.","walks","MAIN ST & E 6TH ST","E 6th St","3358123805833583568095","","Downtown","MAIN ST & E 6TH ST, Cincinnati, OH, USA","MAIN ST & E 6TH ST, Cincinnati, OH, USA",39.103432,-84.506783,"locality,political","locality","OH","Hamilton","Cincinnati","Central Business District","273189",0.100921445185443,620024,39.1029963356098,-84.5076413917523,"Central Business District",273189
1880,"Speeding","12/02/2018","Vehicles routinely speed","drives","HAMILTON AV & PEASLEE AV","Hamilton Av","3018255621930182645921","","College Hill","HAMILTON AV & PEASLEE AV, Cincinnati, OH, USA","HAMILTON AV & PEASLEE AV, Cincinnati, OH, USA",39.206267,-84.547852,"locality,political","locality","OH","Hamilton","Cincinnati","College Hill","200100",0.150259259244841,800070,39.206500746061,-84.5483072281864,"College Hill",200100
28,"Speeding","07/02/2018","People speed up the hill and do not yield to pedestrians, including children walking to Wm Taft Elementary.","walks","YOUNG ST & DORCHESTER AV","Young St","3369336344533693703694","","Mt. Auburn","YOUNG ST & DORCHESTER AV, Cincinnati, OH, USA","YOUNG ST & DORCHESTER AV, Cincinnati, OH, USA",39.112344,-84.506813,"locality,political","locality","OH","Hamilton","Cincinnati","Mt. Auburn","274621",0.146619992242727,620028,39.1119963435631,-84.507641391732,"Mt. Auburn",274621
321,"Speeding","07/02/2018","","walks","I-71 SB EXWY & E 3RD ST","E 4th St","3359603735733500077676","I agree.  This is especially dangerous for people who must cross the street to get to a parked car or guests at the Residence Inn who cross to walk a dog in Lyle Park.","Downtown","I-71 SB EXWY & E 3RD ST, Cincinnati, OH, USA","I-71 SB EXWY & E 3RD ST, Cincinnati, OH, USA",39.099661,-84.505821,"locality,political","locality","OH","Hamilton","Cincinnati","Central Business District","273189",0.121271134044586,610023,39.1007456796175,-84.5053821788555,"Central Business District",273189
360,"Speeding","07/02/2018","Parking is permitted-GREAT when people do it-buffers the cars, which travel at high rates of speed-makes walking so much easier, but ppl rarely use it. Need signage/awareness campaign","walks","MORROW ST & MEARS AV","Beechmont Av","4693231264046939362144","Totally different pedestrian climate when cars parked.  Feels like walking in Hyde Park/areas like that.  Needs to be encouraged","Mt. Washington","MORROW ST & MEARS AV, Cincinnati, OH, USA","MORROW ST & MEARS AV, Cincinnati, OH, USA",39.087733,-84.386315,"locality,political","locality","OH","Hamilton","Cincinnati","Mt. Washington","274624",0.0963952787128103,80017,39.0871486234614,-84.3856440263767,"Mt. Washington",274624
367,"Speeding","07/02/2018","Needs street trees and more on-street parking.  Residential/institutional area.  When cars parked for McNick games, speeds decrease (good thing) and people walk more","walks","BRACHMAN AV & BEECHMONT AV","Beechmont Av","4695072135946953161191","","Mt. Washington","BRACHMAN AV & BEECHMONT AV, Cincinnati, OH, USA","BRACHMAN AV & BEECHMONT AV, Cincinnati, OH, USA",39.086292,-84.378554,"locality,political","locality","OH","Hamilton","Cincinnati","Mt. Washington","274624",0.119952201748679,50017,39.0871394683522,-84.378866407262,"Mt. Washington",274624
372,"Speeding","07/02/2018","Ppl go WAY too fast through NBD.  Need to encourage onstreet parking (and allow it more places)- and stop high rate of speed.","walks","CAMPUS LN & BEECHMONT AV","Beechmont Av","4702974351647029823159","Cars will honk and yell if you park here on weekends- even though it is legal","Mt. Washington","CAMPUS LN & BEECHMONT AV, Cincinnati, OH, USA","CAMPUS LN & BEECHMONT AV, Cincinnati, OH, USA",39.091615,-84.387582,"locality,political","locality","OH","Hamilton","Cincinnati","Mt. Washington","274624",0.113034443464815,90019,39.0916515888474,-84.3879032331243,"Mt. Washington",274624
390,"Speeding","07/02/2018","Speeding is a major problem on Beechmont in MW.  Cars treat it like a raceway.  Rush hour particularly bad.","drives","MORROW ST & MEARS AV","Beechmont Av","4693231264046939362144","","Mt. Washington","MORROW ST & MEARS AV, Cincinnati, OH, USA","MORROW ST & MEARS AV, Cincinnati, OH, USA",39.087733,-84.386315,"locality,political","locality","OH","Hamilton","Cincinnati","Mt. Washington","274624",0.0963952787128103,80017,39.0871486234614,-84.3856440263767,"Mt. Washington",274624
