street,city,,state,zipCode,lat,long,WalkScore,WalkScoreDesc,BikeScore,BikeScoreDesc,TransitScore,TransitScoreDesc,
Hill Ln, Anderson Township,Hill Ln Anderson Township,OH,45244,39.1109792,-84.3964715,2,Car-Dependent,,,,,
Chestnut Ln, Cincinnati,Chestnut Ln Cincinnati,OH,45230,39.0706824,-84.400584,2,Car-Dependent,,,,,
Artwood Dr, Cincinnati,Artwood Dr Cincinnati,OH,45230,39.0678418,-84.3626458,27,Car-Dependent,,,,,
Wittshire Ln, Cincinnati,Wittshire Ln Cincinnati,OH,45255,39.068218,-84.3326859,28,Car-Dependent,,,,,
Nimitz Ln, Cincinnati,Nimitz Ln Cincinnati,OH,45230,39.068869,-84.388492,13,Car-Dependent,,,,,
Eastland Terrace, Cincinnati,Eastland Terrace Cincinnati,OH,45230,39.0687192,-84.3598118,26,Car-Dependent,,,,,
Eversole Rd, Cincinnati,Eversole Rd Cincinnati,OH,45230,39.0715549,-84.3997425,6,Car-Dependent,,,,,
Alnetta Dr, Cincinnati,Alnetta Dr Cincinnati,OH,45230,39.0684755,-84.365685,36,Car-Dependent,,,,,
Wittshire Cir, Cincinnati,Wittshire Cir Cincinnati,OH,45255,39.069123,-84.3309973,4,Car-Dependent,,,,,
Sutton Rd, Cincinnati,Sutton Rd Cincinnati,OH,45230,39.0709252,-84.3947766,17,Car-Dependent,,,,,
Maycliffe Pl, Cincinnati,Maycliffe Pl Cincinnati,OH,45230,39.0720722,-84.3804911,44,Car-Dependent,,,,,
Lanette Dr, Cincinnati,Lanette Dr Cincinnati,OH,45230,39.0700115,-84.3790312,38,Car-Dependent,,,,,
Birney Ln, Cincinnati,Birney Ln Cincinnati,OH,45230,39.069915,-84.376783,36,Car-Dependent,,,,,
Beacon St, Cincinnati,Beacon St Cincinnati,OH,45230,39.0708544,-84.383055,34,Car-Dependent,,,,,
Burns Ave, Cincinnati,Burns Ave Cincinnati,OH,45230,39.06993,-84.375609,32,Car-Dependent,,,,,
Stormy Way, Cincinnati,Stormy Way Cincinnati,OH,45230,39.069879,-84.377501,37,Car-Dependent,,,,,
Oysterbay Dr, Cincinnati,Oysterbay Dr Cincinnati,OH,45255,39.0682556,-84.3241618,5,Somewhat Walkable,,,,,
4 Mile, Cincinnati,4 Mile Cincinnati,OH,45230,39.0715121,-84.3933595,2,Car-Dependent,,,,,
Shangrila Dr, Cincinnati,Shangrila Dr Cincinnati,OH,45230,39.0717687,-84.3532396,62,Somewhat Walkable,,,,,
White Pine, Cincinnati,White Pine Cincinnati,OH,45255,39.0678104,-84.3143256,41,Car-Dependent,,,,,
Stratford Hill, Cincinnati,Stratford Hill Cincinnati,OH,45230,39.0695846,-84.3567312,41,Car-Dependent,,,,,
Holz Ave, Cincinnati,Holz Ave Cincinnati,OH,45230,39.071392,-84.386614,29,Car-Dependent,,,,,
Witt Rd, Cincinnati,Witt Rd Cincinnati,OH,45255,39.0681998,-84.3352651,42,Car-Dependent,,,,,
Baytree Ct, Cincinnati,Baytree Ct Cincinnati,OH,45230,39.0716675,-84.3824481,41,Car-Dependent,,,,,
Brooke Ave, Cincinnati,Brooke Ave Cincinnati,OH,45230,39.0716386,-84.3797826,45,Car-Dependent,,,,,
Bruce Ave, Cincinnati,Bruce Ave Cincinnati,OH,45230,39.0715117,-84.3847147,39,Car-Dependent,,,,,
Joetta Dr, Cincinnati,Joetta Dr Cincinnati,OH,45230,39.0698973,-84.3640422,45,Car-Dependent,,,,,
8 Mile, Cincinnati,8 Mile Cincinnati,OH,45255,39.0691419,-84.3223366,56,Somewhat Walkable,,,,,
Hawkstone Dr, Cincinnati,Hawkstone Dr Cincinnati,OH,45230,39.0729921,-84.3954531,11,Car-Dependent,,,,,
Markley Rd, Cincinnati,Markley Rd Cincinnati,OH,45230,39.0703617,-84.3582955,51,Somewhat Walkable,,,,,
Rosetree Ln, Cincinnati,Rosetree Ln Cincinnati,OH,45230,39.0701498,-84.3667528,38,Car-Dependent,,,,,
Stream Ridge, Cincinnati,Stream Ridge Cincinnati,OH,45255,39.0687481,-84.3428048,18,Car-Dependent,,,,,
Coventry Woods, Cincinnati,Coventry Woods Cincinnati,OH,45230,39.0769442,-84.4101878,11,Car-Dependent,Somewhat Bikeable,1,,,
Asbury Rd, Cincinnati,Asbury Rd Cincinnati,OH,45255,39.0706682,-84.3420344,65,Somewhat Walkable,,,,,
Wilshire Ave, Cincinnati,Wilshire Ave Cincinnati,OH,45230,39.0719135,-84.3730361,26,Car-Dependent,,,,,
Kingscove Way, Cincinnati,Kingscove Way Cincinnati,OH,45230,39.0708609,-84.3684572,33,Car-Dependent,,,,,
Immaculate Ln, Cincinnati,Immaculate Ln Cincinnati,OH,45255,39.0686671,-84.3402985,53,Somewhat Walkable,,,,,
Nordyke Rd, Cincinnati,Nordyke Rd Cincinnati,OH,45255,39.0704902,-84.3156204,6,Somewhat Walkable,,,,,
Thornwood Cir, Cincinnati,Thornwood Cir Cincinnati,OH,45230,39.073997,-84.388435,28,Car-Dependent,,,,,
Ayershire Ave, Cincinnati,Ayershire Ave Cincinnati,OH,45230,39.0732284,-84.3708596,42,Car-Dependent,Somewhat Bikeable,39,,,
Bondick Ct, Cincinnati,Bondick Ct Cincinnati,OH,45230,39.0752351,-84.3818646,51,Somewhat Walkable,,,,,
Schirmer Ave, Cincinnati,Schirmer Ave Cincinnati,OH,45230,39.0754974,-84.3805606,51,Somewhat Walkable,,,,,
Nagel Rd, Cincinnati,Nagel Rd Cincinnati,OH,45255,39.0743129,-84.332511,62,Somewhat Walkable,,,,,
Coolidge Ave, Cincinnati,Coolidge Ave Cincinnati,OH,45230,39.075813,-84.3773477,48,Car-Dependent,,,,,
Ramblinghills Dr, Cincinnati,Ramblinghills Dr Cincinnati,OH,45230,39.0745641,-84.3554681,52,Somewhat Walkable,,,,,
Wolfangel Rd, Cincinnati,Wolfangel Rd Cincinnati,OH,45255,39.074502,-84.3451797,7,Very Walkable,,,,,
Mayland Dr, Cincinnati,Mayland Dr Cincinnati,OH,45230,39.0765224,-84.3850283,23,Car-Dependent,Somewhat Bikeable,35,27,Some Transit,
Crotty Ct, Cincinnati,Crotty Ct Cincinnati,OH,45255,39.0751567,-84.3465978,68,Somewhat Walkable,,,,,
Voll Rd, Cincinnati,Voll Rd Cincinnati,OH,45230,39.0759621,-84.3678206,31,Car-Dependent,,,,,
Collinsdale Ave, Cincinnati,Collinsdale Ave Cincinnati,OH,45230,39.0759463,-84.3540612,5,Car-Dependent,,,,,
Washington Cir, Cincinnati,Washington Cir Cincinnati,OH,45255,39.0759055,-84.3440201,61,Somewhat Walkable,,,,,
Stanley Rd, Cincinnati,Stanley Rd Cincinnati,OH,45230,39.076675,-84.3632619,39,Car-Dependent,,,,,
Plazaview Ct, Cincinnati,Plazaview Ct Cincinnati,OH,45255,39.0769012,-84.3461326,63,Somewhat Walkable,,,,,
Grand Oaks, Cincinnati,Grand Oaks Cincinnati,OH,45255,39.0778646,-84.3392302,17,Car-Dependent,,,,,
Dyer Ave, Cincinnati,Dyer Ave Cincinnati,OH,45230,39.0781341,-84.3841146,38,Car-Dependent,Somewhat Bikeable,39,27,Some Transit,
Castleberry Ct, Cincinnati,Castleberry Ct Cincinnati,OH,45255,39.0769896,-84.3261699,25,Car-Dependent,,,,,
Apple Farm, Cincinnati,Apple Farm Cincinnati,OH,45230,39.0794184,-84.4097569,4,Car-Dependent,,,,,
Apple Hill, Cincinnati,Apple Hill Cincinnati,OH,45230,39.0805996,-84.4041226,6,Car-Dependent,,,,,
Montegor Dr, Cincinnati,Montegor Dr Cincinnati,OH,45230,39.0790963,-84.3579634,15,Car-Dependent,,,,,
Larry Joe, Cincinnati,Larry Joe Cincinnati,OH,45230,39.078951,-84.3667118,25,Car-Dependent,,,,,
Verdale Dr, Cincinnati,Verdale Dr Cincinnati,OH,45230,39.0799096,-84.3580045,15,Car-Dependent,,,,,
Burr Oak, Cincinnati,Burr Oak Cincinnati,OH,45255,39.0785713,-84.342928,51,Somewhat Walkable,,,,,
Sigma Cir, Cincinnati,Sigma Cir Cincinnati,OH,45255,39.0779061,-84.3245997,44,Car-Dependent,,,,,
Oldbridge Rd, Cincinnati,Oldbridge Rd Cincinnati,OH,45230,39.081245,-84.3629744,15,Car-Dependent,,,,,
Paddison Trails, Cincinnati,Paddison Trails Cincinnati,OH,45230,39.081285,-84.3625431,15,Car-Dependent,,,,,
Cohasset Dr, Cincinnati,Cohasset Dr Cincinnati,OH,45255,39.079727,-84.3462456,48,Car-Dependent,,,,,
Huntcrest Dr, Cincinnati,Huntcrest Dr Cincinnati,OH,45255,39.0791095,-84.3398054,13,Car-Dependent,,,,,
Vancross Ct, Cincinnati,Vancross Ct Cincinnati,OH,45230,39.0823666,-84.4056734,1,Car-Dependent,,,,,
Laval Dr, Cincinnati,Laval Dr Cincinnati,OH,45255,39.0787387,-84.3146544,48,Car-Dependent,,,,,
Sharjoy Ct, Mt Washington,Sharjoy Ct Mt Washington,OH,45230,39.0833565,-84.4079204,4,Car-Dependent,Somewhat Bikeable,21,11,Minimal Transit,
Citadel Pl, Cincinnati,Citadel Pl Cincinnati,OH,45255,39.0789093,-84.3156714,39,Car-Dependent,,,,,
Summithills Dr, Cincinnati,Summithills Dr Cincinnati,OH,45255,39.0790155,-84.3176826,37,Car-Dependent,,,,,
Blueorchard Dr, Cincinnati,Blueorchard Dr Cincinnati,OH,45230,39.0809326,-84.3531574,26,Car-Dependent,,,,,
Braintree Dr, Cincinnati,Braintree Dr Cincinnati,OH,45255,39.0803667,-84.3473224,34,Car-Dependent,,,,,
Turquoise Dr, Cincinnati,Turquoise Dr Cincinnati,OH,45255,39.080224,-84.3244673,39,Car-Dependent,,,,,
Beechshire Dr, Cincinnati,Beechshire Dr Cincinnati,OH,45255,39.0794703,-84.3378965,14,Car-Dependent,,,,,
Muskegon Dr, Cincinnati,Muskegon Dr Cincinnati,OH,45255,39.0801539,-84.3120647,36,Car-Dependent,,,,,
Clemson Cir, Cincinnati,Clemson Cir Cincinnati,OH,45255,39.0806123,-84.3135651,25,Car-Dependent,,,,,
McCabe Ln, Cincinnati,McCabe Ln Cincinnati,OH,45255,39.0813415,-84.3431745,32,Car-Dependent,,,,,
Rockhurst Ln, Cincinnati,Rockhurst Ln Cincinnati,OH,45255,39.0809304,-84.318847,29,Car-Dependent,,,,,
Collinspark Ct, Cincinnati,Collinspark Ct Cincinnati,OH,45230,39.082266,-84.356549,26,Car-Dependent,,,,,
Pinebluff Ln, Cincinnati,Pinebluff Ln Cincinnati,OH,45255,39.080922,-84.3161753,27,Car-Dependent,,,,,
Emerald Glade, Cincinnati,Emerald Glade Cincinnati,OH,45255,39.0824073,-84.3464536,33,Car-Dependent,,,,,
Robinway Dr, Cincinnati,Robinway Dr Cincinnati,OH,45230,39.0842785,-84.3653154,11,Car-Dependent,,,,,
Grandle Ct, Cincinnati,Grandle Ct Cincinnati,OH,45230,39.082664,-84.355373,28,Car-Dependent,,,,,
Eastwind Ct, Cincinnati,Eastwind Ct Cincinnati,OH,45230,39.0829231,-84.3582509,21,Car-Dependent,,,,,
Tonopah Dr, Cincinnati,Tonopah Dr Cincinnati,OH,45255,39.0825259,-84.3233431,29,Car-Dependent,,,,,
Hilltree Dr, Cincinnati,Hilltree Dr Cincinnati,OH,45255,39.0821077,-84.3204226,28,Car-Dependent,,,,,
Friartuck Ln, Cincinnati,Friartuck Ln Cincinnati,OH,45230,39.0838233,-84.3642887,12,Car-Dependent,,,,,
Stonehouse Ln, Cincinnati,Stonehouse Ln Cincinnati,OH,45255,39.0825846,-84.3361896,21,Car-Dependent,,,,,
Fireside Dr, Cincinnati,Fireside Dr Cincinnati,OH,45255,39.084263,-84.324515,27,Car-Dependent,,,,,
Loisdale Ct, Cincinnati,Loisdale Ct Cincinnati,OH,45255,39.0836356,-84.3127635,14,Car-Dependent,,,,,
Woodpine Ln, Cincinnati,Woodpine Ln Cincinnati,OH,45255,39.0838731,-84.3418452,24,Car-Dependent,,,,,
Berkshire Club, Cincinnati,Berkshire Club Cincinnati,OH,45230,39.0868014,-84.3722797,29,Car-Dependent,Somewhat Bikeable,25,,,
Lindsey Ln, Cincinnati,Lindsey Ln Cincinnati,OH,45230,39.0870626,-84.3708025,19,Car-Dependent,Somewhat Bikeable,19,,,
Sandcliff Dr, Cincinnati,Sandcliff Dr Cincinnati,OH,45255,39.0852736,-84.3339296,17,Car-Dependent,,,,,
Rusticwood Ln, Cincinnati,Rusticwood Ln Cincinnati,OH,45255,39.0853458,-84.3421063,21,Car-Dependent,,,,,
Loisview Ln, Cincinnati,Loisview Ln Cincinnati,OH,45255,39.0856001,-84.3149117,12,Car-Dependent,,,,,
Wanninger Ln, Cincinnati,Wanninger Ln Cincinnati,OH,45255,39.0856578,-84.3284892,23,Car-Dependent,,,,,
Velma Ct, Cincinnati,Velma Ct Cincinnati,OH,45255,39.0855535,-84.3179098,23,Car-Dependent,,,,,
Windhill Terrace, Cincinnati,Windhill Terrace Cincinnati,OH,45255,39.0875395,-84.3354911,14,Car-Dependent,,,,,
Wittmeyer Dr, Cincinnati,Wittmeyer Dr Cincinnati,OH,45230,39.0857295,-84.3567312,29,Car-Dependent,,,,,
Gainsborough Ln, Cincinnati,Gainsborough Ln Cincinnati,OH,45230,39.0863063,-84.3636315,13,Car-Dependent,,,,,
Stutly Ct, Cincinnati,Stutly Ct Cincinnati,OH,45230,39.0870943,-84.3606332,2,Car-Dependent,,,,,
Anderson Cove, Cincinnati,Anderson Cove Cincinnati,OH,45244,39.0877537,-84.3152915,18,Car-Dependent,,,,,
Knightsbridge Dr, Cincinnati,Knightsbridge Dr Cincinnati,OH,45244,39.0893375,-84.3166467,15,Car-Dependent,,,,,
Berrypatch Dr, Cincinnati,Berrypatch Dr Cincinnati,OH,45244,39.0891702,-84.3272945,3,Car-Dependent,,,,,
8 Mile, Cincinnati,8 Mile Cincinnati,OH,45244,39.0888312,-84.3215096,56,Somewhat Walkable,,,,,
Kellogg Ave, Cincinnati,Kellogg Ave Cincinnati,OH,45230,39.0553079,-84.407772,1,Car-Dependent,,,,,
Endovalley Dr, Cincinnati,Endovalley Dr Cincinnati,OH,45244,39.0897657,-84.3253819,26,Car-Dependent,,,,,
Evanor Ln, Cincinnati,Evanor Ln Cincinnati,OH,45244,39.0911019,-84.333683,19,Car-Dependent,,,,,
Hunters Point, Cincinnati,Hunters Point Cincinnati,OH,45244,39.0903054,-84.3356554,7,Car-Dependent,,,,,
Wolfangel Rd, Cincinnati,Wolfangel Rd Cincinnati,OH,45244,39.092461,-84.346588,7,Very Walkable,,,,,
Harcourt Estates, Cincinnati,Harcourt Estates Cincinnati,OH,45244,39.094403,-84.313052,4,Car-Dependent,,,,,
Flaxen Ct, Cincinnati,Flaxen Ct Cincinnati,OH,45244,39.0928295,-84.3542665,3,Car-Dependent,,,,,
Bruns Ln, Cincinnati,Bruns Ln Cincinnati,OH,45244,39.0923377,-84.3399287,7,Car-Dependent,,,,,
Candlemaker Dr, Cincinnati,Candlemaker Dr Cincinnati,OH,45244,39.0951443,-84.3551702,5,Car-Dependent,,,,,
Bretton Dr, Cincinnati,Bretton Dr Cincinnati,OH,45244,39.093753,-84.350196,2,Car-Dependent,,,,,
Regis Ct, Cincinnati,Regis Ct Cincinnati,OH,45244,39.0951199,-84.3421063,3,Car-Dependent,,,,,
Pointe Pl, Cincinnati,Pointe Pl Cincinnati,OH,45244,39.0958088,-84.3379154,4,Car-Dependent,,,,,
Donnington Ln, Cincinnati,Donnington Ln Cincinnati,OH,45244,39.0944853,-84.3520278,1,Car-Dependent,,,,,
Morning Watch, Cincinnati,Morning Watch Cincinnati,OH,45244,39.0966576,-84.329923,2,Car-Dependent,,,,,
Berrywood Dr, Cincinnati,Berrywood Dr Cincinnati,OH,45244,39.0960485,-84.3445303,4,Car-Dependent,,,,,
Shimmering Bay, Cincinnati,Shimmering Bay Cincinnati,OH,45244,39.0966089,-84.3256447,8,Car-Dependent,,,,,
Clyde's Crossing, Cincinnati,Clyde's Crossing Cincinnati,OH,45244,39.0975924,-84.3324708,6,Car-Dependent,,,,,
Estate Ridge, Cincinnati,Estate Ridge Cincinnati,OH,45244,39.0986945,-84.3238612,4,Car-Dependent,,,,,
Turnberry Dr, Cincinnati,Turnberry Dr Cincinnati,OH,45244,39.0986314,-84.3492959,4,Car-Dependent,,,,,
Ashton Ct, Cincinnati,Ashton Ct Cincinnati,OH,45244,39.09706,-84.336412,3,Car-Dependent,,,,,
Little Dry, Cincinnati,Little Dry Cincinnati,OH,45244,39.0991424,-84.3447768,5,Car-Dependent,,,,,
Anderson Manor, Cincinnati,Anderson Manor Cincinnati,OH,45244,39.0996129,-84.3469543,4,Car-Dependent,,,,,
Royalview Ct, Cincinnati,Royalview Ct Cincinnati,OH,45244,39.1000665,-84.3653788,9,Car-Dependent,,,,,
Concordgreen Dr, Cincinnati,Concordgreen Dr Cincinnati,OH,45244,39.1006646,-84.3519251,4,Car-Dependent,,,,,
Fairgrove Ct, Cincinnati,Fairgrove Ct Cincinnati,OH,45244,39.0987184,-84.3301901,2,Car-Dependent,,,,,
Pondrun Ave, Cincinnati,Pondrun Ave Cincinnati,OH,45244,39.1006641,-84.3586206,6,Car-Dependent,,,,,
Veraview Ct, Cincinnati,Veraview Ct Cincinnati,OH,45244,39.0997543,-84.3350288,3,Car-Dependent,,,,,
Montchateau Dr, Cincinnati,Montchateau Dr Cincinnati,OH,45244,39.1019784,-84.3411247,4,Car-Dependent,,,,,
Sunny Acres, Cincinnati,Sunny Acres Cincinnati,OH,45255,39.0448143,-84.3580456,,Car-Dependent,,,,,
Lakewood Pointe, Cincinnati,Lakewood Pointe Cincinnati,OH,45244,39.1032012,-84.3098825,17,Car-Dependent,,,,,
Caledon Ln, Cincinnati,Caledon Ln Cincinnati,OH,45244,39.1077955,-84.3727897,11,Car-Dependent,,,,,
Saddleback Dr, Cincinnati,Saddleback Dr Cincinnati,OH,45244,39.1080406,-84.3742988,8,Car-Dependent,,,,,
Lawyers Point, Cincinnati,Lawyers Point Cincinnati,OH,45244,39.1053352,-84.3504051,2,Car-Dependent,,,,,
Turpin Knoll, Cincinnati,Turpin Knoll Cincinnati,OH,45244,39.1083276,-84.3802511,3,Car-Dependent,,,,,
Turnkey Ct, Cincinnati,Turnkey Ct Cincinnati,OH,45244,39.1063316,-84.3509563,1,Car-Dependent,,,,,
High Pointe, Cincinnati,High Pointe Cincinnati,OH,45244,39.1055148,-84.3086322,16,Car-Dependent,,,,,
Deerhaven Dr, Cincinnati,Deerhaven Dr Cincinnati,OH,45244,39.1067445,-84.3384906,2,Car-Dependent,,,,,
Patterson Farms, Cincinnati,Patterson Farms Cincinnati,OH,45244,39.1118045,-84.3884486,6,Car-Dependent,,,,,
Turpin Lake, Cincinnati,Turpin Lake Cincinnati,OH,45244,39.1140084,-84.3906626,6,Car-Dependent,,,,,
Perthwood Dr, Cincinnati,Perthwood Dr Cincinnati,OH,45244,39.1110791,-84.3601814,5,Car-Dependent,,,,,
Courtropes Ln, Cincinnati,Courtropes Ln Cincinnati,OH,45244,39.1133072,-84.3857852,2,Car-Dependent,,,,,
Sarnia Ct, Cincinnati,Sarnia Ct Cincinnati,OH,45244,39.1132386,-84.3595653,3,Car-Dependent,,,,,
Treeknoll Ct, Cincinnati,Treeknoll Ct Cincinnati,OH,45244,39.1150035,-84.3609867,2,Car-Dependent,,,,,
Williams Creek, Cincinnati,Williams Creek Cincinnati,OH,45244,39.112133,-84.338655,1,Car-Dependent,,,,,
Killington Ln, Cincinnati,Killington Ln Cincinnati,OH,45244,39.1147302,-84.3267792,6,Car-Dependent,,,,,
3rd Ave, Cincinnati,3rd Ave Cincinnati,OH,45202,39.1392263,-84.367424,21,Car-Dependent,,,,,
Bishopsbridge Dr, Cincinnati,Bishopsbridge Dr Cincinnati,OH,45255,39.0463311,-84.3680568,,Car-Dependent,,,,,
Mt Carmel, Cincinnati,Mt Carmel Cincinnati,OH,45244,39.113973,-84.30799,35,Car-Dependent,,,,,
Dry Run, Cincinnati,Dry Run Cincinnati,OH,45244,39.1197749,-84.3367443,1,Car-Dependent,,,,,
Hickory Creek, Cincinnati,Hickory Creek Cincinnati,OH,45244,39.1206987,-84.3225974,2,Car-Dependent,,,,,
Summer View, Cincinnati,Summer View Cincinnati,OH,45255,39.0487896,-84.3550676,,Car-Dependent,,,,,
Lincoln Terrace, Cincinnati,Lincoln Terrace Cincinnati,OH,45244,39.137723,-84.368944,2,Car-Dependent,,,,,
Sumter Pkwy, Cincinnati,Sumter Pkwy Cincinnati,OH,45244,39.138478,-84.368354,2,Car-Dependent,,,,,
Harrison Ave, Cincinnati,Harrison Ave Cincinnati,OH,45211,39.137807,-84.370485,18,Car-Dependent,,,,,
Watch Point, Fort Thomas,Watch Point Fort Thomas,OH,41075,39.058428,-84.385639,,Car-Dependent,,,,,
Round Bottom, Cincinnati,Round Bottom Cincinnati,OH,45244,39.149026,-84.303532,3,Car-Dependent,,,,,
Cottage Ct, Cincinnati,Cottage Ct Cincinnati,OH,45230,39.0793027,-84.3807796,47,Car-Dependent,Somewhat Bikeable,43,28,Some Transit,
Signal Hill, Cincinnati,Signal Hill Cincinnati,OH,45244,39.1089004,-84.3990186,28,Car-Dependent,,,,,
